Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,42.60398336312147,42.66394045465904,41.841665702656165,42.47550201416016,179700,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.003015712119363,0.0160119348131252,-0.0030523297919797
2011-04-19,42.54404211353638,42.97230911254883,42.227125449144175,42.97230911254883,114700,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0100664388651539,0.0116422315970843,0.0146371576961204
2011-04-20,43.68323516845703,43.88023760163638,43.40057737253579,43.68323516845703,139700,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0,0.0004763853814896,0.011707950455454
2011-04-21,43.68322833447581,44.12005918015687,43.49478983334173,44.000144958496094,117700,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0072548810173484,-0.0034214571041341,-0.026680502622515
2011-04-25,44.051721423219405,44.0946980566314,43.63913984043175,43.939979553222656,154400,0.18,0,ATR,Consumer Non-Durables,Plastic Products,-0.0025366062071265,-0.0034233701667953,-0.0215302184082508
2011-04-26,44.15485802530719,44.77373192718033,44.06890477400542,44.55884552001953,207100,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0091493328883719,0.0044362715002565,-0.0102423817049231
2011-04-27,44.56743810020871,44.83389841692448,44.14626259190696,44.80811309814453,178100,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0054002430517695,0.007595648972304,-0.0122908896366397
2011-04-28,44.76514564499364,45.186321239582405,44.670595084888056,45.00581741333008,116900,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.005376320457998,-0.001571346578579,-0.0027015807122329
2011-04-29,45.04018759388215,45.341027221228366,44.88546913441667,45.08316421508789,91000,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0009541838855834,0.0025276065109557,0.0038537064637503
2011-05-02,45.16052864628518,45.57311015941114,45.04878679515532,45.40979766845703,192000,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0055196214403118,-0.0044976185199384,-0.0082806211542181
2011-05-03,45.23788903968171,45.35822490755188,44.71356566204188,45.02300262451172,126000,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0047501424078718,-0.0037125853127894,-0.0112611952881926
2011-05-04,44.9886219337283,45.24648498717073,44.30958004583481,44.60182571411133,131000,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0085976454265869,-0.0009099861434054,-0.0010315683461589
2011-05-05,44.26660942268139,44.73076494919672,43.905601754663074,44.13767623901367,228400,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0029126509879398,-0.0027834892602857,0.0186085458652333
2011-05-06,44.464297884909016,44.66199299896056,43.86261524971798,44.06031036376953,169300,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0090856606391303,-0.0009798074827424,0.0013817125650612
2011-05-09,44.12906481703252,45.083160818893965,44.05170559312739,44.911251068115234,127000,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0177249677582293,0.0093807355987805,0.0201964439839452
2011-05-10,44.928449802066936,45.62468293236731,44.83389925955508,45.04019165039063,218800,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0024871066955565,0.0204691870385664,0.0147899655366804
2011-05-11,44.859687433568766,45.16912440006066,44.12048091005721,44.36115264892578,173300,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0111132023686355,-0.0020199895852003,-0.0142393239947407
2011-05-12,44.14624974743574,45.15191623412756,44.00872262244612,45.100345611572266,205000,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0216121611596678,0.0186227158026994,0.0099624566775672
2011-05-13,45.19490728536846,45.55591484802505,44.87687306618305,44.96282958984375,205700,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0051350408589031,-0.002039754157858,-0.0193517248404561
2011-05-16,44.7393558410981,45.80519401880521,44.57604332824026,45.48715972900391,349000,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.016714677130395,-0.005739034538291,-0.0154065535059291
2011-05-17,45.212106772308914,45.22070406630743,44.41272893360851,44.696380615234375,231600,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0114068154282606,0.0060344335466149,-0.0124880026367296
2011-05-18,44.54165705059406,46.04586199651429,44.45570379381839,45.75361633300781,295200,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.027209568809645,0.0019853366198091,0.0205122211506061
2011-05-19,45.7106376262884,46.24355500766179,45.298056110492254,45.547325134277344,211000,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.00357274587474,-0.003208346174505,-0.0065074815714689
2011-05-20,45.444180751269066,45.813785668732464,44.868286699676645,45.143341064453125,164300,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0066199826213731,-0.0005479881900091,-0.0054688188349977
2011-05-23,44.43849683941925,44.52445006592988,43.98293555797771,44.31816101074219,198400,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0027079185219046,0.004009078252854,0.0075037029339493
2011-05-24,44.335357106319634,44.55024347473978,44.09468214403314,44.24080657958984,115500,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0021326212959795,-0.002849670853239,-0.0179657998086062
2011-05-25,44.05172204706645,44.84250260554818,44.05172204706645,44.747955322265625,150600,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0158049048447026,0.00021660516494,0.0258371332658698
2011-05-26,44.53306657076162,44.7393557149576,44.34396545615961,44.6791877746582,184300,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0032811844130338,-0.0034826217555821,0.0211325751738351
2011-05-27,44.80810499454645,45.07456198416693,44.76512837805016,44.89405822753906,80500,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0019182519100746,-0.0025860903264819,0.0059338547583892
2011-05-31,45.22930176240938,45.94272639262878,44.954247352396585,45.899749755859375,456100,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.014823310715073,2.5023884144952263e-05,0.0076536034293455
2011-06-01,45.83097792869972,45.96850511394559,44.74795175475185,44.79952239990234,210000,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0225056408441041,-0.0164403252938184,-0.0215100215577452
2011-06-02,44.66200741000008,45.00582710645103,44.42133558982899,44.67060470581055,197300,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0001924968515531,-0.0072747227767184,-0.0033107680982739
2011-06-03,43.93138810113723,44.44711428998344,43.93138810113723,43.96577072143555,200300,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0007826436127891,0.0011066731209556,0.0018336789080632
2011-06-06,43.97436236500356,44.15486619347233,43.43284760069028,43.45003890991211,283400,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.011923389604592,-0.0071613447889772,-0.0013398130833228
2011-06-07,43.75946500733181,44.00873401053646,43.46721938124165,43.72508239746094,133200,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0007857182409591,-0.0030719597282743,0.0144015392548963
2011-06-08,43.51019514981274,43.8282293665146,43.45862451492515,43.49300384521485,116800,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0003951098021669,-0.004186216254118,-0.0089041526657778
2011-06-09,43.63914540550023,44.11189499113332,43.41566163700704,43.91419982910156,136300,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0063029287362411,0.0049424880822288,0.0013581463602212
2011-06-10,43.63914464336545,43.92279307822858,43.209371704130696,43.32111358642578,158300,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0072877472631218,-0.0128754480600678,0.0137421752646454
2011-06-13,44.50727738709321,44.50727738709321,43.759473511065465,44.223628997802734,377300,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0063730788747984,-0.0050649235435695,-0.0081312997305579
2011-06-14,44.5760418608633,44.644803813890015,44.30098749094297,44.35255813598633,183700,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0050135390121567,0.0026040311520858,0.0169328868457474
2011-06-15,43.84542073432796,44.35255278245064,43.43283922924776,43.484413146972656,183900,0.0,0,ATR,Consumer Non-Durables,Plastic Products,-0.0082336440455835,-0.0012982671400802,0.0144395663111703
2011-06-16,43.398461678168566,43.70789536050353,43.02885678323091,43.55317687988281,209300,0.0,0,ATR,Consumer Non-Durables,Plastic Products,0.0035649927608396,0.0051877485214698,-0.0025617879286374
