Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,21.56999969482422,21.65999984741211,21.270000457763672,21.51000022888184,285800,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0027816164483663,0.0144194533237149,-0.0027816164483663
2011-04-19,21.6299991607666,21.65999984741211,21.34000015258789,21.51000022888184,343100,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0055478010421018,-0.0105188039039678,-0.0055478010421018
2011-04-20,21.770000457763672,22.040000915527344,21.690000534057617,21.75,237600,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0009187164604095,-0.0046998524483997,-0.0009187164604095
2011-04-21,21.940000534057617,21.989999771118164,21.690000534057617,21.739999771118164,338500,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0091158048345983,0.0013767350700894,-0.0091158048345983
2011-04-25,21.75,21.81999969482422,21.65999984741211,21.75,198700,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0,0.0019471535372173,0.0
2011-04-26,21.850000381469727,22.01000022888184,21.709999084472656,21.93000030517578,288100,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.003661323675486,0.0060984191121597,0.003661323675486
2011-04-27,21.8700008392334,22.280000686645508,21.700000762939453,22.07999992370605,473800,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0096021525566623,0.0053146400850127,0.0096021525566623
2011-04-28,22.01000022888184,22.81999969482422,22.01000022888184,22.39999961853028,886600,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0177191906221188,-0.0080587783314453,0.0177191906221188
2011-04-29,22.450000762939453,22.700000762939453,22.229999542236328,22.31999969482422,369000,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0057906932604581,0.0019719422217027,-0.0057906932604581
2011-05-02,22.39999961853028,22.39999961853028,21.700000762939453,21.71999931335449,324200,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0303571569980412,0.0011361412019556,-0.0303571569980412
2011-05-03,21.68000030517578,21.76000022888184,20.780000686645508,21.350000381469727,343300,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0152213984806666,-0.0049704793149201,-0.0152213984806666
2011-05-04,21.309999465942383,21.440000534057617,20.459999084472656,20.600000381469727,579500,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0333176490974284,0.0138447842996774,-0.0333176490974284
2011-05-05,20.39999961853028,20.81999969482422,20.39999961853028,20.489999771118164,273800,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0044117722681786,0.0122713732650745,0.0044117722681786
2011-05-06,20.71999931335449,21.06999969482422,20.61000061035156,20.82999992370605,934000,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0053089099419354,-0.0090347110525955,0.0053089099419354
2011-05-09,20.26000022888184,20.61000061035156,19.8700008392334,20.09000015258789,1430100,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0083909217361016,0.0008323105705872,-0.0083909217361016
2011-05-10,20.14999961853028,20.440000534057617,20.09000015258789,20.40999984741211,284600,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0129032374096291,0.0090919716861012,0.0129032374096291
2011-05-11,20.299999237060547,20.530000686645508,20.059999465942383,20.14999961853028,414200,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0073891440476718,-0.0019699769399188,-0.0073891440476718
2011-05-12,20.100000381469727,20.38999938964844,19.93000030517578,20.170000076293945,436000,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0034825718157076,0.0097386522417555,0.0034825718157076
2011-05-13,20.200000762939453,20.309999465942383,19.82999992370605,19.8700008392334,313200,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0163366292694156,0.0001373326031586,-0.0163366292694156
2011-05-16,19.709999084472656,19.88999938964844,19.61000061035156,19.68000030517578,259000,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0015220081527303,-0.0164245274295978,-0.0015220081527303
2011-05-17,19.5,19.82999992370605,19.200000762939453,19.350000381469727,213900,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0076922881297576,0.0043647731531538,-0.0076922881297576
2011-05-18,19.32999992370605,20.209999084472656,19.31999969482422,20.15999984741211,954100,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0429384338842214,0.0105978288263567,0.0429384338842214
2011-05-19,20.21999931335449,20.61000061035156,20.21999931335449,20.549999237060547,409900,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0163204715584785,-0.0006828599794228,0.0163204715584785
2011-05-20,20.39999961853028,21.440000534057617,20.36000061035156,21.21999931335449,806500,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0401960642234212,-0.0079100209863267,0.0401960642234212
2011-05-23,20.86000061035156,21.0,20.670000076293945,20.89999961853028,430500,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0019174979390397,0.0015847145561097,0.0019174979390397
2011-05-24,20.950000762939453,21.299999237060547,20.89999961853028,21.170000076293945,486300,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0105011601595581,-0.0115382683208591,0.0105011601595581
2011-05-25,21.07999992370605,21.14999961853028,20.790000915527344,20.989999771118164,332900,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0042694569693368,0.0113923843185297,-0.0042694569693368
2011-05-26,20.90999984741211,21.420000076293945,20.780000686645508,21.3700008392334,370300,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0219990911132512,0.0125849083144858,0.0219990911132512
2011-05-27,21.479999542236328,21.71999931335449,21.38999938964844,21.559999465942383,265000,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0037243913133587,-0.0035834353864002,0.0037243913133587
2011-05-31,21.809999465942383,21.959999084472656,21.549999237060547,21.90999984741211,325100,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0045850703309682,-0.0071391373313889,0.0045850703309682
2011-06-01,21.90999984741211,21.940000534057617,20.93000030517578,20.950000762939453,378000,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0438155678301406,-0.0148782326173669,-0.0438155678301406
2011-06-02,20.950000762939453,21.229999542236328,20.600000381469727,20.86000061035156,230700,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0042959498477491,-0.003335193887243,-0.0042959498477491
2011-06-03,20.520000457763672,21.170000076293945,20.459999084472656,20.46999931335449,302700,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0024367028895589,-0.0006788165777524,-0.0024367028895589
2011-06-06,20.440000534057617,20.729999542236328,20.18000030517578,20.280000686645508,232600,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0078277809800207,-0.0193799235687944,-0.0078277809800207
2011-06-07,20.5,20.57999992370605,20.190000534057617,20.229999542236328,222100,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0131707540372522,-0.007532905396766,-0.0131707540372522
2011-06-08,20.13999938964844,20.239999771118164,19.959999084472656,20.07999992370605,533200,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0029791195511767,-0.0141836586442619,-0.0029791195511767
2011-06-09,20.190000534057617,20.559999465942383,20.040000915527344,20.350000381469727,241200,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0079247074383288,0.0024009810086314,0.0079247074383288
2011-06-10,20.190000534057617,20.36000061035156,20.0,20.049999237060547,425600,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.006934189861011,-0.0170032436214035,-0.006934189861011
2011-06-13,20.059999465942383,20.309999465942383,20.01000022888184,20.190000534057617,184300,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0064806117435819,-0.0087810480747792,0.0064806117435819
2011-06-14,20.40999984741211,21.549999237060547,20.270000457763672,21.38999938964844,411400,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0480156565194972,-0.0018920983263575,0.0480156565194972
2011-06-15,21.190000534057617,21.88999938964844,21.030000686645508,21.21999931335449,1032000,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0014157045087684,-0.0041894975956203,0.0014157045087684
2011-06-16,21.190000534057617,21.31999969482422,20.790000915527344,21.1200008392334,368600,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0033034305361017,-0.0153554947101883,-0.0033034305361017
2011-06-17,21.3700008392334,21.63999938964844,21.290000915527344,21.46999931335449,577900,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0046793855963497,-0.0037310435026515,0.0046793855963497
2011-06-20,21.489999771118164,21.850000381469727,21.290000915527344,21.68000030517578,259700,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0088413464905184,0.0086420734607109,0.0088413464905184
2011-06-21,21.86000061035156,22.670000076293945,21.63999938964844,22.61000061035156,382200,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0343092396641949,0.0134445279498181,0.0343092396641949
2011-06-22,22.63999938964844,23.309999465942383,22.290000915527344,22.440000534057617,553500,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0088338719515278,-0.0064593811530582,-0.0088338719515278
2011-06-23,22.11000061035156,22.40999984741211,21.799999237060547,22.3700008392334,319500,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0117593949210526,0.0215862718611755,0.0117593949210526
2011-06-24,22.3700008392334,22.63999938964844,21.84000015258789,22.209999084472656,348500,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.0071525144728705,-0.0120120093208332,-0.0071525144728705
2011-06-27,22.15999984741211,22.549999237060547,22.0,22.239999771118164,321600,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0036101048852397,0.0084195647101918,0.0036101048852397
2011-06-28,22.3700008392334,22.809999465942383,22.309999465942383,22.790000915527344,362500,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0187751479900408,0.0187078913375069,0.0187751479900408
2011-06-29,22.84000015258789,22.86000061035156,22.350000381469727,22.440000534057617,428700,0,0,BECN,Consumer Services,RETAIL: Building Materials,-0.017513118032311,-0.0105831965396975,-0.017513118032311
2011-06-30,22.31999969482422,22.920000076293945,22.299999237060547,22.81999969482422,505900,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0224014339980454,0.0072379325955719,0.0224014339980454
2011-07-01,22.8700008392334,23.420000076293945,22.59000015258789,23.1200008392334,459100,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0109313507138629,0.0222311445403539,0.0109313507138629
2011-07-05,23.07999992370605,23.350000381469727,22.8700008392334,23.239999771118164,376200,0,0,BECN,Consumer Services,RETAIL: Building Materials,0.0069324024237874,0.0010486985363363,0.0069324024237874
