Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,12.045507370686725,12.060499011382708,11.753177525522716,11.978046417236328,1237700,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-04-19,12.0604972324604,12.172931661733136,11.910584421816528,12.112966537475586,1008900,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-04-20,12.375315662459672,12.375315662459672,12.180428632773518,12.315350532531738,803000,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-04-21,12.382811244727398,12.382811244727398,12.277871197106696,12.345332145690918,555000,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-04-25,12.34533334048228,12.420290116128175,12.172933757273828,12.19542121887207,641400,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-04-26,12.277874197578504,12.517736200985222,12.16543973235517,12.487752914428713,653900,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-04-27,12.495246826971533,12.577699422722562,12.202916976118356,12.54771614074707,922700,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-04-28,12.502745324774008,12.742605913214833,12.367823386355573,12.52523136138916,1117900,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-04-29,12.562711715698242,12.630172691586662,12.4277897639214,12.562711715698242,608000,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-02,12.577698634862903,12.600184665254435,12.29286319266395,12.330342292785645,524300,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-03,12.262882235090435,12.367820863708642,12.015525875003526,12.142951965332031,912800,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-04,12.150446178450832,12.172933639832124,11.865612149362343,11.880603790283203,668700,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-05,11.760671789262124,12.030514868908956,11.640741531641307,11.693211555480955,734600,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-06,11.895596404697516,12.015527404563768,11.655735834646782,11.760674476623535,774600,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-09,11.768170449717642,12.015527559319438,11.700709484811778,11.933074951171877,598200,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-10,11.993038236501086,12.180429458946415,11.820638654974958,12.120464324951172,729000,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-11,12.04550742967561,12.090480922302264,11.618255675518494,11.745681762695312,1010400,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-12,11.715699255498764,12.01552563884259,11.655734121798154,11.843125343322754,828000,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-13,11.873110667074927,11.93307581469927,11.513319066487927,11.55079746246338,684700,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-16,11.48333642823814,11.88060642257135,11.39338870730636,11.573284149169922,656800,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-17,11.528311681602174,11.693216208876034,11.393389730665286,11.490833282470703,1003300,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-18,11.543297752035642,11.55828939131239,11.363402369758887,11.39338493347168,1916400,0.0,0,CMC,Basic Industries,Steel/Iron Ore
2011-05-19,11.430862275149703,11.46084483613024,11.018601525536832,11.265957832336426,2044000,0.0,0,CMC,Basic Industries,Steel/Iron Ore
