Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,72.97000122070312,73.88999938964844,72.55999755859375,73.31999969482422,278000,0,0,DRQ,Energy,Metal Fabrications,0.0047964707176377,0.0028802358964277,0.0041273843187812
2011-04-19,73.4800033569336,74.66000366210938,73.47000122070312,74.36000061035156,284000,0,0,DRQ,Energy,Metal Fabrications,0.0119760099784335,0.0240835759064997,0.0184939981149615
2011-04-20,75.69000244140625,76.05000305175781,74.06999969482422,75.3499984741211,277400,0,0,DRQ,Energy,Metal Fabrications,-0.0044920591401534,0.0049433409507712,-0.0002003170700229
2011-04-21,75.91000366210938,76.44999694824219,75.18000030517578,75.87000274658203,98300,0,0,DRQ,Energy,Metal Fabrications,-0.0005269518324013,0.0181051387647041,0.004647787941955
2011-04-25,75.73999786376953,76.38999938964844,75.01000213623047,75.83999633789062,199400,0,0,DRQ,Energy,Metal Fabrications,0.001320286202027,0.0017074481656442,-0.0005624895695415
2011-04-26,76.0999984741211,76.77999877929688,75.80999755859375,76.27999877929688,147700,0,0,DRQ,Energy,Metal Fabrications,0.002365312861826,-0.0111590115413462,0.0095910076933451
2011-04-27,76.33000183105469,76.37000274658203,74.22000122070312,76.0,184000,0,0,DRQ,Energy,Metal Fabrications,-0.004323356781585,-0.0172680257348327,-0.0254868703893083
2011-04-28,75.75,77.41999816894531,75.52999877929688,76.56999969482422,168400,0,0,DRQ,Energy,Metal Fabrications,0.0108250784795276,-0.0037911152086088,-0.0048289610043895
2011-04-29,76.73999786376953,77.75,76.36000061035156,76.55999755859375,173000,0,0,DRQ,Energy,Metal Fabrications,-0.0023455865283619,0.0065429504157474,0.0013756000966785
2011-05-02,76.86000061035156,76.94000244140625,73.54000091552734,73.69000244140625,255000,0,0,DRQ,Energy,Metal Fabrications,-0.0412437957815781,-0.0212110971167014,-0.0194109038770977
2011-05-03,73.19000244140625,73.81999969482422,70.37000274658203,71.51000213623047,512200,0,0,DRQ,Energy,Metal Fabrications,-0.022953958862356,-0.0215491377726526,-0.0258556616737249
2011-05-04,71.4800033569336,71.4800033569336,66.87999725341797,67.43000030517578,810500,0,0,DRQ,Energy,Metal Fabrications,-0.0566592454050991,-0.0234555908790301,-0.0337835425981194
2011-05-05,66.61000061035156,67.95999908447266,65.20999908447266,65.55999755859375,763200,0,0,DRQ,Energy,Metal Fabrications,-0.0157634445599244,-0.002944652983641,-0.0017926484980993
2011-05-06,66.73999786376953,68.23999786376953,64.69000244140625,65.31999969482422,588900,0,0,DRQ,Energy,Metal Fabrications,-0.0212765689900654,-0.0095265893807852,-0.0197375489780278
2011-05-09,65.55999755859375,68.44000244140625,65.55999755859375,68.0,577500,0,0,DRQ,Energy,Metal Fabrications,0.0372178543665367,0.0252116925668171,0.0210132700455551
2011-05-10,67.5,69.87999725341797,67.05000305175781,69.66999816894531,504200,0,0,DRQ,Energy,Metal Fabrications,0.032148121021412,0.0098450357204028,0.0144653204024056
2011-05-11,69.27999877929688,69.4000015258789,66.86000061035156,67.06999969482422,522600,0,0,DRQ,Energy,Metal Fabrications,-0.0318995254534137,-0.0365462156495347,-0.0338993903081289
2011-05-12,66.51000213623047,68.37000274658203,65.5,67.5,443000,0,0,DRQ,Energy,Metal Fabrications,0.0148849471052752,0.0035008334193372,0.0061248479393427
2011-05-13,67.4800033569336,68.26000213623047,66.16999816894531,67.38999938964844,338800,0,0,DRQ,Energy,Metal Fabrications,-0.0013337872378144,-0.0105647478001141,-0.0007743516138434
2011-05-16,66.81999969482422,68.83999633789062,66.58000183105469,67.0,427100,0,0,DRQ,Energy,Metal Fabrications,0.0026938088296597,-0.0077933874794179,-0.009413045866844
2011-05-17,66.69999694824219,67.86000061035156,66.19000244140625,67.11000061035156,526300,0,0,DRQ,Energy,Metal Fabrications,0.006146981722166,0.0025359943836433,-0.0090267417752838
2011-05-18,67.4800033569336,69.56999969482422,67.16000366210938,68.75,269200,0,0,DRQ,Energy,Metal Fabrications,0.0188203405436836,0.0198318109142005,0.0197490501489578
2011-05-19,69.2699966430664,69.55999755859375,67.55999755859375,68.94999694824219,250900,0,0,DRQ,Energy,Metal Fabrications,-0.0046196002646442,-0.0083445784594947,-0.0026378474408597
2011-05-20,68.7300033569336,70.58000183105469,67.9800033569336,69.98999786376953,450900,0,0,DRQ,Energy,Metal Fabrications,0.0183325250297521,0.0003242377780684,-0.0033153164839393
2011-05-23,68.01000213623047,68.33999633789062,66.94000244140625,67.41999816894531,307500,0,0,DRQ,Energy,Metal Fabrications,-0.0086752528856464,-0.0018839696467239,-0.0030135383969415
2011-05-24,67.97000122070312,71.91999816894531,67.97000122070312,71.31999969482422,684600,0,0,DRQ,Energy,Metal Fabrications,0.0492864265699131,0.0050972047691726,0.0173010029112496
2011-05-25,70.86000061035156,75.01000213623047,70.86000061035156,73.73999786376953,807600,0,0,DRQ,Energy,Metal Fabrications,0.0406434833278458,0.0423563861842803,0.0548446751237502
2011-05-26,73.30999755859375,74.5,73.0199966430664,73.56999969482422,519600,0,0,DRQ,Energy,Metal Fabrications,0.0035466122614812,0.0143281897300025,0.0171457025419659
2011-05-27,74.19999694824219,75.01000213623047,73.18000030517578,73.7699966430664,196900,0,0,DRQ,Energy,Metal Fabrications,-0.0057951525992073,-0.0018422784473322,-0.0002481376144146
2011-05-31,75.0,75.94000244140625,72.87000274658203,74.18000030517578,493800,0,0,DRQ,Energy,Metal Fabrications,-0.0109333292643229,-0.0068980656900027,-0.0113321401427176
2011-06-01,73.87999725341797,74.12000274658203,70.19000244140625,70.41999816894531,581300,0,0,DRQ,Energy,Metal Fabrications,-0.0468326910273752,-0.0228498067325345,-0.0208511989822004
2011-06-02,70.69000244140625,71.9800033569336,69.5999984741211,70.44999694824219,429800,0,0,DRQ,Energy,Metal Fabrications,-0.0033951829802665,0.0055558851932837,0.0066686669804197
2011-06-03,69.1500015258789,70.51000213623047,68.37999725341797,68.83999633789062,612900,0,0,DRQ,Energy,Metal Fabrications,-0.0044830828799369,0.016830716463956,0.0182305105841309
2011-06-06,68.75,69.0199966430664,66.33999633789062,67.04000091552734,538800,0,0,DRQ,Energy,Metal Fabrications,-0.0248727139559659,-0.0324764872380762,-0.0228685653447787
2011-06-07,67.66000366210938,67.75,66.3499984741211,66.9000015258789,498700,0,0,DRQ,Energy,Metal Fabrications,-0.0112326647220694,-0.0033133352064957,-0.0101873751945057
2011-06-08,66.87999725341797,67.86000061035156,66.5199966430664,66.69999694824219,517100,0,0,DRQ,Energy,Metal Fabrications,-0.0026913922333718,0.0046339559027977,-0.0032297036557573
2011-06-09,67.1500015258789,67.69999694824219,66.55999755859375,67.05999755859375,281400,0,0,DRQ,Energy,Metal Fabrications,-0.0013403419991058,0.0128606317019886,0.0082941404936224
2011-06-10,66.38999938964844,66.95999908447266,65.91999816894531,66.01000213623047,314200,0,0,DRQ,Energy,Metal Fabrications,-0.0057237122595488,-0.0157394629234035,-0.0211048097697709
2011-06-13,66.19000244140625,66.61000061035156,63.77999877929688,64.48999786376953,332100,0,0,DRQ,Energy,Metal Fabrications,-0.0256837062234832,-0.0274048893192232,-0.0228811026231306
2011-06-14,65.5,66.80999755859375,65.2300033569336,66.29000091552734,519500,0,0,DRQ,Energy,Metal Fabrications,0.0120610826798067,0.0183355982818942,0.0125648021957117
2011-06-15,65.37000274658203,66.81999969482422,63.88999938964844,64.2699966430664,402200,0,0,DRQ,Energy,Metal Fabrications,-0.0168273834679185,-0.0129729472195735,-0.01116070861921
2011-06-16,64.38999938964844,64.66000366210938,62.54999923706055,63.040000915527344,536900,0,0,DRQ,Energy,Metal Fabrications,-0.0209659650088166,0.0009824310359001,-0.0016674748521981
2011-06-17,63.630001068115234,64.22000122070312,61.52000045776367,62.15999984741211,671800,0,0,DRQ,Energy,Metal Fabrications,-0.0231023290276155,-0.0144198620209097,-0.0199550696490105
2011-06-20,61.84999847412109,63.459999084472656,61.63999938964844,63.119998931884766,319500,0,0,DRQ,Energy,Metal Fabrications,0.0205335568164171,0.0102110110850685,0.0113283521445789
2011-06-21,63.790000915527344,65.23999786376953,63.68000030517578,64.62999725341797,280200,0,0,DRQ,Energy,Metal Fabrications,0.013168150585277,0.0137557003163574,0.0184512731644473
2011-06-22,64.30000305175781,66.33000183105469,64.30000305175781,65.04000091552734,303900,0,0,DRQ,Energy,Metal Fabrications,0.0115085198856658,0.0012527358822259,0.0022302990184303
2011-06-23,63.720001220703125,65.80999755859375,62.52000045776367,65.68000030517578,447500,0,0,DRQ,Energy,Metal Fabrications,0.0307595581752097,0.0131589531501526,0.015042192563227
2011-06-24,65.77999877929688,66.56999969482422,65.11000061035156,65.76000213623047,637400,0,0,DRQ,Energy,Metal Fabrications,-0.0003039927552066,-0.0302083832719811,-0.0214879921499701
2011-06-27,65.30000305175781,65.95999908447266,64.30999755859375,65.2300033569336,396600,0,0,DRQ,Energy,Metal Fabrications,-0.0010719707741626,0.018241287443421,0.0106602769046855
2011-06-28,65.2300033569336,67.0199966430664,65.2300033569336,66.9000015258789,377500,0,0,DRQ,Energy,Metal Fabrications,0.0256016876130943,0.0303491725570033,0.0373413279505543
2011-06-29,66.98999786376953,67.72000122070312,66.45999908447266,67.27999877929688,415200,0,0,DRQ,Energy,Metal Fabrications,0.0043290181336785,0.0112772700268335,0.0168322452347183
2011-06-30,67.29000091552734,68.51000213623047,67.27999877929688,67.83000183105469,211500,0,0,DRQ,Energy,Metal Fabrications,0.0080249800591507,0.014107140896947,0.0206576274879952
2011-07-01,67.80999755859375,69.12999725341797,67.16000366210938,68.94000244140625,218300,0,0,DRQ,Energy,Metal Fabrications,0.0166642814259958,0.0099847549735128,0.0085001254051668
2011-07-05,68.94000244140625,70.4000015258789,68.81999969482422,69.5199966430664,254800,0,0,DRQ,Energy,Metal Fabrications,0.008413028446773,0.0068991161568943,0.019683099734279
2011-07-06,69.22000122070312,69.87999725341797,68.29000091552734,69.86000061035156,169100,0,0,DRQ,Energy,Metal Fabrications,0.0092458737122503,0.0017075599045032,0.0021132374703693
2011-07-07,70.8499984741211,72.06999969482422,70.69999694824219,70.81999969482422,622400,0,0,DRQ,Energy,Metal Fabrications,-0.0004234125609449,0.0037457424800045,0.000656707221187
2011-07-08,69.51000213623047,70.62999725341797,69.12000274658203,70.43000030517578,297100,0,0,DRQ,Energy,Metal Fabrications,0.0132354789335531,0.0117612435669766,0.0080024961460712
2011-07-11,69.13999938964844,69.13999938964844,67.94999694824219,68.18000030517578,484700,0,0,DRQ,Energy,Metal Fabrications,-0.0138848581565996,-0.0152417448687616,-0.0151045365224539
2011-07-12,68.01000213623047,68.4000015258789,67.36000061035156,67.58000183105469,507700,0,0,DRQ,Energy,Metal Fabrications,-0.0063226039063261,0.0026553918844939,-0.0061942813991431
2011-07-13,67.8499984741211,70.47000122070312,67.79000091552734,68.7699966430664,264800,0,0,DRQ,Energy,Metal Fabrications,0.0135592953520288,-0.0006995213534856,0.0006409656781141
2011-07-14,69.27999877929688,70.01000213623047,67.19999694824219,67.38999938964844,254400,0,0,DRQ,Energy,Metal Fabrications,-0.0272805921326492,-0.0273489410923124,-0.0239083128711173
2011-07-15,67.91999816894531,71.1500015258789,67.47000122070312,70.98999786376953,502100,0,0,DRQ,Energy,Metal Fabrications,0.0452002322966477,0.0172336397901307,0.0151712236916951
2011-07-18,70.52999877929688,71.08000183105469,69.48999786376953,69.93000030517578,316800,0,0,DRQ,Energy,Metal Fabrications,-0.0085069968028585,0.001415104360834,-0.0061772546210516
2011-07-19,70.55999755859375,72.31999969482422,70.55999755859375,72.30000305175781,266300,0,0,DRQ,Energy,Metal Fabrications,0.0246599426497874,0.0175590171144821,0.0182434906442291
2011-07-20,72.58999633789062,72.5999984741211,71.12999725341797,71.5999984741211,219400,0,0,DRQ,Energy,Metal Fabrications,-0.0136382134414404,-0.0065483616897854,-0.011074008360256
2011-07-21,71.9800033569336,73.68000030517578,71.55000305175781,72.97000122070312,196000,0,0,DRQ,Energy,Metal Fabrications,0.0137537901861485,0.0201962724877105,0.0176161254374135
2011-07-22,72.9800033569336,74.58000183105469,72.52999877929688,74.16000366210938,229300,0,0,DRQ,Energy,Metal Fabrications,0.0161688168114296,0.0056610400243894,0.0179348406892406
2011-07-25,72.8499984741211,75.0,72.70999908447266,73.81999969482422,314200,0,0,DRQ,Energy,Metal Fabrications,0.0133150479206626,0.0143178003956456,0.0096804366262212
2011-07-26,73.95999908447266,73.9800033569336,71.91000366210938,72.23999786376953,229600,0,0,DRQ,Energy,Metal Fabrications,-0.0232558307462746,0.0039002990119044,-0.0108746768402637
2011-07-27,71.41999816894531,71.87000274658203,70.01000213623047,70.19000244140625,264300,0,0,DRQ,Energy,Metal Fabrications,-0.0172220072679011,-0.0213367959280987,-0.0216199047117808
2011-07-28,70.12000274658203,71.80999755859375,70.12000274658203,70.41000366210938,306400,0,0,DRQ,Energy,Metal Fabrications,0.0041357801507142,0.0104204403360862,-0.0037112872212528
2011-07-29,69.26000213623047,71.13999938964844,68.94000244140625,70.51000213623047,336200,0,0,DRQ,Energy,Metal Fabrications,0.0180479347595358,0.0134842704460885,0.0073319199729179
2011-08-01,71.62000274658203,72.18000030517578,69.5999984741211,70.33999633789062,482500,0,0,DRQ,Energy,Metal Fabrications,-0.0178721915610718,-0.0165775076270777,-0.027606698740168
2011-08-02,69.72000122070312,71.41999816894531,68.37999725341797,68.43000030517578,348600,0,0,DRQ,Energy,Metal Fabrications,-0.0185025945631263,-0.0316694916157331,-0.0175402467683598
2011-08-03,68.68000030517578,68.7300033569336,66.19999694824219,68.2699966430664,303000,0,0,DRQ,Energy,Metal Fabrications,-0.0059697679133306,-0.0118984624251043,-0.0038954281306898
2011-08-04,66.83999633789062,67.12999725341797,62.41999816894531,62.43999862670898,441600,0,0,DRQ,Energy,Metal Fabrications,-0.0658288143664567,-0.066011695183091,-0.0867891292095818
