Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,9.919435450251385,10.09090431026064,9.910862661350215,10.082330703735352,141500,0.0,0,MEI,Capital Goods,Electrical Products,0.0164218270587,-0.0005548845184818,-0.0072925006444569
2011-04-19,10.099477610353604,10.142344827525667,10.01374399363363,10.039463996887209,75900,0.0,0,MEI,Capital Goods,Electrical Products,-0.0059422492708802,0.0261948498925287,0.0048648544674275
2011-04-20,10.253798559066638,10.365252988989807,10.11662412766092,10.245224952697754,62100,0.0,0,MEI,Capital Goods,Electrical Products,-0.0008361395359481,-0.0041428249209209,0.0120373910196575
2011-04-21,10.34810578947929,10.34810578947929,10.13377053572786,10.322385787963867,53300,0.0,0,MEI,Capital Goods,Electrical Products,-0.0024854791822452,-0.0218893935501314,-0.0036796277858548
2011-04-25,10.27094730839248,10.27094730839248,10.185213677924883,10.210933685302734,34700,0.0,0,MEI,Capital Goods,Electrical Products,-0.0058430465358056,-0.0007249987201183,0.0052093887103408
2011-04-26,10.228080459437946,10.579590209682378,10.21093324351175,10.399548530578612,122600,0.0,0,MEI,Capital Goods,Electrical Products,0.0167644429295082,0.0026492854838718,0.0160307964586026
2011-04-27,10.39097368423919,10.459560904521364,10.33953367783964,10.416693687438965,43000,0.0,0,MEI,Capital Goods,Electrical Products,0.0024752255160443,0.0029676796121391,-0.0030998207582097
2011-04-28,10.408122358490708,10.605310440063477,10.39097514220215,10.605310440063477,63200,0.0,0,MEI,Capital Goods,Electrical Products,0.0189455960240424,-0.0165037228950332,-0.0451593588444181
2011-04-29,10.61388030350053,10.716761112061445,10.47670589208598,10.59673309326172,78000,0.0,0,MEI,Capital Goods,Electrical Products,-0.0016155458464284,-0.0010825326029577,0.0059790664168085
2011-05-02,10.673897965391058,10.77677881309702,10.42526904569558,10.511003494262695,95000,0.0,0,MEI,Capital Goods,Electrical Products,-0.0152610107063539,-0.0197924680480027,-0.0269188430824744
