Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,28.990955707579307,29.08896472169044,28.638124004525807,28.97135353088379,1141600,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0006761479991635,0.0156154757471944,0.0057782822530732
2011-04-19,28.951752290518883,29.392790035755866,28.92234902642319,29.17717170715332,913600,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0077860370720378,0.0032730202541873,0.0052063845794767
2011-04-20,29.66721466472734,30.13765567044737,29.24577722942409,29.343786239624023,1039000,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.010901880367214,-0.001319876530085,-0.0013289476956976
2011-04-21,29.44179805818537,29.71622106968188,29.343789038636658,29.50060272216797,1132500,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0019973190450659,0.0092618932206413,-0.0038225808949472
2011-04-25,29.441796508783444,29.549604742183607,29.10856698147428,29.48099899291992,986200,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0013315248655012,0.0007706058501485,-0.0034667427219816
2011-04-26,29.57900652612633,30.049447528405285,29.471196428758347,29.92203712463379,1700000,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0115970966842469,-0.0076214293464538,0.0083249330414869
2011-04-27,30.206262886924016,30.32387407876138,29.373189063728223,30.088653564453125,1666800,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0038935409822511,0.0032811496258586,-0.0020129555191653
2011-04-28,30.088653526790708,30.24546720279993,28.902747998933712,29.21637535095215,3275500,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0289902695400407,0.0086942278242831,-0.0106139917331973
2011-04-29,29.19677186921112,29.255576523979727,28.814536939799453,29.079160690307617,1517200,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0040282254295217,0.0105275068940749,0.0021422126728604
2011-05-02,29.16737002641177,30.20626103491839,28.932149526525347,30.18665885925293,2961500,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0349462029630428,-0.0111777464377733,0.0189953753636761
2011-05-03,30.16706159204908,31.06874120046737,29.81422987199124,31.04913902282715,3084700,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0292397530361575,0.0020799539105122,0.021506568169217
2011-05-04,30.941325756274725,31.196148431482342,30.52968941468801,30.911924362182617,1937300,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0009502305855832,-0.0043581321931784,0.0021584397528089
2011-05-05,30.725709043340697,30.931526290242186,30.304271591837885,30.61789894104004,2013200,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0035087913560785,0.0060775952374714,0.0016254652634442
2011-05-06,31.01973282111979,31.47057351735134,30.89232241724766,31.156946182250977,2231500,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0044234217593829,-0.0070862555352045,-0.0011331836099847
2011-05-09,31.196151323829223,31.646992058493527,31.039337642911168,31.57838630676269,1341200,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0122526326714378,0.0233342270755336,0.0071232224317663
2011-05-10,31.72539254893196,32.21543569993253,31.558779672183377,32.127227783203125,1272700,0.0,0,OI,Consumer Durables,Containers/Packaging,0.012666044514702,0.0068710031144266,0.0098249659464296
2011-05-11,32.05862579185739,32.431059677035805,31.93121724957852,32.02922439575195,1611800,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0009171134251457,-0.030763983425287,-0.0015838991894057
2011-05-12,31.90181085219256,32.53886849330659,31.794000752428687,32.3526496887207,2254400,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0141320766591267,0.0150902579445297,0.013522367391425
2011-05-13,32.35265276581093,32.6564809177944,32.10763114803713,32.34285354614258,2010300,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0003028876716628,-0.0205988448086401,-0.0013196697586178
2011-05-16,32.15663769503469,32.33305355471963,31.715598045822336,31.87241172790528,2316500,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.008838796202045,-0.0072946586976981,-0.0036629624940109
2011-05-17,31.78420170833119,31.78420170833119,30.62769947698173,30.85311889648437,2688600,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0292938869565116,-0.0199607976309881,-0.0152428362180951
2011-05-18,30.95112869797606,31.7548011230145,30.794315022204287,31.68619537353516,2721700,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0237492688144573,0.0133002812004497,0.0144735533178422
2011-05-19,31.813604187690824,32.0880309266958,31.695994864536107,32.02922439575195,1336800,0.0,0,OI,Consumer Durables,Containers/Packaging,0.006777610194338,0.0049950826506973,0.0043245425767115
2011-05-20,31.754800640535965,31.833205607864105,31.13734516587048,31.196149826049805,2224800,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0175926412138461,-0.011993041848558,-0.0112544032048314
2011-05-23,30.7257077778878,30.98053045596117,30.431680748095584,30.48068618774414,2169000,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0079744815616579,0.0046689209693682,-0.0035947293753484
2011-05-24,30.67670461555452,30.794315810075663,30.255269019489504,30.46108627319336,1483300,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0070287322273798,-0.0171186550104584,0.0007032509259976
2011-05-25,30.24546690273473,30.774712586673576,30.08865322828126,30.56889533996582,1327100,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0106934516260301,0.0113739907992763,-0.0015683649929702
2011-05-26,30.421880786025262,30.666902370180622,30.323871778489853,30.519887924194336,1840600,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0032216002310447,0.015819277165608,0.0029404032447298
2011-05-27,30.608101192473885,31.03933977936417,30.608101192473885,31.00013542175293,1020400,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0128081852191288,0.0005360315547776,0.0035957798818662
2011-05-31,31.245154769508005,31.49017824797137,30.74531233199299,31.480375289916992,1794300,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0075282238844448,0.0025375394552476,0.0049916218265869
2011-06-01,31.50977905765048,31.519578276546465,30.372877120971683,30.37287712097168,1516000,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.036080923785556,-0.031923999902223,-0.0208699701320804
2011-06-02,30.43168039493177,30.79431316665719,30.206260983263565,30.500288009643555,1651000,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0022544799965502,-0.0090717284876864,-0.0053065474830603
2011-06-03,30.029846487690296,30.13765658913324,29.814228154170856,29.9122371673584,1205100,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0039164143040194,0.0015740752918659,-0.0035779360099953
2011-06-06,29.81422783344277,29.961240416959367,29.43199474242633,29.56920623779297,1310500,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.008218277428435,-0.0122906371652997,-0.0020036900210587
2011-06-07,29.765224389323595,30.12785530559057,29.667215376771345,29.71621894836425,1750500,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0016463991777236,-0.0062348376843965,-0.0034482094640099
2011-06-08,29.598611867486422,29.65741653171889,29.088966459160808,29.186975479125977,1509500,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.013907286943163,-0.0048477740376645,-0.0044008272673294
2011-06-09,29.284979269685376,29.83382897077091,29.15756886690581,29.67701530456543,1422800,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0133869322996541,0.0001095079810189,0.003462989760045
2011-06-10,29.50060300167101,29.50060300167101,28.892948570205043,28.922351837158203,1580800,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0196013337246039,-0.0320807833703419,-0.0133466219271996
2011-06-13,28.94195335869921,29.098767040159583,28.30489567472908,28.598922729492188,2174300,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0118523661812175,-0.0108020692242712,-0.0044305897953554
2011-06-14,28.94195252785228,29.23597770480816,28.75573558545143,28.951753616333008,1898600,0.0,0,OI,Consumer Durables,Containers/Packaging,0.0003386464154861,0.0059476281300307,0.0049133919042246
2011-06-15,26.65835163356588,26.903373240972307,24.962800689594854,25.031408309936523,11251900,0.0,0,OI,Consumer Durables,Containers/Packaging,-0.0610294044430282,-0.0266770258295572,-0.0485732559436551
