Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,23.34807412520424,24.03455208799073,23.34027305327569,24.011150360107425,26300,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0283996115203093,0.0003951456286679,0.0116976198033414
2011-04-19,24.10476280318221,24.30758623112204,23.83173120834389,23.909740447998047,28700,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0080906149866124,-0.0042077752602079,-0.0041292098329163
2011-04-20,23.94874172936201,23.995546670014924,23.46508571627445,23.71471405029297,20200,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.009772024005007,-0.0061514751429041,-0.0271580680008208
2011-04-21,23.90973392242696,23.90973392242696,23.62110174875481,23.769317626953125,22200,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0058727669630035,0.0012808431551496,-0.0210170579896063
2011-04-25,23.62890962828484,23.691316723378417,23.51969609594418,23.63670921325684,9200,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0003300865378343,-0.000822801653736,0.006160613278666
2011-04-26,23.75371832336037,24.4557983527218,23.60550094883782,24.29197883605957,17200,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0226600528545399,0.0007245957283275,0.0005582078670361
2011-04-27,24.221768452185785,24.28417552709121,24.065751508873245,24.12035751342773,6500,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.004186768565567,0.0054747071195761,0.004265091057091
2011-04-28,24.151568015728703,25.36070603592232,24.151568015728703,25.196887969970703,40300,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0432816599552143,0.0102873948890786,0.0200745510698682
2011-04-29,25.196883134949832,25.196883134949832,23.66010778984175,23.956541061401367,26000,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0492260120787727,-0.0007878968502866,0.0228517832439636
2011-05-02,23.9877442491934,23.9877442491934,22.271547317504883,22.271547317504883,33000,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0715447402581935,-0.0127012996992534,-0.0427416561337064
2011-05-03,22.27155583352751,23.04384578962102,22.27155583352751,22.63039779663086,39000,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0161121192334102,0.0058263233987001,-0.0077106990903221
2011-05-04,22.70060348899881,22.794213390583348,22.006322860717773,22.006322860717773,25000,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0305842366092821,-0.0118548799218386,-0.0237227431428436
2011-05-05,21.904909101479262,22.18574174633873,21.61627538449566,21.92051124572754,38500,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0007122670163111,-0.0002769297984471,-0.0054302337894062
2011-05-06,22.287151108538225,22.91122344255652,21.608474249374822,21.63967704772949,40500,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0290514502125257,-0.0120703995169293,-0.0175296091702039
2011-05-09,21.850300967842323,21.850300967842323,21.06241061445696,21.702083587646484,71000,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0067833106927897,0.0029974820022561,0.0017444013234538
2011-05-10,21.834702490679845,22.72400394534491,21.569471971235444,22.59918975830078,50200,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0350124883976439,0.0087906032258165,0.028063868704647
2011-05-11,22.575696109008128,22.66183347833432,21.964906705153595,22.09019660949707,47900,0.11,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0215054055107223,-0.0067917965062902,-0.012867588277144
2011-05-12,21.988402524675333,22.982892601160486,21.92575756281025,22.89675521850586,63000,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0413105359887411,0.0072040571720906,0.0313115079497603
2011-05-13,22.865433113338828,22.975061421430432,22.19199866403628,22.309457778930664,32700,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0243151018243266,-0.0146851503999847,-0.0358608366941363
2011-05-16,22.160677693143093,23.186491085147,22.160677693143093,22.52088737487793,66100,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0162544524460229,0.0010626125524307,0.0047727602679968
2011-05-17,22.364272700638004,22.888924825843905,21.99623372971621,22.607023239135746,71400,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0108543900240858,0.0027326694704553,0.0028989891258479
2011-05-18,22.59136198302488,23.170828273341595,22.466072055041472,22.779296875,40100,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0083188827710492,0.0116861729756642,0.0210422917075755
2011-05-19,22.982890257086304,22.982890257086304,22.058876043638268,22.184165954589844,32200,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0347529964056713,-0.0021037724768597,-0.0203772871854891
2011-05-20,21.95707930689324,22.1606742990176,21.769142940423123,21.9414176940918,27100,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0007132830638601,-0.0080709092106667,-0.0081278569980888
2011-05-23,21.49506888788321,22.419081497862106,21.49506888788321,22.27813148498535,26400,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.036429871482922,-0.0019028292810484,0.0077824349777349
2011-05-24,22.450412112965267,22.450412112965267,21.20534205400871,21.526397705078125,39800,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0411580154180563,-0.0057820288501304,-0.0162312609752805
2011-05-25,21.393272036085943,22.16850390489179,21.393272036085943,21.534223556518555,49000,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0065885910390358,0.0018323887019383,0.0149429496078897
2011-05-26,21.51856047769997,21.902260982958687,21.424593799532715,21.870939254760746,17700,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0163755738877584,0.010169030159035,0.0015997697507019
2011-05-27,21.91009523288688,22.27813567869296,21.91009523288688,22.01189422607422,17100,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0046462140901395,0.0056057435245955,0.0124008665587878
2011-05-31,22.238979734706497,22.426914598013624,21.800465053656524,22.26247215270996,77800,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0010563622200168,0.0013826486053295,-0.007958001088009
2011-06-01,22.09802521526614,22.09802521526614,20.66502077012236,20.735496520996094,49900,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.061658391688718,-0.0173884680899072,-0.0389917301732089
2011-06-02,20.75899351870736,21.00957335776776,20.68851775227492,20.93126678466797,20200,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0082987292136953,0.0026092651664311,-0.0089149185730579
2011-06-03,20.57888753963397,21.44808608915473,20.39095267774912,20.49275016784668,42100,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0041857156574375,0.0095966269151888,-0.0009888226256603
2011-06-06,20.375287174610182,20.68851188459888,20.10121499328011,20.11687660217285,26100,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0126825487279187,-0.0091376833336864,-0.0100192723563992
2011-06-07,20.33613930250297,20.70417975492032,20.10905187917457,20.414445877075195,38600,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0038506116331818,-0.00505909979136,-0.0064138273731932
2011-06-08,20.35963095758132,21.06438711509056,20.2578334599658,20.719839096069336,37000,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0176922724797174,-0.0071722934508137,-0.0119524372379151
2011-06-09,20.5005832487521,21.00174293605908,20.030745295114976,20.66502571105957,42100,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0080213553103412,0.0026207532961096,0.0067660122781241
2011-06-10,20.5632274677291,21.04872552389718,20.02291376586264,20.195188522338867,37500,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0178979173365569,-0.0099765648046152,-0.0117189122863995
2011-06-13,20.2578346184692,20.49275285321556,19.952439121010475,19.96026992797852,36000,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0146888695704616,-0.0005915377356158,-0.0162106772712628
2011-06-14,20.17952535692364,20.35962941249964,20.05423544925567,20.20301628112793,21100,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0011640969640662,0.0032769301007129,0.0130219982876055
2011-06-15,19.95243873589807,20.15603523241625,19.57656897012927,19.748842239379883,32400,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0102040907987794,-0.0138126889299061,-0.0094167783353262
2011-06-16,20.04640767350657,20.98608212305569,19.60789293038365,20.64936637878418,48100,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0300781424331942,0.0106320899752108,0.0115438362450473
2011-06-17,20.813808847365124,21.228832662732906,20.3048183338293,20.64936637878418,69400,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0079006427793614,-0.0046940099286302,-0.0043807031402314
2011-06-20,20.57889060837128,21.0565578934686,20.57889060837128,20.64936637878418,40300,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0034246632510029,0.0057409043857133,0.0058056891881645
2011-06-21,20.81380613897506,20.92343443709701,20.32047730385275,20.790313720703125,36100,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0011286940079615,0.0063431878292977,-0.0013857781367292
2011-06-22,20.70417399722394,21.36977745562732,20.25782858793381,20.60237503051757,29500,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0049168330366627,-0.0029182471128844,-0.0020614437267711
2011-06-23,20.328304758957056,20.743328482398965,19.787992630233152,20.70417594909668,33400,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0184900410829391,0.007639916108263,0.0113664413079183
2011-06-24,20.712005946853445,20.86861756752928,20.32047465480384,20.594545364379883,106300,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.0056711350303279,-0.0083721164267178,-0.0245337838675121
2011-06-27,20.49274946680936,21.174014624713347,20.43010451499076,21.11136817932129,21400,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,0.0301871993074362,0.0075681756804014,0.014851302787379
2011-06-28,21.15834880156117,21.27580787614282,20.860784219476283,21.06438064575196,18000,0.0,0,OPY,Finance,Investment Bankers/Brokers/Service,-0.004441185684692,0.0040350504092775,-0.0145124000853114
