Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,64.46578990391828,65.20530266713442,63.74600169377376,65.03768157958984,552000,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0088712428176856,0.0160119348131252,0.0482039110235916
2011-04-19,65.25462815952785,66.29980413742268,64.97854450670395,65.33351135253906,823100,0.0,0,PVH,Consumer Non-Durables,Apparel,0.001208852080474,0.0116422315970843,0.0267431473015292
2011-04-20,66.69419356733398,69.11979464060059,66.55615178027342,67.84783172607422,1623800,0.0,0,PVH,Consumer Non-Durables,Apparel,0.017297430211455,0.0004763853814896,-0.0115128956914623
2011-04-21,68.20281604197133,68.20281604197133,67.02946054966233,67.9168701171875,562000,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.004192582379705,-0.0034214571041341,0.0220707618563668
2011-04-25,67.7590886915699,68.8437058749891,67.5816053326313,68.45915985107422,757300,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0103317676347588,-0.0034233701667953,-0.0039936567085032
2011-04-26,69.08035677436992,69.16910222666554,67.60133109962744,68.19294738769531,869600,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0128460452161974,0.0044362715002565,-0.0148695960865002
2011-04-27,68.46903078778381,70.56924453194704,68.38028533573302,70.53966522216797,938400,0.0,0,PVH,Consumer Non-Durables,Apparel,0.030241912446548,0.007595648972304,0.0265050654202546
2011-04-28,70.10581528483876,70.80588653289317,69.48462721133758,70.53966522216797,731400,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0061885014184128,-0.001571346578579,-0.005149328314077
2011-04-29,70.3819064585816,70.48051419875753,69.24799267370221,69.42547607421875,764000,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0135891514238206,0.0025276065109557,0.0036578802367239
2011-05-02,69.63253038479431,69.88888941471532,67.90700045794524,68.4295883178711,856300,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.017275575945261,-0.0044976185199384,-0.0350664010280344
2011-05-03,68.29155425844453,68.69581740384294,66.09273256411369,66.71392822265625,1171800,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0231013344610355,-0.0037125853127894,-0.0208458921444686
2011-05-04,66.82238764987103,67.49287970011869,65.73777014813021,66.85197448730469,886400,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0004427683366939,-0.0009099861434054,0.0057052631652199
2011-05-05,66.40825180800282,69.41560704579302,66.27021001243675,68.64651489257812,1145000,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0337045927823321,-0.0027834892602857,0.025090194881769
2011-05-06,69.356437064651,69.356437064651,65.98426049207556,66.58573150634766,1305500,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0399487873882653,-0.0009798074827424,-0.0181012465487741
2011-05-09,66.82236965931827,68.22251953500442,66.39838204283053,68.07461547851562,1000100,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0187399193650525,0.0093807355987805,0.0321169431074618
2011-05-10,68.28167679483832,69.30713537072819,68.02531027018769,68.97188568115234,495200,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0101082591803926,0.0204691870385664,-0.0013604299455017
2011-05-11,68.91275577377947,69.02121829005253,67.78869653487301,68.27184295654297,712900,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0093003510023663,-0.0020199895852003,-0.0191600705777067
2011-05-12,68.14363073258214,69.49447663681045,67.72950542683466,69.40573120117188,387000,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0185211802632388,0.0186227158026994,0.0151841298003293
2011-05-13,69.10008590683047,69.70155698955287,68.4000146104697,68.87329864501953,422000,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0032820112860166,-0.002039754157858,-0.014078895984078
2011-05-16,68.56762493797956,68.83384622518919,66.92097830887681,67.26608276367188,723100,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0189818762934394,-0.005739034538291,-0.0133082524299648
2011-05-17,66.88873705168359,67.5793256903332,65.67526555594026,66.38558959960938,759500,0.0375,0,PVH,Consumer Non-Durables,Apparel,-0.0075221550630481,0.0060344335466149,0.0118733553182114
2011-05-18,66.57305355668632,67.48068669726702,66.52372255969358,67.10578918457031,366800,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0080022711806418,0.0019853366198091,0.0264972150025565
2011-05-19,67.5004113953892,68.39818431569854,66.68156505580326,68.17127227783203,399900,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0099386191665294,-0.003208346174505,-0.0129090961882386
2011-05-20,67.54972414485543,67.54972414485543,64.36313393223763,64.8860092163086,1574900,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0394333946180845,-0.0005479881900091,-0.0158219086495078
2011-05-23,63.87972579369178,65.32010171917679,63.4357770421596,64.1263656616211,806900,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0038610038610038,0.004009078252854,0.0187970145700151
2011-05-24,64.27435631745266,64.88601842250051,63.88959869432511,64.05731201171875,499100,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0033768413745276,-0.002849670853239,-0.0029281948459344
2011-05-25,61.91646147448129,63.19898784208792,61.03842427889117,62.45907211303711,1611600,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0087635925185979,0.00021660516494,0.013594806153531
2011-05-26,62.62677578755759,65.52725839843293,62.62677578755759,65.30035400390625,1138500,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0426906571945834,-0.0034826217555821,-0.0271577304701399
2011-05-27,64.78737715856558,67.05646760069918,64.08692063731478,65.68515014648438,1030600,0.0,0,PVH,Consumer Non-Durables,Apparel,0.013857220762642,-0.0025860903264819,-0.0106467860584252
2011-05-31,66.59275519786465,66.97751273685982,64.56044537375156,65.08332061767578,2347500,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0226666485821759,2.5023884144952263e-05,-0.0142383626862848
2011-06-01,67.48067928998746,67.5398704583987,64.18556625613202,65.4582290649414,3713700,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0299708041816665,-0.0164403252938184,-0.0270304303318763
2011-06-02,65.38915960918735,65.97123360281141,63.76133499967937,64.28421783447266,1334800,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0168979350907492,-0.0072747227767184,-0.0097130250538299
2011-06-03,63.455491060640185,65.4286095731313,63.29764549360279,63.761322021484375,1051200,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0048196138069742,0.0011066731209556,0.0100042209389293
2011-06-06,63.7711992431705,64.19542008777002,62.43934555375139,62.55773162841797,845000,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0190284584444675,-0.0071613447889772,-0.0276081526691063
2011-06-07,62.63666309894632,63.73174096147989,62.528140953898,63.28779220581055,858900,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0103953351703242,-0.0030719597282743,-0.0139266937247402
2011-06-08,62.90301797699964,63.0214078001529,61.166675301759895,61.66981887817383,1206400,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0196047683956393,-0.004186216254118,-0.0057773287865527
2011-06-09,61.99539204691906,62.95235585687226,60.584611822041296,62.41961288452149,905700,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0068427801421334,0.0049424880822288,0.0051262501366025
2011-06-10,61.99539521997188,62.47881100038619,60.969372501469465,61.31467056274414,958000,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0109802454652058,-0.0128754480600678,-0.0236712063165627
2011-06-13,61.67970303585678,63.36672271338395,61.65997139339977,62.232177734375,1086300,0.0,0,PVH,Consumer Non-Durables,Apparel,0.0089571556172545,-0.0050649235435695,-0.0271683716666131
2011-06-14,62.9523613799399,63.79093919075103,62.75504873248871,62.90303039550781,1076800,0.0,0,PVH,Consumer Non-Durables,Apparel,-0.0007836240508018,0.0026040311520858,0.0194061360940929
