Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.003628455178874,-0.0051077892976188
2011-04-19,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0006831334749573,-0.0048898961339562
2011-04-20,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0061551768496147,0.0438476104367155
2011-04-21,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0015760523858006,-0.0015927353040807
2011-04-25,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0012788586041826,0.0036051685176659
2011-04-26,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.002843054027998,0.0138491453316345
2011-04-27,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0108992524930265,0.0078350114443051
2011-04-28,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0041588334160542,0.0015841322211925
2011-04-29,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0004657641113925,-0.0039794897698854
2011-05-02,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0079470063797215,-0.0100908608898131
2011-05-03,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0062049276793984,-0.0039840035517729
2011-05-04,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0014754585591999,-0.0083481422870641
2011-05-05,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0094162613608209,-0.0167935206650731
2011-05-06,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0038755951520854,0.019825770125214
2011-05-09,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.003181892177165,-0.0008486868373221
2011-05-10,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0091640197799282,-0.0002958928288177
2011-05-11,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0068461711938449,-0.0185319981302438
2011-05-12,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0089264432111411,0.006721196110352
2011-05-13,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0063436149133065,-0.0155271527927661
2011-05-16,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0053619521346617,0.0051176436424419
2011-05-17,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0050005179672807,-0.0115208480708058
2011-05-18,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0009636550925447,0.0072724382041008
2011-05-19,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0015578466886201,0.0048953939488042
2011-05-20,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0029306542733389,0.0047075904526947
2011-05-23,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0007541779232066,-0.009440316352528
2011-05-24,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0037042252708274,-0.0107989073039195
2011-05-25,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0001727198872115,0.0097747405635644
2011-05-26,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0050842051170374,0.0120420420322077
2011-05-27,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0004886800016385,0.0026261111405485
2011-05-31,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0017249183316001,0.0040426015632639
2011-06-01,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0091508020984444,-0.0063311887465169
2011-06-02,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0029591308710372,0.0118259946244694
2011-06-03,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0040765666212712,0.0066449246395767
2011-06-06,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0064749445480809,-0.0083854890414654
2011-06-07,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.00375609245581,-0.0061211492635988
2011-06-08,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0028043029774242,3.136746425437741e-05
2011-06-09,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0026905925321989,0.0109600246522436
2011-06-10,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0027071745174162,-0.0036520380553554
2011-06-13,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0057530676332689,-0.0039469101149282
2011-06-14,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0021962589648781,-0.0032108625428296
2011-06-15,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0064965169701912,-0.0024914835390028
2011-06-16,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0107790739761254,0.0523223683134543
2011-06-17,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0008011604953665,-0.025085359800007
2011-06-20,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0096235057633522,0.0080619204133331
2011-06-21,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0012434740346763,0.0087489841181142
2011-06-22,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0027406101153873,-0.0008760243130678
2011-06-23,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.004525302377655,0.0039393545732858
2011-06-24,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0049338213017449,-0.0119973917837583
2011-06-27,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0053623352126315,0.0047681375793701
2011-06-28,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0036503454622643,0.0032536880975328
2011-06-29,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0017552763158296,0.0019485031983226
2011-06-30,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0025940064419959,0.0062627536604452
2011-07-01,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0115317649063361,0.0001678273720884
2011-07-05,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0012801921970102,0.005971141229703
2011-07-06,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0012218143481194,0.0021927764186328
2011-07-07,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0029078670068497,-0.0032317537658641
2011-07-08,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0040081646423072,0.0042379316453903
