Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,59.130001068115234,59.52999877929688,58.77000045776367,59.2400016784668,497500,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,0.0018603180849742,0.0160119348131252,-0.0048083855395754
2011-04-19,59.43999862670898,59.5,58.209999084472656,58.61000061035156,735800,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,-0.0139636277848845,0.0116422315970843,-0.0005181691464236
2011-04-20,59.810001373291016,60.9900016784668,59.810001373291016,59.97999954223633,828800,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,0.0028423033780639,0.0004763853814896,0.0007132681487319
2011-04-21,61.34000015258789,62.0099983215332,60.43999862670898,60.790000915527344,905900,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,-0.0089664042336547,-0.0034214571041341,0.0034894370581753
2011-04-25,61.119998931884766,61.720001220703125,59.91999816894531,60.25,456400,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,-0.0142342759667639,-0.0034233701667953,-0.0032798676589236
2011-04-26,60.58000183105469,61.52999877929688,60.40999984741211,60.84999847412109,336400,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,0.0044568609261413,0.0044362715002565,0.0104270176058164
2011-04-27,60.900001525878906,61.16999816894531,60.47999954223633,61.0099983215332,239200,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,0.0018061870755053,0.007595648972304,0.015028624616503
2011-04-28,60.79999923706055,61.7400016784668,60.709999084472656,61.56999969482422,466800,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,0.0126644813721365,-0.001571346578579,-0.0003109675838412
2011-04-29,61.58000183105469,62.31999969482422,61.18000030517578,61.95000076293945,566000,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,0.0060084267762748,0.0025276065109557,-0.0067332395215319
2011-05-02,62.290000915527344,62.29999923706055,60.810001373291016,60.959999084472656,393800,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,-0.0213517709344446,-0.0044976185199384,-0.0143008726859711
2011-05-03,60.709999084472656,61.060001373291016,59.310001373291016,59.68999862670898,386700,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,-0.0168011937596051,-0.0037125853127894,0.0076446914989747
2011-05-04,59.65999984741211,59.65999984741211,58.130001068115234,58.16999816894531,418800,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,-0.0249748857237288,-0.0009099861434054,0.0042397216264408
2011-05-05,57.95000076293945,57.95000076293945,56.34000015258789,56.900001525878906,1017200,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,-0.0181190547581847,-0.0027834892602857,-0.0127246487843011
2011-05-06,57.810001373291016,58.470001220703125,57.09000015258789,57.40999984741211,389200,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,-0.0069192443587055,-0.0009798074827424,-0.0077431653147414
2011-05-09,57.47999954223633,58.29999923706055,57.13999938964844,57.93000030517578,228000,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,0.0078288233563535,0.0093807355987805,0.0036686241988445
2011-05-10,58.220001220703125,59.08000183105469,58.18999862670898,58.56999969482422,418400,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,0.0060116535002172,0.0204691870385664,0.0081763746355775
2011-05-11,58.29999923706055,58.5,57.2400016784668,57.47999954223633,253500,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,-0.014065175052403,-0.0020199895852003,-0.0083935790713209
2011-05-12,57.150001525878906,57.33000183105469,55.77000045776367,55.79999923706055,692000,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,-0.0236220866627106,0.0186227158026994,0.006695828836253
2011-05-13,55.88999938964844,56.04999923706055,54.63999938964844,54.84000015258789,546300,0,0,WCC,Consumer Non-Durables,Telecommunications Equipment,-0.0187868893993049,-0.002039754157858,-0.0073780476394304
