Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,24.25142164925682,24.25142164925682,23.838124626871387,24.041271209716797,537400,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-04-19,24.06228627648714,24.174366692896033,23.873152744966053,23.99924087524414,249200,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-04-20,24.244416174764485,24.300455041205442,24.167360395226485,24.19538116455078,171200,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-04-21,24.27244850311244,24.391532821139574,24.2094030782131,24.328487396240234,217500,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-04-25,24.34249380277044,24.36350805022727,24.181378337114964,24.237417221069336,273500,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-04-26,24.27944386565987,24.447565830623866,24.27944386565987,24.412538528442383,266100,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-04-27,24.426538869187112,24.650699615478516,24.398520780055847,24.650699615478516,394900,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-04-28,24.622684162630172,25.078009558194516,24.6016672532729,25.06399917602539,422000,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-04-29,25.04999458508364,25.141060754132667,24.965934944842573,25.0570011138916,237000,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-02,25.106037825806748,25.12705206923724,24.88888084559579,24.89588737487793,193000,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-03,24.867866589004063,25.064006653472756,24.83984581630626,24.860862731933594,402200,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-04,25.03597840336082,25.09201725383023,24.538619242332814,24.650699615478516,310100,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-05,24.482595357462074,24.622696577586296,24.33549027882547,24.4195499420166,339500,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-06,24.629692758076107,24.783804319391102,24.30045539425141,24.454566955566406,323800,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-09,24.398526476515375,24.62969113100917,24.286443404994134,24.573652267456055,260000,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-10,24.66471881758759,24.811823858915268,24.636698046227696,24.75578498840332,275200,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-11,24.755790527141716,24.874874823752837,24.48959848408192,24.594675064086914,241100,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-12,24.53162434919161,24.846851348876953,24.35649853516729,24.846851348876953,385000,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-13,24.783807546779016,24.860863337470843,24.55964670415262,24.622692108154297,338500,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-16,24.559650421142578,24.741780131263006,24.482594618788706,24.559650421142578,224400,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-17,24.49659712801385,24.580656761630127,24.321471332525523,24.4755802154541,329700,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-18,24.447569204635737,24.81182861328125,24.41954842790659,24.81182861328125,420100,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-19,24.91689863801343,24.937912878930423,24.63669628881786,24.888877868652344,273200,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-20,24.804826554055012,24.86787197016349,24.580665668382334,24.608686447143555,383200,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-23,24.31446264033787,24.398524938680364,24.272434163373955,24.279438018798828,311900,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-24,24.328476813835263,24.412536453067137,24.188375633643638,24.209392547607422,167300,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-25,24.16036713587245,24.398538435176985,24.048286681623775,24.342496871948242,431400,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-26,24.167360867212945,24.61568249632685,24.062284316298506,24.552637100219727,521800,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-27,24.622694136331116,24.867869243083852,24.60868374848692,24.790813446044922,250500,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-05-31,24.972942250780584,25.057001893637494,24.874869549871683,24.909896850585938,547300,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-01,24.867871620572682,25.007972840200708,24.33549019263639,24.356504440307617,535100,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-02,24.363503962698505,24.643706352085513,24.27244045752455,24.622692108154297,492600,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-03,24.28645148775686,24.531629279995823,24.230412605553468,24.272443771362305,538400,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-06,24.181370565227418,24.251419815708687,23.999238238443926,24.069290161132812,464400,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-07,24.132337452804492,24.216397094432555,24.020257039897796,24.03426742553711,430200,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-08,23.95021139323027,23.992242561171917,23.817116703061174,23.838130950927734,622800,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-09,23.908178560494846,24.230409439635096,23.796098138523973,24.13934326171875,540100,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-10,24.034270244460295,24.146350670512643,23.845134024457934,24.020259857177734,617000,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-13,24.020254971923876,24.139339231294006,23.90817456866651,24.013248443603516,514200,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-14,24.3074589700006,24.482584751236615,24.167357810570312,24.335479736328125,451800,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-15,24.139334217434698,24.18836921666201,23.796089222843523,23.866138458251953,589800,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-16,23.894166169259563,24.167362007882375,23.7750792277886,24.041271209716797,461500,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-17,24.237414506517638,24.391526096496747,24.153354853896385,24.34949493408203,871200,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-20,24.25142003099174,24.398527733840492,24.17436425145374,24.19538116455078,518700,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-21,24.307460175268716,24.608676747706863,24.307460175268716,24.58765983581543,315700,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-22,24.552638979512516,24.727764796302488,24.468579335671542,24.482589721679688,238900,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-23,24.244416174764485,24.300455041205442,23.91517881572307,24.19538116455078,497800,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-24,24.265434253283157,24.286448497496007,24.0833045682863,24.230409622192383,467700,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-27,24.279444917693514,24.531626539962605,24.258430673240454,24.384521484375,204700,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-28,24.447570077243093,24.6577205657959,24.405538910649152,24.6577205657959,269900,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-29,24.790803404245352,25.099026467551788,24.755778784926118,25.06399917602539,279200,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-06-30,25.16207481911071,25.218116360348994,24.9939555398114,25.000959396362305,471200,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-07-01,24.958932081430888,25.1480682836554,24.88888015160261,25.071012496948242,487100,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-07-05,25.106034016165296,25.1690794090981,24.853852444434082,24.965932846069336,241800,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-07-06,24.979942432566876,25.106033214405784,24.83984126694504,25.042987823486328,232000,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-07-07,25.21812347609359,25.253148113146462,25.035993760093554,25.232133865356445,273600,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-07-08,24.944921623151867,25.11304090983659,24.881876222593128,25.07801628112793,322100,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-07-11,24.783808356658312,24.89588878163405,24.482591713497005,24.51061248779297,299500,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-07-12,24.475581319176833,24.769794058412643,24.475581319176833,24.552637100219727,212700,0.0,0,AFG,Finance,Property-Casualty Insurers
2011-07-13,24.632169278694384,24.84330162128737,24.456225212417994,24.484376907348633,496400,0.163,0,AFG,Finance,Property-Casualty Insurers
