Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,11.44393539885503,11.65523405895652,11.1650212320043,11.579166412353516,194500,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-04-19,11.655232337096168,11.88343524319212,11.604520311505857,11.849627494812012,156400,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-04-20,12.044023240135264,12.525783911807748,12.027118960969018,12.069378852844238,283300,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-04-21,12.221514826663968,12.272226860966668,11.824273110420881,11.92569637298584,69500,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-04-25,11.934148107520013,12.035571366638603,11.807369235131876,11.874984741210938,64700,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-04-26,11.94260065342804,12.16235145867837,11.908792899238792,11.959504127502441,91800,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-04-27,11.993311475316641,12.08628340071719,11.89188821618547,11.908792495727539,61000,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-04-28,11.874983832250054,12.246869087219238,11.874983832250054,12.246869087219238,67000,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-04-29,12.306033924929313,12.399005042222482,12.01866762742629,12.069378852844238,103000,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-02,12.145447177218541,12.382101456517068,11.807369635363504,11.824273109436035,97000,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-03,11.824271078996706,11.984858488332442,11.739752111066588,11.849627494812012,298000,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-04,11.824271863892228,11.832724003058384,11.646780971604738,11.680588722229004,202000,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-05,11.621425236273668,11.900339377461007,11.621425236273668,11.705945014953613,128700,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-06,11.934147546417742,11.934147546417742,11.646781256072494,11.790464401245117,117000,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-09,11.765108376405369,11.790463987593215,11.579165346933694,11.705945014953613,50000,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-10,11.773562154308916,11.900341033935547,11.629878994177158,11.900341033935547,98500,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-11,11.84962994065948,11.86653341531838,11.427032595660904,11.536907196044922,81300,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-12,11.477745567977843,11.849631739410858,11.393225763731996,11.69749641418457,68600,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-13,11.724702699004617,11.76721447368783,11.257074799178607,11.26557731628418,65600,0.082,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-16,11.223065541600969,11.495140413066729,11.223065541600969,11.26557731628418,91500,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-17,11.223062007361493,11.367601509260876,11.189052760493661,11.23156452178955,139700,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-18,11.299586739056744,11.308089256286621,11.104033707837594,11.308089256286621,60600,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-19,11.393111204119865,11.486637265458207,11.044516130372344,11.350600242614746,77700,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-20,11.265573186109282,11.384605949413654,10.950987466138121,11.061517715454102,84300,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-23,10.806450843811035,10.882971868355291,10.738432335514936,10.806450843811035,83300,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-24,10.865968120968018,10.882973155475504,10.661912571946242,10.712926864624023,68700,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-25,10.653408461003448,10.874469011463313,10.559883217737145,10.857464790344238,37300,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-26,10.857466217643083,11.104033537617042,10.74693592788308,11.087028503417969,43200,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
2011-05-27,11.121036121350699,11.146542858044086,10.908478090268545,11.053017616271973,48300,0.0,0,APOG,Capital Goods,Auto Parts:O.E.M.
