Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,8.710000038146973,8.710000038146973,8.0600004196167,8.199999809265137,292700,0,0,ASGN,Technology,Professional Services
2011-04-19,8.270000457763672,9.140000343322754,8.25,9.010000228881836,326100,0,0,ASGN,Technology,Professional Services
2011-04-20,9.229999542236328,9.470000267028809,9.020000457763672,9.390000343322754,274600,0,0,ASGN,Technology,Professional Services
2011-04-21,9.520000457763672,9.520000457763672,9.09000015258789,9.210000038146973,93600,0,0,ASGN,Technology,Professional Services
2011-04-25,9.15999984741211,9.399999618530273,8.869999885559082,8.949999809265137,131900,0,0,ASGN,Technology,Professional Services
2011-04-26,9.010000228881836,9.140000343322754,8.800000190734863,9.079999923706055,300400,0,0,ASGN,Technology,Professional Services
2011-04-27,9.050000190734863,9.260000228881836,8.8100004196167,9.130000114440918,118000,0,0,ASGN,Technology,Professional Services
2011-04-28,9.079999923706055,9.210000038146973,8.90999984741211,9.210000038146973,84000,0,0,ASGN,Technology,Professional Services
2011-04-29,10.59000015258789,11.670000076293945,10.239999771118164,10.989999771118164,746000,0,0,ASGN,Technology,Professional Services
2011-05-02,11.079999923706055,11.199999809265137,10.75,10.84000015258789,318800,0,0,ASGN,Technology,Professional Services
2011-05-03,10.760000228881836,11.0,10.550000190734863,10.640000343322754,245000,0,0,ASGN,Technology,Professional Services
2011-05-04,10.720000267028809,10.890000343322754,10.539999961853027,10.670000076293945,177900,0,0,ASGN,Technology,Professional Services
2011-05-05,10.569999694824219,11.020000457763672,10.390000343322754,10.4399995803833,160800,0,0,ASGN,Technology,Professional Services
2011-05-06,10.640000343322754,10.779999732971191,10.25,10.359999656677246,105000,0,0,ASGN,Technology,Professional Services
2011-05-09,10.3100004196167,11.069999694824219,10.300000190734863,11.020000457763672,183000,0,0,ASGN,Technology,Professional Services
2011-05-10,11.109999656677246,11.420000076293945,10.899999618530273,11.100000381469727,213900,0,0,ASGN,Technology,Professional Services
2011-05-11,11.010000228881836,11.010000228881836,10.470000267028809,10.539999961853027,218000,0,0,ASGN,Technology,Professional Services
2011-05-12,10.5,10.930000305175781,10.199999809265137,10.930000305175781,169500,0,0,ASGN,Technology,Professional Services
2011-05-13,10.899999618530273,10.899999618530273,10.539999961853027,10.619999885559082,135000,0,0,ASGN,Technology,Professional Services
2011-05-16,10.5,10.6899995803833,10.170000076293945,10.170000076293945,132900,0,0,ASGN,Technology,Professional Services
2011-05-17,10.050000190734863,10.3100004196167,10.039999961853027,10.210000038146973,157100,0,0,ASGN,Technology,Professional Services
2011-05-18,10.25,10.300000190734863,9.979999542236328,10.260000228881836,174500,0,0,ASGN,Technology,Professional Services
2011-05-19,10.380000114440918,10.40999984741211,9.9399995803833,10.239999771118164,121000,0,0,ASGN,Technology,Professional Services
2011-05-20,10.149999618530273,10.239999771118164,9.930000305175781,10.09000015258789,149200,0,0,ASGN,Technology,Professional Services
2011-05-23,9.819999694824219,10.079999923706055,9.75,9.75,160200,0,0,ASGN,Technology,Professional Services
