Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2012-11-02,11.556341405962133,11.87137754594507,11.176297187805176,11.176297187805176,6563000,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-05,11.226298185172546,11.456324319324011,10.876257337620359,11.351312637329102,887800,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-06,11.451323746553195,11.451323746553195,11.191293454439599,11.251300811767578,116000,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-07,11.251303733323736,11.421323510485637,10.901262791217507,11.341314315795898,229400,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-08,11.296309735299898,11.346315723573465,11.101287430196374,11.121289253234863,62600,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-09,11.076283570944602,11.361316454193195,11.056281748607175,11.256304740905762,57900,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-12,11.251304385267831,11.261305773629777,10.911264811240821,11.031278610229492,79900,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-13,11.001275286651635,11.001275286651635,10.701240315349615,10.851258277893066,174900,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-14,10.806249474566519,10.946265049587222,10.661232253255566,10.766244888305664,99800,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-15,10.65122925557566,10.79124576318148,10.601224245659118,10.681233406066895,45800,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-16,10.656233070467268,10.741242947538394,10.26118784439654,10.62122917175293,147900,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-19,10.751246490078497,10.826254995763927,10.626231996007817,10.72624397277832,46600,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-20,10.551219823840333,10.686235659427895,10.426205373211383,10.651230812072754,140900,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-21,10.616230607573788,10.776249007378675,10.481214725069078,10.72624397277832,196700,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-23,10.836254362266946,11.376316837730915,10.811251849631974,10.941266059875488,39900,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-26,10.971272113130535,11.096286605451304,10.961270724836501,11.081284523010254,73500,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-27,11.23129868294769,11.501330375671387,11.176292968854993,11.501330375671387,170200,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-28,11.451326370239258,11.526334868746464,11.271306164578924,11.451326370239258,46900,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-29,11.43632560422047,11.531335926899212,11.161293162622705,11.201297760009766,30100,0.0,0,DKL,Energy,Natural Gas Distribution
2012-11-30,11.276305266548768,11.296308040370882,10.816251960272426,11.226300239562988,44000,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-03,11.441326553835008,11.58134313638378,11.361317350602835,11.421324729919434,101100,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-04,11.366319784323073,11.366319784323073,11.201300658182069,11.291311264038086,19500,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-05,11.19629823769598,11.346316208933988,11.131291117808965,11.30631160736084,39600,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-06,11.286307600913624,11.556339347472052,11.1712945031357,11.366316795349121,47900,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-07,11.421322310739486,11.421322310739486,11.226300038392354,11.376317024230957,35500,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-10,11.421322378395987,11.421322378395987,11.256303311482107,11.326311111450195,23000,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-11,11.316309722458188,11.316309722458188,11.151290655576403,11.186295509338379,34200,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-12,11.141291136866354,11.216299636370861,11.141291136866354,11.211298942565918,23000,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-13,11.176297050120686,11.176297050120686,10.876262044347213,10.906265258789062,22700,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-14,10.88125951055257,10.921264102533895,10.866257430890306,10.901261329650879,7200,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-17,10.836258057823647,10.991275787353516,10.751248150574677,10.991275787353516,8500,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-18,11.056283374774296,11.496334022554192,10.891264262633708,11.176297187805176,50700,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-19,11.24129942658215,11.346312063459967,11.176292330446046,11.251300811767578,39900,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-20,11.35131403979699,11.476328507399225,11.211297492719993,11.446324348449707,27000,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-21,11.441326052129858,11.616346534194893,11.121289253234863,11.121289253234863,55100,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-24,11.146289568612694,11.616343245465526,11.146289568612694,11.511331558227539,26800,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-26,11.541334597498729,11.576338492748283,11.296306376967243,11.331310272216797,12400,0.0,0,DKL,Energy,Natural Gas Distribution
2012-12-27,11.361319132105505,11.471332519139008,11.256307394066347,11.266308784484863,10400,0.0,0,DKL,Energy,Natural Gas Distribution
