Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,36.150001525878906,36.34000015258789,35.16999816894531,36.209999084472656,177100,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-04-19,36.33000183105469,36.369998931884766,35.709999084472656,35.97999954223633,168800,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-04-20,36.61000061035156,36.9900016784668,36.540000915527344,36.810001373291016,288700,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-04-21,36.75,36.880001068115234,36.31999969482422,36.72999954223633,366900,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-04-25,36.75,36.779998779296875,36.209999084472656,36.63999938964844,172000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-04-26,36.84000015258789,37.47999954223633,36.540000915527344,37.119998931884766,280100,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-04-27,37.099998474121094,38.0099983215332,37.099998474121094,37.88999938964844,306300,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-04-28,37.7599983215332,38.33000183105469,37.43000030517578,37.689998626708984,542800,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-04-29,37.790000915527344,38.130001068115234,37.709999084472656,37.779998779296875,409000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-02,37.93000030517578,38.08000183105469,37.34000015258789,37.59000015258789,375200,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-03,37.599998474121094,37.599998474121094,36.52000045776367,36.630001068115234,298000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-04,36.59000015258789,36.720001220703125,35.630001068115234,35.900001525878906,597700,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-05,35.650001525878906,36.970001220703125,35.36000061035156,36.5,539000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-06,36.970001220703125,37.68000030517578,36.59000015258789,36.689998626708984,339200,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-09,36.599998474121094,37.40999984741211,36.31999969482422,37.34000015258789,122000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-10,37.63999938964844,38.38999938964844,37.31999969482422,38.38999938964844,146800,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-11,38.34000015258789,38.599998474121094,37.54999923706055,37.88999938964844,272500,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-12,38.099998474121094,38.59000015258789,37.709999084472656,38.52000045776367,347000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-13,38.47999954223633,38.939998626708984,38.31999969482422,38.380001068115234,166000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-16,38.279998779296875,38.29999923706055,37.68000030517578,37.84000015258789,458200,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-17,37.400001525878906,37.40999984741211,36.56999969482422,37.040000915527344,532700,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-18,37.0,37.97999954223633,36.7599983215332,37.779998779296875,292600,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-19,38.16999816894531,38.16999816894531,37.0,37.5099983215332,686700,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-20,39.599998474121094,40.290000915527344,37.779998779296875,38.9900016784668,1094500,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-23,38.79999923706055,40.34000015258789,38.560001373291016,39.5099983215332,575000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-24,39.61000061035156,40.13999938964844,39.20000076293945,39.61000061035156,323500,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-25,39.470001220703125,39.810001373291016,39.29999923706055,39.709999084472656,266600,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-26,39.68000030517578,41.29999923706055,39.29999923706055,40.869998931884766,400300,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-27,40.970001220703125,41.560001373291016,40.650001525878906,41.130001068115234,390200,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-05-31,41.45000076293945,41.66999816894531,40.59000015258789,41.63999938964844,328700,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-01,41.4900016784668,41.4900016784668,39.900001525878906,39.97999954223633,446100,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-02,39.900001525878906,40.09000015258789,39.04999923706055,39.439998626708984,369900,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-03,38.86000061035156,39.22999954223633,38.43000030517578,38.5,412500,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-06,39.22999954223633,39.709999084472656,38.0,38.029998779296875,580100,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-07,38.380001068115234,40.27000045776367,37.900001525878906,39.40999984741211,955500,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-08,39.16999816894531,39.529998779296875,38.310001373291016,38.77000045776367,741900,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-09,38.88999938964844,39.7599983215332,38.77000045776367,39.33000183105469,348000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-10,39.060001373291016,39.099998474121094,37.83000183105469,38.31999969482422,279400,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-13,38.4900016784668,39.13999938964844,38.060001373291016,38.349998474121094,307400,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-14,38.86000061035156,39.849998474121094,38.650001525878906,39.68000030517578,416000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-15,39.13999938964844,39.52000045776367,38.11000061035156,38.36000061035156,354300,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-16,38.380001068115234,38.459999084472656,37.18000030517578,37.599998474121094,438400,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-17,37.72999954223633,38.400001525878906,37.45000076293945,37.84000015258789,884500,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-20,37.7400016784668,39.22999954223633,37.7400016784668,39.0,405900,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-21,39.25,39.93000030517578,38.790000915527344,39.779998779296875,278600,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-22,39.79999923706055,39.900001525878906,38.709999084472656,38.720001220703125,299400,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-23,38.40999984741211,40.27000045776367,38.27000045776367,40.20000076293945,401400,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-24,40.15999984741211,40.15999984741211,38.869998931884766,39.15999984741211,427600,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-27,39.09000015258789,39.81999969482422,38.61000061035156,39.439998626708984,216000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-28,39.5099983215332,40.029998779296875,39.25,40.0,215500,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-29,40.04999923706055,40.54999923706055,39.56999969482422,39.81999969482422,267300,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-06-30,40.0099983215332,40.7400016784668,39.619998931884766,40.709999084472656,316400,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-01,40.97999954223633,41.650001525878906,40.31999969482422,41.56999969482422,415500,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-05,41.720001220703125,41.7400016784668,40.41999816894531,41.400001525878906,331800,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-06,41.18000030517578,41.869998931884766,40.66999816894531,41.79999923706055,277900,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-07,42.04999923706055,43.0,42.0,42.79999923706055,290500,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-08,42.130001068115234,42.470001220703125,41.63999938964844,42.349998474121094,257300,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-11,41.72999954223633,42.27000045776367,41.060001373291016,41.20000076293945,165500,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-12,41.06999969482422,41.4900016784668,40.779998779296875,40.83000183105469,353400,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-13,41.220001220703125,42.11000061035156,41.029998779296875,41.65999984741211,394100,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-14,41.86000061035156,42.06999969482422,40.70000076293945,41.029998779296875,213400,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-15,41.31999969482422,41.58000183105469,40.439998626708984,41.0099983215332,284400,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-18,40.630001068115234,40.72999954223633,39.86000061035156,40.43000030517578,213800,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-19,40.779998779296875,41.369998931884766,40.47999954223633,41.060001373291016,340000,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-20,41.04999923706055,41.11000061035156,39.9900016784668,41.04999923706055,209700,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-21,41.25,41.83000183105469,40.650001525878906,40.970001220703125,232400,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-22,41.060001373291016,41.790000915527344,40.810001373291016,41.560001373291016,168600,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-25,40.959999084472656,41.560001373291016,40.529998779296875,40.650001525878906,225100,0,0,HIBB,Consumer Services,Other Specialty Stores
2011-07-26,40.790000915527344,41.11000061035156,40.099998474121094,40.83000183105469,250200,0,0,HIBB,Consumer Services,Other Specialty Stores
