Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,9.098267520807331,9.307334448081741,9.059551341113954,9.299591064453125,2452500,0.0,0,ING,Finance,Commercial Banks
2011-04-19,9.32281775691442,9.369277306681626,9.260872182857804,9.33830451965332,1879500,0.0,0,ING,Finance,Commercial Banks
2011-04-20,9.679006550550282,9.795154333777047,9.67126316808194,9.7874116897583,1893800,0.0,0,ING,Finance,Commercial Banks
2011-04-21,9.857100438223307,9.91130337992032,9.779668824791289,9.872587203979492,1659300,0.0,0,ING,Finance,Commercial Banks
2011-04-25,9.934532476839488,9.942275859473408,9.872586892667348,9.903559684753418,1620200,0.0,0,ING,Finance,Commercial Banks
2011-04-26,9.957762405274288,10.004221965049597,9.8880741732858,9.98873519897461,1200000,0.0,0,ING,Finance,Commercial Banks
2011-04-27,10.019708543801663,10.15908649234432,9.926790157589787,10.143600463867188,2317700,0.0,0,ING,Finance,Commercial Banks
2011-04-28,10.073909927078697,10.205544471740723,10.066166544816324,10.205544471740723,2249900,0.0,0,ING,Finance,Commercial Banks
2011-04-29,10.221031690355774,10.252004484569442,10.19780227930794,10.213288307189941,874000,0.0,0,ING,Finance,Commercial Banks
2011-05-02,10.329436018343436,10.38363821929694,10.244260287188382,10.25200366973877,1614800,0.0,0,ING,Finance,Commercial Banks
2011-05-03,10.19005929748809,10.32943724616397,10.143600473562593,10.236518859863281,1330400,0.0,0,ING,Finance,Commercial Banks
2011-05-04,10.306206102583799,10.313948746304025,10.027450252067755,10.058423042297363,1898900,0.0,0,ING,Finance,Commercial Banks
2011-05-05,10.089395687702908,10.13585524160522,9.92678835671915,10.019706726074219,2449700,0.0,0,ING,Finance,Commercial Banks
2011-05-06,10.089396882301262,10.120369675753505,9.725466743849813,9.818385124206543,3883600,0.0,0,ING,Finance,Commercial Banks
2011-05-09,9.586089134216309,9.617061928735195,9.462197956140763,9.586089134216309,2174700,0.0,0,ING,Finance,Commercial Banks
2011-05-10,9.857101715724397,10.035195852753722,9.841615686410826,10.02745246887207,1905300,0.0,0,ING,Finance,Commercial Banks
2011-05-11,9.95776121213436,9.996477384233199,9.694492866451283,9.779667854309082,1605900,0.0,0,ING,Finance,Commercial Banks
2011-05-12,9.655777496823742,9.779668667076713,9.555115736380795,9.740952491760254,1876600,0.0,0,ING,Finance,Commercial Banks
2011-05-13,9.601575378718755,9.617062145552183,9.291847426547061,9.407995223999023,2485100,0.0,0,ING,Finance,Commercial Banks
2011-05-16,9.222157120988868,9.415737247755049,9.19892771254281,9.268616676330566,3264600,0.0,0,ING,Finance,Commercial Banks
2011-05-17,9.245386719035121,9.322819066709371,9.144725700888028,9.29184627532959,1639600,0.0,0,ING,Finance,Commercial Banks
2011-05-18,9.175699125188201,9.346049120302585,9.136982948680513,9.322819709777832,1709900,0.0,0,ING,Finance,Commercial Banks
2011-05-19,9.361535262349145,9.40799408030222,9.237644096541482,9.384764671325684,2028300,0.0,0,ING,Finance,Commercial Banks
2011-05-20,9.284102237940129,9.291845619851228,9.028576542470184,9.059549331665039,2597100,0.0,0,ING,Finance,Commercial Banks
2011-05-23,8.711106009803204,8.881456734094135,8.680133217973,8.834997177124023,2221400,0.0,0,ING,Finance,Commercial Banks
2011-05-24,8.904687559761225,8.96663315327489,8.804025785689086,8.842741966247559,1846300,0.0,0,ING,Finance,Commercial Banks
2011-05-25,8.873713157921468,9.067293287249207,8.850483749168026,9.013091087341309,1321500,0.0,0,ING,Finance,Commercial Banks
2011-05-26,9.075037829177372,9.160212831122625,8.943403265339457,9.129240036010742,2742500,0.0,0,ING,Finance,Commercial Banks
2011-05-27,9.198929655814212,9.268618634323747,9.13698406123901,9.253131866455078,3603300,0.0,0,ING,Finance,Commercial Banks
