Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,36.0984436414385,36.37780748177288,35.50951080582467,36.12864303588867,1777600,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-04-19,36.256999268451246,36.93653313027662,36.256999268451246,36.800628662109375,1072000,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-04-20,37.6462717274876,37.65382085553915,37.170596013317045,37.261199951171875,1148900,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-04-21,37.79727658035067,37.79727658035067,37.20079471291611,37.465057373046875,765800,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-04-25,37.525467919130215,37.608522734250265,37.07244244036106,37.14039611816406,1092400,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-04-26,37.540567726962756,37.540567726962756,36.73267563072016,37.170597076416016,1708900,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-04-27,37.321611248171436,37.68402994540071,36.8383863185324,37.65382766723633,1623300,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-04-28,37.50281152609344,38.06909116534166,37.465060126192995,37.797279357910156,1060200,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-04-29,37.85767673781632,38.49946198448972,37.81992534218774,38.348453521728516,1043900,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-02,38.41641953150533,38.55987603309405,37.79728722744148,37.857688903808594,1134700,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-03,37.079995162171244,37.39711041118491,36.57411713318838,36.838382720947266,1198900,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-04,36.92897945447189,36.92897945447189,35.7209174842748,36.18904113769531,1546800,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-05,35.607666860405814,35.74357421668674,34.777124465575675,35.21504592895508,1786800,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-06,36.566562189260864,36.97428419907836,35.758670177352315,36.15884017944336,2191900,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-09,35.871930564792585,36.498614822930094,35.728474075937655,36.234352111816406,1132500,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-10,36.408013950459704,36.589221859024626,36.07579465101105,36.43821334838867,1142600,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-11,36.43821241019158,36.51371810368936,35.55481739812541,35.856834411621094,1157000,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-12,35.94743125737518,36.22679506747221,35.58501264097297,36.07578659057617,1288700,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-13,36.19658886675626,36.46840351961311,35.773768633642774,36.02293014526367,1245200,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-16,36.11353850296947,37.14038974201517,36.01538256738348,36.196590423583984,1867800,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-17,35.7662238408341,36.15129563680251,35.39625606223415,35.811527252197266,1358800,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-18,35.90212843376693,36.16639399269202,35.48685727573858,35.72092056274414,2040900,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-19,35.65296570393803,35.86437583984119,35.36604989075012,35.66051483154297,1095600,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-20,35.8870335368077,35.8870335368077,35.07159221494537,35.600120544433594,1561200,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-23,34.68651613792035,35.13954159930526,34.60346420623474,35.041385650634766,1283500,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-24,35.426461512885076,35.788883105256716,35.305655275510496,35.44156265258789,993000,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-25,34.89792696926081,35.53970939873798,34.89792696926081,35.411354064941406,1127300,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-26,35.58501487065205,35.894580971574456,35.373601837652075,35.80397415161133,1160200,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-27,36.121087391197435,36.264543849760834,35.86437386307293,35.99272918701172,1453500,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-05-31,36.83838028631853,36.88368081589946,36.302302897797354,36.762874603271484,803700,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-06-01,36.415567906185,36.6722815442151,36.21925883251406,36.294761657714844,2539600,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-06-02,36.71002322204559,36.8685837213172,36.21169721922135,36.72512435913086,1490600,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-06-03,36.068241611743304,36.89878400983743,36.053140474291915,36.52881622314453,1341800,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-06-06,36.649624533422276,36.69492506811344,35.88703288998125,35.954986572265625,749400,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-06-07,36.347599753769195,36.430654556603045,35.977632025096426,36.000282287597656,1082800,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-06-08,35.64540963159122,35.8794728841141,35.38114699184502,35.45664978027344,994100,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-06-09,35.32074992544613,35.67561944263937,35.19239458192786,35.547264099121094,757700,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-06-10,35.43400603825482,35.43400603825482,34.54305914571602,34.580810546875,1256400,0.0,0,TS,Basic Industries,Steel/Iron Ore
2011-06-13,34.611013426003446,34.67141509286609,33.96923095432021,34.22594451904297,752700,0.0,0,TS,Basic Industries,Steel/Iron Ore
