Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry
2011-04-18,8.474472086346665,8.56526991651216,8.164245986215304,8.557703971862793,484500,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-04-19,8.603102542387667,8.603102542387667,8.406373549192544,8.421506881713867,215800,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-04-20,8.466903660613815,8.572834801258773,8.466903660613815,8.527436256408691,285000,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-04-21,8.572835181550152,8.633367058433366,8.53500257809892,8.565268516540527,196800,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-04-25,8.610666447371122,8.68633092092254,8.550134579891274,8.656064987182617,213600,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-04-26,8.693900924749798,8.792265427593081,8.656068312641295,8.724166870117188,210000,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-04-27,8.701465600326204,8.754430812199793,8.527436634686188,8.565268516540527,356200,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-04-28,8.58796856524335,8.693898989652583,8.580401900186436,8.648500442504883,247800,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-04-29,7.8918502183979715,8.239908827726275,7.558924215598655,7.9523820877075195,3087500,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-02,7.906985586373249,8.285310262482946,7.906985586373249,8.141547203063965,948200,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-03,8.103713854888134,8.179379071874495,7.9523841425124004,8.133979797363281,756100,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-04,8.111282997538845,8.209647521016135,8.065883709165785,8.088582992553711,723600,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-05,8.073448259797626,8.209645367594575,8.012916372242765,8.096147537231445,308600,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-06,8.133976848488999,8.255040574499406,8.088577590436733,8.11127758026123,398600,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-09,8.111280538992684,8.111280538992684,7.884285609124437,7.929684162139893,397400,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-10,7.937248759581732,7.9750813582994,7.8313183490884235,7.9523820877075195,218100,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-11,7.914549993124326,7.944815929706954,7.755653645666313,7.763220310211182,342100,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-12,7.801053818816837,7.831319758920231,7.6875560022314104,7.816186428070068,351000,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-13,7.801052305436665,7.8237515757113885,7.740519715376081,7.793485641479492,151800,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-16,7.7405200623558255,7.8540178620107275,7.717820791063574,7.823751926422119,239400,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-17,7.778352662240793,7.929682340183839,7.748086726652184,7.823751926422119,377400,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-18,7.816184058334333,7.831317384596325,7.6345884727707,7.695120334625244,435600,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-19,7.6951217725010554,7.8010529113386795,7.679988443411316,7.763220310211182,404400,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-20,7.725391177657045,7.831322364056026,7.657292609371783,7.808622360229492,357700,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-23,7.725389568193129,7.763222178425018,7.657291014095135,7.679990291595459,202200,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-24,7.6951247094365804,7.740523270838999,7.5664942494678575,7.574060916900635,319000,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-25,7.566492606835313,7.627024489962238,7.566492606835313,7.581625938415527,238300,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-26,7.611893054384433,7.732956839316682,7.5816271081513715,7.717823505401611,192000,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-27,7.717820665791129,7.876717005451393,7.710254001617589,7.854017734527588,198700,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-05-31,7.92211608815271,7.92968203055682,7.748086424115853,7.869150161743164,326000,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-06-01,7.82375406615723,7.8691526211578795,7.679990291595459,7.679990291595459,297200,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-06-02,7.679987695627915,7.732953620687977,7.642155819780871,7.687554359436035,264400,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-06-03,7.649721761992214,7.710253629263617,7.574057288701348,7.687554359436035,186600,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-06-06,7.649723583933306,7.748088072076084,7.475694604478587,7.528659820556641,354900,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-06-07,7.551360914602302,7.62702614573583,7.521094966468316,7.574060916900635,157600,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-06-08,7.5740586586874565,7.589191267444086,7.331930424209217,7.339497089385986,305900,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-06-09,7.324368364245694,7.347067650214985,7.142771911699492,7.286535739898682,271700,0.0,0,WWE,Consumer Services,Movies/Entertainment
2011-06-10,7.278963623918378,7.278963623918378,7.0595354328188495,7.1049346923828125,312200,0.0,0,WWE,Consumer Services,Movies/Entertainment
