Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-16,42.470001220703125,43.41999816894531,42.29999923706055,42.849998474121094,335200,0,0
2021-04-19,42.88999938964844,43.369998931884766,42.119998931884766,42.689998626708984,334400,0,0
2021-04-20,42.52000045776367,42.56999969482422,40.16999816894531,40.790000915527344,361800,0,0
2021-04-21,40.91999816894531,42.400001525878906,40.7400016784668,42.34000015258789,236000,0,0
2021-04-22,42.849998474121094,43.619998931884766,42.09000015258789,42.5099983215332,334200,0,0
2021-04-23,42.58000183105469,44.189998626708984,41.849998474121094,43.72999954223633,269000,0,0
2021-04-26,44.0,44.45000076293945,41.81999969482422,42.33000183105469,295200,0,0
2021-04-27,42.16999816894531,44.119998931884766,42.119998931884766,43.349998474121094,266000,0,0
2021-04-28,43.380001068115234,43.9900016784668,42.90999984741211,43.31999969482422,147700,0,0
2021-04-29,43.900001525878906,45.529998779296875,43.130001068115234,43.650001525878906,348200,0,0
2021-04-30,43.380001068115234,43.79999923706055,41.630001068115234,41.939998626708984,395600,0,0
