Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-16,28.190000534057617,28.34000015258789,27.190000534057617,28.219999313354492,217300,0,0
2021-04-19,28.270000457763672,28.43000030517578,27.549999237060547,28.06999969482422,257900,0,0
2021-04-20,27.8700008392334,28.43000030517578,26.260000228881836,26.979999542236328,282500,0,0
2021-04-21,26.8700008392334,28.020000457763672,26.200000762939453,27.6200008392334,175100,0,0
2021-04-22,27.739999771118164,27.739999771118164,26.65999984741211,26.709999084472656,183400,0,0
2021-04-23,26.729999542236328,27.200000762939453,26.329999923706055,26.5,206300,0,0
2021-04-26,26.6200008392334,28.8799991607666,26.6200008392334,28.25,348800,0,0
2021-04-27,28.459999084472656,28.459999084472656,26.15999984741211,26.389999389648438,166600,0,0
2021-04-28,26.229999542236328,26.559999465942383,25.889999389648438,26.479999542236328,79300,0,0
2021-04-29,26.56999969482422,26.93000030517578,25.950000762939453,26.15999984741211,67800,0,0
2021-04-30,25.899999618530273,26.010000228881836,25.5,25.549999237060547,136639,0,0
