Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-16,496.6499938964844,506.8699951171875,495.8599853515625,502.6000061035156,1169400,0,0
2021-04-19,503.010009765625,505.9700012207031,498.4700012207031,499.69000244140625,707800,0,0
2021-04-20,499.54998779296875,506.7300109863281,497.3999938964844,504.4200134277344,858800,0,0
2021-04-21,507.489990234375,510.32000732421875,503.2200012207031,506.4800109863281,621300,0,0
2021-04-22,505.3999938964844,505.3999938964844,489.2799987792969,490.42999267578125,1000500,0,0
2021-04-23,488.6300048828125,491.489990234375,484.0299987792969,488.6400146484375,819800,0,0
2021-04-26,489.8399963378906,502.0,485.0,501.1700134277344,830300,0,0
2021-04-27,502.6000061035156,502.6000061035156,491.260009765625,491.80999755859375,474500,0,0
2021-04-28,494.9100036621094,495.44000244140625,487.5,487.7699890136719,654000,0,0
2021-04-29,489.69000244140625,490.0,482.2799987792969,485.0,574300,0,0
2021-04-30,482.7699890136719,491.5790100097656,480.5350036621094,481.29998779296875,683402,0,0
