Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-16,51.189998626708984,51.45000076293945,50.029998779296875,50.7400016784668,171000,0,0
2021-04-19,50.70000076293945,50.72999954223633,49.58000183105469,50.130001068115234,92900,0,0
2021-04-20,50.529998779296875,50.529998779296875,48.290000915527344,48.75,103100,0,0
2021-04-21,48.290000915527344,49.439998626708984,47.70000076293945,49.22999954223633,122300,0,0
2021-04-22,49.9900016784668,49.9900016784668,46.470001220703125,47.90999984741211,214700,0,0
2021-04-23,48.40999984741211,50.68000030517578,48.38999938964844,49.84000015258789,453300,0,0
2021-04-26,50.25,51.0,49.4900016784668,50.310001373291016,311000,0,0
2021-04-27,49.970001220703125,50.95000076293945,49.970001220703125,50.31999969482422,264100,0,0
2021-04-28,49.869998931884766,50.63999938964844,49.52000045776367,50.029998779296875,283100,0,0
2021-04-29,50.5099983215332,50.68000030517578,49.79999923706055,50.02000045776367,136300,0,0
2021-04-30,49.599998474121094,50.02000045776367,49.23500061035156,49.36000061035156,172363,0,0
