Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-16,78.11000061035156,78.48999786376953,77.06999969482422,77.12999725341797,97500,0,0
2021-04-19,76.83000183105469,77.13999938964844,75.8499984741211,76.77999877929688,95200,0,0
2021-04-20,76.3499984741211,76.72000122070312,73.41000366210938,73.98999786376953,77900,0,0
2021-04-21,73.9800033569336,77.43000030517578,73.61000061035156,77.19999694824219,111800,0,0
2021-04-22,77.20999908447266,77.97000122070312,74.52999877929688,74.66999816894531,198000,0,0
2021-04-23,75.41999816894531,77.55000305175781,75.27999877929688,76.4800033569336,182200,0,0
2021-04-26,77.33999633789062,77.81999969482422,75.41999816894531,75.68000030517578,165500,0,0
2021-04-27,75.80999755859375,76.87999725341797,74.83999633789062,75.37999725341797,184300,0,0
2021-04-28,74.93000030517578,76.79000091552734,73.80000305175781,76.05999755859375,146900,0,0
2021-04-29,76.69000244140625,76.69000244140625,71.47000122070312,72.91000366210938,131500,0,0
2021-04-30,71.98999786376953,72.72000122070312,70.70999908447266,71.19999694824219,184590,0,0
