,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change
0,2011-04-18,21.56999969482422,21.61000061035156,20.920000076293945,21.290000915527344,63800,0,0,CFX,Capital Goods,Fluid Controls,-0.012980935709705248,-0.010570542159724588
1,2011-04-19,21.36000061035156,21.38999938964844,21.059999465942383,21.290000915527344,78100,0,0,CFX,Capital Goods,Fluid Controls,-0.0032771391771539413,0.024380927979059754
2,2011-04-20,21.68000030517578,21.8700008392334,21.649999618530277,21.780000686645508,43700,0,0,CFX,Capital Goods,Fluid Controls,0.004612563656000177,-0.0036885546099280557
3,2011-04-21,21.959999084472656,22.170000076293945,21.71999931335449,22.059999465942383,79000,0,0,CFX,Capital Goods,Fluid Controls,0.004553751622896661,-0.02240364310481664
4,2011-04-25,22.01000022888184,22.11000061035156,21.739999771118164,22.049999237060547,66900,0,0,CFX,Capital Goods,Fluid Controls,0.001817310666186187,-0.0011961798298959717
5,2011-04-26,22.13999938964844,22.559999465942383,22.030000686645508,22.299999237060547,71000,0,0,CFX,Capital Goods,Fluid Controls,0.007226732241325796,0.0031590049159445485
6,2011-04-27,22.299999237060547,22.299999237060547,21.770000457763672,22.07999992370605,81600,0,0,CFX,Capital Goods,Fluid Controls,-0.00986544039826141,0.0021474620290608997
7,2011-04-28,22.0,22.040000915527344,21.63999938964844,21.8799991607666,46600,0,0,CFX,Capital Goods,Fluid Controls,-0.005454583601518111,-0.015034480622555815
8,2011-04-29,21.8700008392334,22.020000457763672,21.82999992370605,21.850000381469727,60000,0,0,CFX,Capital Goods,Fluid Controls,-0.0009145156376854051,-0.0013712932713190313
9,2011-05-02,21.989999771118164,22.06999969482422,21.51000022888184,21.51000022888184,112000,0,0,CFX,Capital Goods,Fluid Controls,-0.021828083093787008,-0.019711844732353254
10,2011-05-03,22.5,22.5,20.46999931335449,20.850000381469727,235000,0,0,CFX,Capital Goods,Fluid Controls,-0.07333331637912327,-0.00143334881630545
11,2011-05-04,20.8799991607666,21.100000381469727,20.520000457763672,20.989999771118164,173000,0,0,CFX,Capital Goods,Fluid Controls,0.005268228676859959,-0.0053195461566493945
12,2011-05-05,20.899999618530277,21.450000762939453,20.790000915527344,21.0,148200,0,0,CFX,Capital Goods,Fluid Controls,0.004784707334686315,0.0063904826455142595
13,2011-05-06,21.34000015258789,21.489999771118164,20.940000534057617,21.01000022888184,120400,0,0,CFX,Capital Goods,Fluid Controls,-0.015463913840039603,-0.011422475956310345
14,2011-05-09,21.030000686645508,21.489999771118164,20.8700008392334,21.43000030517578,80000,0,0,CFX,Capital Goods,Fluid Controls,0.019020428220160812,0.005977587051981206
15,2011-05-10,21.5,22.63999938964844,21.5,22.43000030517578,199000,0,0,CFX,Capital Goods,Fluid Controls,0.043255828147710756,0.015713967314456793
16,2011-05-11,22.399999618530277,22.479999542236328,22.100000381469727,22.15999984741211,173700,0,0,CFX,Capital Goods,Fluid Controls,-0.010714275678809794,-0.019583991360700374
17,2011-05-12,21.959999084472656,22.38999938964844,21.76000022888184,22.25,89000,0,0,CFX,Capital Goods,Fluid Controls,0.013205871020841519,0.010398748087071068
18,2011-05-13,22.25,22.25,21.96999931335449,22.059999465942383,136000,0,0,CFX,Capital Goods,Fluid Controls,-0.008539349845286166,-0.011238810896747149
19,2011-05-16,21.920000076293945,22.030000686645508,21.40999984741211,21.43000030517578,76100,0,0,CFX,Capital Goods,Fluid Controls,-0.022354004079046027,-0.003954462903994673
20,2011-05-17,21.270000457763672,21.38999938964844,21.049999237060547,21.239999771118164,129200,0,0,CFX,Capital Goods,Fluid Controls,-0.0014104694875339031,-0.009712276416007231
21,2011-05-18,21.32999992370605,21.700000762939453,21.209999084472656,21.65999984741211,82900,0,0,CFX,Capital Goods,Fluid Controls,0.015471163848401989,0.009616634602533423
22,2011-05-19,21.81999969482422,21.84000015258789,21.229999542236328,21.670000076293945,80800,0,0,CFX,Capital Goods,Fluid Controls,-0.006874409744646049,-0.002415544927673802
23,2011-05-20,21.549999237060547,21.549999237060547,20.88999938964844,21.200000762939453,123700,0,0,CFX,Capital Goods,Fluid Controls,-0.016241229072490402,0.004991046559641222
24,2011-05-23,20.71999931335449,20.81999969482422,20.459999084472656,20.799999237060547,111700,0,0,CFX,Capital Goods,Fluid Controls,0.003861000306814516,-0.010951206095883825
25,2011-05-24,20.82999992370605,21.11000061035156,20.61000061035156,20.8799991607666,130600,0,0,CFX,Capital Goods,Fluid Controls,0.002400347443287682,-0.013617028651492478
26,2011-05-25,20.770000457763672,21.3799991607666,20.71999931335449,21.280000686645508,129900,0,0,CFX,Capital Goods,Fluid Controls,0.02455465660286982,0.016787733828414617
27,2011-05-26,21.209999084472656,21.82999992370605,21.149999618530277,21.690000534057617,114100,0,0,CFX,Capital Goods,Fluid Controls,0.022630903833294306,0.024535712510394592
28,2011-05-27,21.809999465942383,22.020000457763672,21.59000015258789,22.0,138400,0,0,CFX,Capital Goods,Fluid Controls,0.008711624883545476,0.022083775653116765
29,2011-05-31,22.229999542236328,22.549999237060547,21.950000762939453,22.530000686645508,178800,0,0,CFX,Capital Goods,Fluid Controls,0.013495328411464272,0.009583198896815961
30,2011-06-01,22.420000076293945,22.88999938964844,21.63999938964844,21.690000534057617,216300,0,0,CFX,Capital Goods,Fluid Controls,-0.032560193566109834,-0.025626803649377295
31,2011-06-02,21.770000457763672,22.13999938964844,21.739999771118164,21.940000534057617,73700,0,0,CFX,Capital Goods,Fluid Controls,0.00780891468623371,-0.006374789622565689
32,2011-06-03,21.6200008392334,22.059999465942383,21.420000076293945,21.88999938964844,117800,0,0,CFX,Capital Goods,Fluid Controls,0.012488369099647834,-0.0011665733547437573
33,2011-06-06,21.8799991607666,22.100000381469727,21.780000686645508,21.88999938964844,142600,0,0,CFX,Capital Goods,Fluid Controls,0.0004570488695342855,-0.01770697898349506
34,2011-06-07,22.07999992370605,22.43000030517578,21.920000076293945,22.209999084472656,120200,0,0,CFX,Capital Goods,Fluid Controls,0.005887643171005283,-0.013902695699904332
35,2011-06-08,22.18000030517578,23.13999938964844,22.020000457763672,22.84000015258789,317800,0,0,CFX,Capital Goods,Fluid Controls,0.029756530132152258,-0.013021505956457603
36,2011-06-09,23.030000686645508,23.8799991607666,23.0,23.520000457763672,260200,0,0,CFX,Capital Goods,Fluid Controls,0.021276585171892855,0.003597592194165113
37,2011-06-10,23.459999084472656,24.0,22.979999542236328,23.13999938964844,355900,0,0,CFX,Capital Goods,Fluid Controls,-0.013640226228142168,-0.01263692044583633
38,2011-06-13,23.170000076293945,23.290000915527344,22.549999237060547,22.600000381469727,220500,0,0,CFX,Capital Goods,Fluid Controls,-0.02460076361447257,-0.010385659278701876
39,2011-06-14,22.809999465942383,23.11000061035156,22.75,23.059999465942383,310100,0,0,CFX,Capital Goods,Fluid Controls,0.010960105473622438,0.011412475280905866
40,2011-06-15,22.780000686645508,22.950000762939453,22.440000534057617,22.56999969482422,169200,0,0,CFX,Capital Goods,Fluid Controls,-0.009218656079514498,-0.008938081391799982
41,2011-06-16,22.6299991607666,23.21999931335449,22.530000686645508,23.0,119500,0,0,CFX,Capital Goods,Fluid Controls,0.016350015596768783,-0.002135585597971405
42,2011-06-17,23.149999618530277,23.82999992370605,23.01000022888184,23.200000762939453,307700,0,0,CFX,Capital Goods,Fluid Controls,0.0021598766839353647,-0.010334059840113392
43,2011-06-20,23.1200008392334,23.420000076293945,22.88999938964844,23.229999542236328,83500,0,0,CFX,Capital Goods,Fluid Controls,0.004757729195937909,0.008817554545000775
44,2011-06-21,23.209999084472656,23.790000915527344,23.209999084472656,23.63999938964844,156700,0,0,CFX,Capital Goods,Fluid Controls,0.018526511078729525,0.017358246901914606
45,2011-06-22,23.46999931335449,23.75,23.270000457763672,23.299999237060547,108900,0,0,CFX,Capital Goods,Fluid Controls,-0.007243292768108914,0.01225651206812281
46,2011-06-23,23.0,23.670000076293945,22.56999969482422,23.63999938964844,94300,0,0,CFX,Capital Goods,Fluid Controls,0.027826060419497436,0.020846795243944262
47,2011-06-24,23.729999542236328,23.809999465942383,23.049999237060547,23.36000061035156,209600,0,0,CFX,Capital Goods,Fluid Controls,-0.015592032828581348,-0.011800962548533111
48,2011-06-27,23.309999465942383,23.75,23.09000015258789,23.559999465942383,87500,0,0,CFX,Capital Goods,Fluid Controls,0.010725010970732467,0.016695104110915508
49,2011-06-28,23.649999618530277,24.5,23.649999618530277,24.5,141300,0,0,CFX,Capital Goods,Fluid Controls,0.03594082009218003,0.01638991713296675
50,2011-06-29,24.559999465942383,25.06999969482422,24.239999771118164,24.76000022888184,119600,0,0,CFX,Capital Goods,Fluid Controls,0.008143353716957524,-0.019556967841529493
51,2011-06-30,24.8700008392334,25.06999969482422,24.75,24.799999237060547,196400,0,0,CFX,Capital Goods,Fluid Controls,-0.0028147004346868094,0.010143069297856766
