,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change
0,2011-04-18,16.184862497928762,16.386627382543374,15.75951870642462,16.212127685546875,306400,0.0,0,CYD,Energy,Industrial Machinery/Components,0.0016846103957696365,-0.001663276788966602
1,2011-04-19,16.25575645861906,16.468428924775026,15.928568929233371,16.293928146362305,146600,0.0,0,CYD,Energy,Industrial Machinery/Components,0.002348195104941095,0.023920925528462388
2,2011-04-20,16.708365889439094,16.904678619138675,16.370272899512603,16.89377212524414,223000,0.0,0,CYD,Energy,Industrial Machinery/Components,0.011096610945193465,0.0052315242244187115
3,2011-04-21,16.986472332408063,17.68992442645645,16.926488706467712,17.640846252441406,551000,0.0,0,CYD,Energy,Industrial Machinery/Components,0.038523238211437216,0.018679480099289835
4,2011-04-25,17.91895805407404,17.91895805407404,17.062818122427114,17.286396026611328,306200,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.03530127285045419,0.0028494890401517246
5,2011-04-26,17.36819441131728,17.978944555231298,17.36819441131728,17.788084030151367,370200,0.0,0,CYD,Energy,Industrial Machinery/Components,0.024175778373397492,-0.006655651791887469
6,2011-04-27,17.940774491140147,18.16980464573794,17.788085641207065,18.0880069732666,348300,0.0,0,CYD,Energy,Industrial Machinery/Components,0.008206584515019915,-0.014702476221288494
7,2011-04-28,18.202522827395665,18.202522827395665,17.70628878109817,17.891695022583008,195500,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.017076083780257455,-0.001987411219897362
8,2011-04-29,17.968039339083898,18.10436740375039,17.74991360353704,18.060741424560547,206000,0.0,0,CYD,Energy,Industrial Machinery/Components,0.005159276631535656,0.0019016810606158998
9,2011-05-02,18.262505921643125,18.26795812818404,17.744458931818624,17.91895866394043,305500,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.018811616498673026,-0.012012861345999373
10,2011-05-03,17.90805506532038,18.006211440530027,16.70291440539168,16.98102378845215,505700,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.05176616184654591,-0.02084660889722351
11,2011-05-04,16.95920975792293,16.95920975792293,16.048538335343423,16.250303268432617,455800,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.041800679371816245,-0.019669476761989053
12,2011-05-05,16.032178159917617,16.5229589223446,15.895850112571209,16.3920841217041,259000,0.0,0,CYD,Energy,Industrial Machinery/Components,0.022448974693051564,-0.004366052419589065
13,2011-05-06,16.73017743897979,16.98102053638672,16.223036957587055,16.419349670410156,222400,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.01857886861650576,-0.013271596460775673
14,2011-05-09,16.4738779869258,16.692003658280097,16.413894363393627,16.675643920898438,151000,0.0,0,CYD,Energy,Industrial Machinery/Components,0.012247628283562972,0.021781675420120987
15,2011-05-10,16.86650583765384,17.199146599178352,16.686552860457066,17.144615173339844,302100,0.0,0,CYD,Energy,Industrial Machinery/Components,0.01648885301810025,0.009875579880024575
16,2011-05-11,15.486865177787536,16.064895777719848,14.23264762244187,14.24355411529541,1471000,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.08028164823668632,-0.03222364771462762
17,2011-05-12,14.178116320438455,15.11605287181593,13.692788825378658,15.02334976196289,731000,0.0,0,CYD,Energy,Industrial Machinery/Components,0.05961535527155955,0.002699954495857005
18,2011-05-13,15.045162593652304,15.126959209719454,14.19447591437324,14.368975639343262,617200,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.044943811680329175,-0.0075742568808764114
19,2011-05-16,14.27081782555588,14.445317532692169,13.905458673701668,13.938177108764648,347900,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.023309155849186598,-0.006098329372886832
20,2011-05-17,13.927272617267676,13.932724823403792,13.496475525488748,13.567365646362305,406600,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.02584188453804958,0.0025755705460870346
21,2011-05-18,13.583726174142754,14.041788483612317,13.583726174142754,13.943632125854492,458200,0.0,0,CYD,Energy,Industrial Machinery/Components,0.02649537741690021,0.022914224940973605
22,2011-05-19,14.169556663473486,14.331759678344143,14.047905231008723,14.192728996276855,452100,1.5,0,CYD,Energy,Industrial Machinery/Components,0.0016353604670711764,-0.010195884511032177
23,2011-05-20,12.165195024350664,13.074687999384365,11.296252522611333,12.182574272155762,3108200,0.0,0,CYD,Energy,Industrial Machinery/Components,0.0014286041259766,0.0011371340607596603
24,2011-05-23,12.59387564576012,12.59387564576012,11.881342920720927,11.991409301757812,1064500,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.04783804135823231,0.004904391731893026
25,2011-05-24,12.165195194320956,12.356362503177868,11.939270494285752,12.10726547241211,819500,0.0,0,CYD,Energy,Industrial Machinery/Components,-0.004761922927129867,0.0038985521971907754
26,2011-05-25,12.124645304689365,12.454843299087662,12.084094828874496,12.333191871643066,313800,0.0,0,CYD,Energy,Industrial Machinery/Components,0.017200220024007118,0.02992916996216324
