,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change
0,2011-04-18,5.612103843634998,5.635883772707485,5.535757127347663,5.55077600479126,1122400,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.010927780481698193,-0.002557052913197418
1,2011-04-19,5.56579525228566,5.597084858196973,5.550775897690352,5.563292026519775,1418000,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.00044975168011382384,-0.0008102588494128478
2,2011-04-20,5.585820187953221,5.6358832674239885,5.5570338098332,5.620864391326904,1171200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.006273779354599014,0.0061152986166797185
3,2011-04-21,5.64214067933157,5.657159553057457,5.619612130022045,5.635882377624512,656800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.0011092069593344046,0.0015013943845031963
4,2011-04-25,5.632127285003662,5.669674704748751,5.624617610078106,5.632127285003662,741600,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.0,-0.0010498524975150446
5,2011-04-26,5.618360436311874,5.708474636077881,5.618360436311874,5.708474636077881,880400,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.01603923436161063,0.0027961788388978556
6,2011-04-27,5.719740817782227,5.794835690993269,5.685947981604789,5.786074638366699,556400,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.01159734727459082,0.010883347396519607
7,2011-04-28,5.764796500307419,5.788576426179291,5.73851287151684,5.747273921966553,768800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.003039583156132557,0.0041356571146499285
8,2011-04-29,5.757287009284061,5.766048060015916,5.732255231146709,5.753532409667969,396000,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.0006521473760189504,0.0004592851725168055
9,2011-05-02,5.774807400482841,5.794832721573739,5.673429421340742,5.693454742431641,1617200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.01408751018162061,-0.00791872356863904
10,2011-05-03,5.679689508293443,5.679689508293443,5.547021404790737,5.55077600479126,1455600,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.0226972800738393,0.006186501568533272
11,2011-05-04,5.538099020990448,5.552042584543777,5.307397742781959,5.531761169433594,2046000,0.14,0.0,ET,Public Utilities,Natural Gas Distribution,-0.0011444092156591929,0.0014558603897841414
12,2011-05-05,5.4189462447613135,5.479790495448769,5.242751344813807,5.282046318054199,2527200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.02526320072642541,-0.009331265686180314
13,2011-05-06,5.289649730906032,5.458239328435798,5.285847117999827,5.430352210998535,3282000,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.02659958357363724,-0.003869487342927032
14,2011-05-09,5.44302969735837,5.46077635835861,5.355566186961855,5.359368801116943,1446800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.015370281055425714,0.0031966792474601817
15,2011-05-10,5.374578721032641,5.374578721032641,5.330212806266159,5.335283279418945,1183200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.0073113528805371945,0.009088148850576303
16,2011-05-11,5.323876287879013,5.332749376341714,5.11599167210079,5.197117328643799,2602800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.023809523809523794,-0.0068358206133990376
17,2011-05-12,5.173033412033589,5.265567396245342,5.06655586463771,5.222469329833984,2468000,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.009556465977079714,0.008880448103806981
18,2011-05-13,5.208525945415215,5.282045894436115,5.071626029687423,5.090640068054199,2142800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.022633251441280554,-0.006018149686660956
19,2011-05-16,5.074160966979752,5.190779460542072,5.07162572977763,5.14007568359375,1568400,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.012990269138669354,-0.005339631974968867
20,2011-05-17,5.12106177694881,5.146413180128669,4.914444552913221,5.052611827850342,2419600,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.013366358790393613,0.004958328610456776
21,2011-05-18,5.052612584706763,5.119794683581572,5.050077347299607,5.115992069244385,1533200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.012543903470742792,0.0009399187515250609
22,2011-05-19,5.155286639993591,5.273172510766106,5.14641355153089,5.197117328643799,1942000,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.008114134396658885,0.0015696155107910428
23,2011-05-20,5.207257181533665,5.266833551023408,5.146412468385107,5.238946914672852,1545600,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.0060856861941766755,-0.0029175924151166027
24,2011-05-23,5.214862789156775,5.214862789156775,5.06021672539987,5.13500452041626,2876800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.015313589632034738,-0.000761868592604595
25,2011-05-24,5.169231887978073,5.209794729472526,5.070360022278746,5.07796573638916,2434000,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.01765565050412383,-0.003736527805936812
26,2011-05-25,5.06402050171832,5.156554483634013,5.0627526413437325,5.14007568359375,1516000,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.015018734985299247,-0.0001304493866867737
27,2011-05-26,5.147680032998006,5.266833248684538,5.122328151232574,5.265565872192383,1069200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.022900770529383465,0.004989707224240163
28,2011-05-27,5.288383063593019,5.317537561392822,5.255425468830129,5.2896504402160645,1192400,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.00023965295399460426,0.0005166376110819608
29,2011-05-31,5.32387522554149,5.356832335605608,5.303593815452733,5.341621398925781,992000,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.0033333188011532844,0.001743443545429235
30,2011-06-01,5.342890156563934,5.397396545998643,5.323876119859904,5.340354919433594,3522000,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.0004745066913317647,-0.009100882310952508
31,2011-06-02,5.334017582486746,5.502606757753547,5.323876632987977,5.477254867553711,2292400,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.02685354572831888,-0.0029417324415701917
32,2011-06-03,5.45063506981823,5.483592185386667,5.430353656342184,5.475986957550049,1565200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.004651180533475679,0.004156086293153145
33,2011-06-06,5.451903115797599,5.467114540432026,5.349228659024258,5.401199817657471,1333200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.009300109899827214,-0.006400976598457711
34,2011-06-07,5.42781838550338,5.456972886972435,5.3669741454531295,5.373311996459961,1010000,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.010042043630088001,-0.003760223683862266
35,2011-06-08,5.388523729619874,5.446833224697306,5.323876866148795,5.369510173797607,1039600,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.003528527807672453,0.002812433030122158
36,2011-06-09,5.413875702807525,5.53936730073965,5.377115484029243,5.519085884094238,1088800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.01943343125372335,-0.002607070562275996
37,2011-06-10,5.472184392804326,5.505141995128239,5.405002294789784,5.477254867553711,1257600,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.0009265906236734356,-0.0026704433162311877
38,2011-06-13,5.49373370062863,5.524156065754574,5.358101643350772,5.398664474487305,908400,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.017305029934459194,0.005699256636721095
39,2011-06-14,5.458240548687173,5.458240548687173,5.392325836811152,5.413874626159668,742800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.008128246113699776,-0.0021775802925860046
40,2011-06-15,5.387255983334974,5.439227139361734,5.34922839075026,5.383453369140625,701200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.0007058536305146976,-0.006450720529072527
41,2011-06-16,5.458240749301089,5.856263788659151,5.450635037961883,5.825841426849365,6312800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.06734783136770701,0.010735127485739059
42,2011-06-17,5.792885649932344,5.829645871244812,5.601479313820633,5.607817649841309,6188800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.03194746302185275,-0.0008024767799169204
43,2011-06-20,5.602747499220265,5.677535323256301,5.595141785682859,5.672464847564697,1918800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.012443421438166683,0.009570298222174936
44,2011-06-21,5.680069074560033,6.000769083141698,5.642041000372585,5.841053009033203,3452400,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.02834189731850036,0.001240932970026827
45,2011-06-22,5.830912003603056,5.931051695368399,5.796687027295393,5.8169684410095215,1803600,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.002391317616338342,-0.0027597982228221548
46,2011-06-23,5.744715122632649,5.784010568113095,5.678800415801086,5.776404857635498,1306800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.005516328369008196,0.00452094983623404
47,2011-06-24,5.577393746820163,5.607816107290778,5.44429694729863,5.458240509033203,3689600,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.021363605152476914,-0.004928654732965127
48,2011-06-27,5.42655194565131,5.5355642590128165,5.415143618450474,5.520353317260742,1381200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.017285630460904734,0.00534278406585091
49,2011-06-28,5.548240874330952,5.586268473415252,5.434157593530898,5.576128005981445,1145200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.005026301539919314,0.0036678632173581926
50,2011-06-29,5.654718502831324,5.75739297311065,5.585001156500965,5.634437084197998,771200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.003586636297310126,0.0017986702187833417
51,2011-06-30,5.6597874088628375,5.8157008620353166,5.6597874088628375,5.699082374572754,2301200,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.006942834221720626,0.0025799589303471425
52,2011-07-01,5.706687056012586,5.73457417519801,5.649645441109192,5.663589000701904,1458800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.007552202335201407,0.011497117629913142
53,2011-07-05,5.638238289575424,5.734575366660707,5.628097824567366,5.702885627746582,3014800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.011465875482894104,-0.0013311479901707635
54,2011-07-06,5.676266454471463,5.704153582275435,5.668661225831901,5.682604789733887,2280000,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.0011166380777333927,0.00122136374650749
55,2011-07-07,5.715561864167628,5.757392071999979,5.6547176177906096,5.704153537750244,1490800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,-0.0019960113613511766,-0.002886544068224244
56,2011-07-08,5.686407359667,5.723167576294913,5.663590706832232,5.704153537750244,1212800,0.0,0.0,ET,Public Utilities,Natural Gas Distribution,0.00312080668175753,0.003992066008204873
