,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change
0,2011-04-18,26.274079164889677,26.557358738724428,26.231589119902424,26.33073616027832,3870900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.002156383675069161,0.016011934813125253
1,2011-04-19,26.30950216849662,26.5927791595459,26.26700940413932,26.5927791595459,3851400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0107670981090808,0.011642231597084326
2,2011-04-20,26.82647737804048,27.03185225781216,26.63526404731133,26.918540954589844,7456400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0034318175753006368,0.00047638538148964767
3,2011-04-21,26.89021193921461,26.90437618811785,26.734407902833187,26.847719192504883,3726200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.001580231007690873,-0.00342145710413417
4,2011-04-25,26.76273762084713,27.18765430110086,26.76273762084713,27.060178756713867,5924500,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.01111400261365797,-0.003423370166795341
5,2011-04-26,27.138075787032506,27.26555130797331,27.08142150081096,27.25847053527832,4700000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0044363774790305305,0.004436271500256597
6,2011-04-27,27.26556298517842,27.32221999721871,27.12392315663272,27.286808013916016,3634900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0007791890726461299,0.007595648972304073
7,2011-04-28,27.23015468182381,27.357630261939697,27.138088384727865,27.26556396484375,3930800,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.001300370248854189,-0.0015713465785790592
8,2011-04-29,27.251394779158318,27.442608114724887,27.208902026291973,27.322216033935547,3053900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.002598812110394905,0.002527606510955731
9,2011-05-02,27.393030743697068,27.69047186736417,27.385947268435896,27.5700798034668,6970300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.006463288470205881,-0.004497618519938472
10,2011-05-03,27.563000089286398,27.84627970419429,27.548838539940164,27.817951202392575,4394400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.009249759180071086,-0.00371258531278947
11,2011-05-04,27.711728165019565,27.789630207668186,27.44261275447573,27.485105514526367,3273400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.008177860620733966,-0.0009099861434054273
12,2011-05-05,27.40719795342773,27.44260722889604,27.1168375721003,27.20182037353516,3682700,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.007493563560987232,-0.0027834892602857843
13,2011-05-06,27.393035472333544,27.584248814078965,27.28680493751229,27.38595199584961,2904900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0002585867671032253,-0.000979807482742461
14,2011-05-09,27.39303681770699,27.46385537669617,27.2584804750056,27.414281845092773,3196500,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0007755630573990184,0.009380735598780561
15,2011-05-10,27.428451755292865,27.69048371947205,27.414287500262173,27.619665145874023,2291800,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0069713519482287045,0.020469187038566417
16,2011-05-11,27.59132528438192,27.704636576454263,27.39303119864389,27.47801399230957,2230200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.00410677236067706,-0.0020199895852003056
17,2011-05-12,27.343463632004624,27.98083877563476,27.29389009977411,27.98083877563477,4348800,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.023309963661081987,0.018622715802699488
18,2011-05-13,27.987920657329106,28.16496974850536,27.91001862496279,28.12956047058105,4126500,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.00506074799146805,-0.002039754157858074
19,2011-05-16,28.023330127215704,28.143724914848736,27.8958545645712,28.051658630371094,3142400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0010108899629982734,-0.005739034538291026
20,2011-05-17,27.995005255092128,28.257039890933992,27.97376022574742,28.23579216003418,4727700,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.008601066609846561,0.0060344335466149986
21,2011-05-18,28.25703388491493,28.264114659339786,28.0799848071938,28.249950408935547,4229300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.00025068009644010745,0.001985336619809197
22,2011-05-19,28.29243850708008,28.306602755154817,28.129553706551757,28.29243850708008,3806900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0,-0.003208346174505083
23,2011-05-20,28.264116807315304,28.327854588200942,28.07290346465838,28.12956047058105,3339500,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.004760677209606883,-0.0005479881900091933
24,2011-05-23,28.009162121131364,28.21453968914584,27.92417932461153,28.157882690429688,2705600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.005309711467096035,0.00400907825285404
25,2011-05-24,28.186216233807173,28.186216233807173,27.9029392941962,28.01625061035156,2617200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.006030097195229531,-0.00284967085323905
26,2011-05-25,27.938346594007623,27.938346594007623,27.619657695669726,27.747133255004883,3037900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.006844117935159144,0.00021660516494000976
27,2011-05-26,27.761298765692004,27.782543792693485,27.499266860306157,27.71172523498535,3592200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0017857064658630634,-0.0034826217555821437
28,2011-05-27,27.711725687447498,27.895855561427897,27.626740174944374,27.82503700256348,1930300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0040889303103670985,-0.0025860903264819214
29,2011-05-31,28.016249806305016,28.172051173075456,27.747134425076364,28.16497039794922,3566600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0053083689884409,2.5023884144952263e-05
30,2011-06-01,28.05165733603356,28.0658215869577,27.76129694597528,27.77546119689941,2831300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.009845982924487113,-0.01644032529381847
31,2011-06-02,27.499267518659327,27.76838020563683,27.13100506633999,27.230152130126957,4361800,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.009786274792583647,-0.0072747227767184595
32,2011-06-03,27.00352033360496,27.038929601289407,26.805223571774924,26.86896133422852,3452700,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.004983016944238461,0.0011066731209556572
33,2011-06-06,26.883134806668945,26.996446123074787,26.74149498577292,26.77690696716309,4505300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.003951467723901881,-0.007161344788977274
34,2011-06-07,26.897297377420443,26.953954382858875,26.748576790476637,26.80523109436035,2802900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.003422882298106982,-0.0030719597282743575
35,2011-06-08,26.73442091427622,26.91147005940388,26.592781057862982,26.861896514892575,2131200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.004768220004656296,-0.004186216254118032
36,2011-06-09,26.8689729901778,27.13808840412089,26.74149740997082,26.95395851135254,2388000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.003162961279011579,0.004942488082228839
37,2011-06-10,26.89020810076237,26.97519088049668,26.571519299816377,26.5998477935791,2851000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.010797994054015334,-0.012875448060067813
38,2011-06-13,26.62818323264994,27.06726694038188,26.592773953395383,26.97520065307617,2585900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.013031960062552719,-0.00506492354356954
39,2011-06-14,27.11684757776117,27.145176089210384,26.80523935493092,27.109764099121094,3102600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0002612205795590294,0.00260403115208585
40,2011-06-15,26.840647797692355,27.01061344081345,26.628186691458204,26.720252990722656,2994000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.00448554028491258,-0.0012982671400802684
41,2011-06-16,26.408646751626847,26.88313708505417,26.387399020680995,26.82648277282715,4076300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.01582193987939051,0.005187748521469858
42,2011-06-17,26.961031837886534,27.159325929394463,26.876049041748047,26.876049041748047,4516600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0031520602271262544,-4.3736893197480154e-05
43,2011-06-20,26.798150892597988,27.194741834484876,26.798150892597988,27.14516830444336,2667000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.01294930434701083,0.018124920882655278
44,2011-06-21,27.18057758282233,27.35762667627196,27.12392057617216,27.14516830444336,4046700,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0013027419403092112,0.01342178379449566
45,2011-06-22,27.046026437140892,27.138092749042837,26.7981587145844,26.861896514892575,3653100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.006808021232851466,-0.003951495135754611
46,2011-06-23,26.66359241205789,26.66359241205789,26.153690199389548,26.337820053100582,7381000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.012217871992747202,0.010171553432873615
47,2011-06-24,26.351983646978294,26.479459196968904,26.08287099837988,26.09703254699707,7725000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.009674835238084932,-0.0025507895310387806
48,2011-06-27,26.18202733306914,26.429895045089648,26.1466153443044,26.380321502685547,5077700,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.00757367514340465,0.008983981481753885
49,2011-06-28,26.47945765928723,26.557359679930386,26.231590049562943,26.35198211669922,6305200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.004814129663388418,0.004898561818779918
50,2011-06-29,26.111211211018365,26.776917828796584,25.88458848628075,26.472393035888672,9634400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.013832442392327495,0.0036244663906131024
51,2011-06-30,26.45821879854991,26.564446641079066,26.210348429538637,26.359071731567383,6863600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.003747306942217978,0.0040698879922081216
52,2011-07-01,26.11828891632965,26.48655143799853,26.08996040661157,26.45113945007324,4093900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.012743964002001833,0.020619993521470745
53,2011-07-05,26.17493619508396,26.373233008227924,26.07578913928931,26.31657600402832,3988000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.005411276187598266,0.006167653664602039
54,2011-07-06,26.259920541751093,26.43696961972443,26.217427790477863,26.415721893310547,3316600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.005933047333930148,0.007805487270392583
55,2011-07-07,26.55495432840205,26.597797398749467,26.262200157261503,26.426427841186523,5895000,0.305,0,GIS,Consumer Non-Durables,Packaged Foods,-0.004840019140159504,-0.006836226885459337
56,2011-07-08,26.347880248506307,26.419282625531363,26.20507277063011,26.28361701965332,4768100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.002439028424559122,0.0007255255246842173
57,2011-07-11,26.133679592370516,26.36931244693953,26.12654044094145,26.3193302154541,4334100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.007103883799730385,-0.004339950831472837
58,2011-07-12,26.290768386465423,26.569241599640144,26.22650512774608,26.45499610900879,4305500,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0062465927252210295,-0.006304434252978806
59,2011-07-13,26.57639023387443,26.61209144805865,26.240792828121105,26.3336181640625,4541100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.009134877523829106,-0.002675440026905539
60,2011-07-14,26.290760664089444,26.897689144078004,26.212216401633537,26.67634010314941,8369000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.01466596740909935,-0.002983886892127552
61,2011-07-15,26.619225202593952,26.961961692140903,26.562103816249877,26.954822540283203,8631000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.012607329294338285,0.0008322812584309145
62,2011-07-18,26.85485505760349,26.876275234600268,26.476417403582104,26.70490837097168,4515400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.005583596944022829,-0.0068432781111154705
63,2011-07-19,26.84057113864385,27.07620123169249,26.73346481755008,26.99765968322754,6434700,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.005852652828147945,0.010646412406878582
64,2011-07-20,27.069064915610912,27.11904714433411,26.804872746098702,26.94053840637207,3307100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.004748095644955952,-0.003506541056280497
65,2011-07-21,27.05478046248092,27.13332473304677,26.933395843480486,27.02621841430664,4271600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0010557116962707934,0.011141371781916572
66,2011-07-22,27.083346987406276,27.12619006674945,26.969101499651742,27.004802703857425,2487000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0029000951612580973,0.019422211120628183
67,2011-07-25,26.726325380645328,27.076200941322647,26.726325380645328,26.926254272460938,3201200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.007480597836333842,-0.0036883603788811017
68,2011-07-26,26.983394674211038,27.054797114768256,26.804885848989464,26.99053382873535,3237400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0002645758478690204,-0.0007339067354435912
69,2011-07-27,26.997662987017037,27.10476659739052,26.726328937848532,26.79059219360352,5741000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.007669952525635147,-0.0208794906354817
70,2011-07-28,26.783451508580164,26.99052231119365,26.60494275953281,26.626365661621094,2951900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0058650337470040935,-0.001736850328855313
71,2011-07-29,26.49784163675066,26.88342122467857,26.40501631584336,26.669208526611328,4416800,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.006467201827600698,0.003366853292338562
72,2011-08-01,27.069054731713702,27.069054731713702,26.290756818056707,26.497827529907227,3727200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.021102591408086173,-0.011778654405134785
73,2011-08-02,26.37645511236101,26.426437350505307,26.062280654907227,26.062280654907227,4148400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.011911170629845194,-0.016689972808406332
74,2011-08-03,26.097977566914675,26.21222305297852,25.869486594786995,26.21222305297852,4356000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.004377560896085557,0.004647720870492292
75,2011-08-04,26.03371530476943,26.50497829325468,25.54103213802537,25.56245231628418,7513200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.018102025890976616,-0.0535090107661895
76,2011-08-05,25.776668120267026,26.262212245726246,25.41251138808659,26.048002243041992,8439600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.010526345822081982,-0.00524249737977644
77,2011-08-08,25.462493357534324,26.105126082506853,25.41251111490623,25.42679214477539,11873200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0014021098506588167,-0.018818990955933947
78,2011-08-09,25.455350111571175,25.76238539482036,24.734173200189616,25.712400436401367,9961500,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.010098086402408026,0.016547531729822606
79,2011-08-10,25.419641686726123,25.619573313573213,24.855556178372776,24.95552062988281,9284900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.018258363456227385,-0.023124525424117377
80,2011-08-11,25.026934236063035,25.8123746223974,24.862706460223688,25.548179626464844,7901000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.020827376836700624,0.03944540191180095
81,2011-08-12,25.61243683164105,25.88377091702922,25.41964703864111,25.82664680480957,5589000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.008363513966929212,0.010302496165243386
82,2011-08-15,26.005153065366645,26.140821456909183,25.726679854682768,26.14082145690918,3150400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.005216981080692651,0.0009339598272500314
83,2011-08-16,25.99087914612637,26.297914461953912,25.88377278987852,26.183666229248047,5311300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.007417489883192674,-0.010185439106227366
84,2011-08-17,26.290768538632307,26.469277289016198,26.119401663607103,26.226505279541016,3395200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.002444327901516497,-0.011720918799444549
85,2011-08-18,25.876625668432716,26.233643114210157,25.66241302190469,25.91946601867676,6554300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0016555616946728451,-0.01138124440285108
86,2011-08-19,25.77667303892856,26.126551531677507,25.569604873657227,25.569604873657227,6084000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.008033161027360458,-0.008777880822567535
87,2011-08-22,25.826635862485585,25.962304209613,25.683831090095687,25.85519790649414,4169400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0011059142259423579,-0.016185867571241595
88,2011-08-23,25.883773751810292,26.24079132080078,25.74096617944852,26.24079132080078,4092400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.013793103448275959,0.031289815671353284
89,2011-08-24,26.20509003029917,26.476424144592304,26.01230021676151,26.41216087341309,3918200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.007901932138927823,0.0077356956039628675
90,2011-08-25,26.426434534605573,26.512120697003414,25.96231341217388,26.126541137695312,4063400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.011348235287569649,-0.02413066968274171
91,2011-08-26,26.076563736008925,26.290773734034826,25.591019621108668,26.19080924987793,3543400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.004381156774550163,0.02593125426117135
92,2011-08-29,26.3835974706376,26.81201744079589,26.31219232639272,26.8120174407959,3005400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.01623811804417834,0.017855874659539722
93,2011-08-30,26.719184852322684,27.06192400387849,26.52639782483467,26.890554428100582,3638800,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.006413727691359623,0.009737866872974748
94,2011-08-31,26.9476766612259,27.197587771270157,26.86199051735917,27.069061279296875,4029300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.004504455786558875,-0.0039432150592134865
95,2011-09-01,27.090481965570454,27.261851532717312,26.904834098002656,26.926254272460938,3483100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.006062191633143896,-0.004558405503975125
96,2011-09-02,26.633501394244924,26.94767849548789,26.62636224368349,26.712045669555664,2993900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.002949078085831874,-0.005832489834953813
97,2011-09-06,26.20509166629283,26.49070410416524,26.090846146378254,26.34075736999512,4910100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.005177074189623809,0.016566651625896642
98,2011-09-07,26.647781355948915,26.86199127399588,26.49783468569873,26.819150924682617,3782300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.006430913194784424,0.013022161824443006
99,2011-09-08,26.747752534975625,27.268997798819647,26.65492993888294,27.06192970275879,4235300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.011745927713827283,0.009257795814846356
100,2011-09-09,26.92625785627415,26.961959059731974,26.583521400189998,26.79059219360352,6165200,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.005038415044332673,-0.007902029186043503
101,2011-09-12,26.604941718982065,26.769172158650445,26.140820623907693,26.562101364135746,5877800,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0016102405071518626,0.012753740754598616
102,2011-09-13,26.597801838814032,26.61922201565013,26.24792351547051,26.397872924804688,5408900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0075167457529362195,0.007703076603685199
103,2011-09-14,26.462131961428742,26.747744261086847,26.240780182036666,26.554954528808597,6150100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.00350775090665988,0.006819516197635091
104,2011-09-15,26.626377023767898,27.069078147645403,26.626377023767898,26.99053382873535,4223300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.013676543550870298,0.005311184087013417
105,2011-09-16,27.0761970483175,27.268986762203408,26.883410058258065,26.91911125183105,7003600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.005801619636839285,-0.0017460411644147891
106,2011-09-19,26.697769980896005,26.897698922501423,26.38359554068356,26.80487632751465,3999100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.004011808727668439,0.020384057454715672
107,2011-09-20,27.083349009632183,27.15475142337492,26.61208599697866,26.769174575805664,4415300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.01160028007299921,-0.01417556613553426
108,2011-09-21,27.111913218432857,28.24722911962786,27.111913218432857,27.447507858276367,12665900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.012378124595624108,-0.014027801587899192
109,2011-09-22,27.04051512491442,28.418603424760008,26.96197080878409,28.20439338684082,19654500,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.04304201515946833,0.025090399395653086
110,2011-09-23,27.811663596776565,27.990172345505776,27.53319038457137,27.754539489746094,9001300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.002053962246152451,0.011334411777156207
111,2011-09-26,27.868789098272057,28.26151058257236,27.74026256228791,28.190105438232425,5614600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.01152961252917484,0.01174006419686583
112,2011-09-27,28.46858321012685,28.47572508760828,28.083006264803327,28.168689727783203,7191000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.010534190624455465,-0.006486959408729571
113,2011-09-28,28.15440517448541,28.30435189689865,27.57603574311284,27.590316772460938,5917900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.020035529023915317,-0.026349822246302914
114,2011-09-29,27.8045241229439,27.96875185909974,27.576033122742068,27.783103942871094,5555100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0007703847035141279,-0.005791019983284109
115,2011-09-30,27.697408041762813,27.968739280078243,27.468917144325424,27.483198165893555,5289100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.007733932198502747,-0.016430407026051426
116,2011-10-03,27.318974869817264,27.568888726379715,27.097625787630797,27.10476493835449,5491000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.007841067700510261,-0.02056474809552026
117,2011-10-04,26.861995822151503,27.19045399085196,26.6834870729169,27.16189193725586,7200000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.011164327367553606,0.02607820735851952
118,2011-10-05,27.23026995907035,27.33104238808733,27.014325901642252,27.309446334838867,4606800,0.305,0,GIS,Consumer Non-Durables,Packaged Foods,0.0029076603312243473,0.012365584042242419
119,2011-10-06,27.25187357570989,27.51100434597715,27.20148734214057,27.475011825561523,4455000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.008187996661283522,0.020775706414127747
120,2011-10-07,27.51099962154253,28.072447696808847,27.417424027050373,27.89249610900879,5345100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.013867052913901626,-0.004801399936151741
121,2011-10-10,28.11563974939768,28.317184668296864,27.89969562675589,28.29559135437012,3395400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0064004094011873265,0.01105153335200503
122,2011-10-11,28.38196891889007,28.97220999603623,28.3603756037742,28.73467254638672,8266500,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.012427031701169291,0.008226687129794363
123,2011-10-12,28.777859610882864,28.86423561025193,28.45394618094445,28.63389778137207,5538000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.005002520390931077,0.0048340627485045536
124,2011-10-13,28.482739383002496,28.540325213724444,28.094043263159968,28.30278778076172,3808600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.006317917663080049,0.004674189059122362
125,2011-10-14,28.46115319870514,28.662698165030356,28.252408628814468,28.54752922058105,3563900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.003034874281898042,0.000846748936501391
126,2011-10-17,28.389156556552845,28.590704166946452,28.273987670260567,28.331573486328125,3102400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0020283473413523477,-0.010834540299034075
127,2011-10-18,28.31717893110384,28.7418647426292,28.09403799764372,28.6051025390625,4154300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.010167806922405064,0.010083416606607875
128,2011-10-19,28.641102355638694,28.75627129007389,28.31718886946345,28.3963680267334,3651600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.008544864155939632,-0.010888591282274622
129,2011-10-20,28.468339083211585,28.64109380621877,28.202011516675217,28.338773727416992,4490500,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0045512088153748615,0.005500865413076832
130,2011-10-21,28.65548493878095,28.799443977727407,28.504323554538917,28.641088485717773,4779100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0005023978164715772,-0.0005749356011066628
131,2011-10-24,28.66269166595403,28.720277498043583,28.12283684641068,28.14443016052246,5442900,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.01808139694176616,0.011168270114608428
132,2011-10-25,28.18761488481568,28.309983384898505,27.92128731994337,27.942880630493164,4002300,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.008682332837403405,-0.015334848031225845
133,2011-10-26,28.101240164549548,28.144426787597475,27.80611967506785,28.06525039672852,3945000,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0012807181323773334,-0.007207166044303469
134,2011-10-27,28.5403196609896,28.62669564442388,28.12283070701173,28.28118896484375,5552400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.009079460189089705,0.0004159942133382731
135,2011-10-28,28.281188330306627,28.39635722091599,27.950078113035072,28.166019439697266,4800500,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.004072279045146913,0.005711373872707442
136,2011-10-31,28.10124513942349,28.202017605499837,27.719745844621063,27.7341423034668,4595500,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.013063579002827808,-0.003798548490415665
137,2011-11-01,27.43181905661025,27.73413639038343,27.34544306779552,27.575780868530277,5831800,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.005247986348369228,0.0036598751881239022
138,2011-11-02,27.79171922339245,27.83490584023181,27.590174355894444,27.77732276916504,3257700,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0005180123659026847,-0.0031500807451310064
139,2011-11-03,27.42461588489916,28.072442581265488,27.280656837566923,28.043649673461918,4972800,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.022572195401417288,0.003053215074903046
140,2011-11-04,27.94287957208381,27.97167248228836,27.633362651992535,27.83490753173828,3215400,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.0038640269721306273,-0.0020817167862415584
141,2011-11-07,27.77012550888364,28.374760102535955,27.741332600849866,28.331573486328125,3211600,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.020217696793083526,0.003913968302957494
142,2011-11-08,28.36757699388969,28.475549078412552,28.108446187710157,28.43235969543457,3373100,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,0.0022836882247234546,0.0028118270613361235
143,2011-11-09,28.122832207323157,28.22360465101304,27.87090109809843,27.942880630493164,3506800,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.006398771485865261,-0.011714218247818028
144,2011-11-10,28.22359656741288,28.288379226350816,27.91407972424744,28.18760681152344,2623700,0.0,0,GIS,Consumer Non-Durables,Packaged Foods,-0.001275165473807574,-0.00020065200464627347
