Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,39.62956729101535,40.34719029671943,38.52358863915792,39.79841995239258,20765900.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,0.004260774793155796,0.002880235896427721,0.004492827685025141
2011-04-19,39.69712467594447,41.39408667491373,39.654912299764725,41.377201080322266,17762300.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,0.04232237014878511,0.02408357590649977,0.0414120841765189
2011-04-20,41.94285583496094,42.162362116168886,41.68113395837652,41.94285583496094,11656300.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,0.0,0.004943340950771214,-0.002180605618031396
2011-04-21,41.41096324026411,42.9221898104153,40.90440839536066,42.618255615234375,18087200.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,0.029153931241966576,0.018105138764704168,0.028652584360752575
2011-04-25,42.348088820903264,42.863088025579415,41.95972992644471,42.74489212036133,7955900.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,0.009370040313654002,0.001707448165644275,0.009445826878099847
2011-04-26,42.47471627952434,43.2598782358741,42.339634825775775,43.02348327636719,10000000.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,0.0129198507938567,-0.011159011541346298,0.01086814586405133
2011-04-27,43.36119598249841,43.43717951459424,41.62201914819197,42.6351318359375,12515000.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,-0.016744559971407724,-0.017268025734832774,-0.01678783943511866
2011-04-28,42.34807804165761,43.00659975773704,41.90906249073931,42.43250274658203,8774400.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,0.0019935900005042715,-0.003791115208608816,0.0019649065016613784
2011-04-29,42.48317410855365,42.85464744677636,42.153913137306695,42.618255615234375,7300000.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,0.0031796472254065774,0.006542950415747449,0.0033737582232964683
2011-05-02,42.846206247557326,42.9728465690402,40.91284956708876,41.30120849609375,9577800.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,-0.03605914938038784,-0.02121109711670147,-0.03560299587360004
2011-05-03,40.963502528724064,41.07325724909161,40.05170002831093,40.431617736816406,11501400.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,-0.012984358247556931,-0.021549137772652684,-0.013029433172189705
2011-05-04,40.45695137212714,40.45695137212714,39.367858050494064,39.97572326660156,11434700.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,-0.011894818793912472,-0.02345559087903011,-0.011701854110148865
2011-05-05,39.55360412597656,40.10237475294033,38.98795112271701,39.55360412597656,15489400.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,0.0,-0.0029446529836410535,0.0010810798971440975
2011-05-06,40.00104997379934,40.54981718236172,39.004822660326376,39.4016227722168,10587900.0,0.0,0,HAL,Energy,Oilfield Services/Equipment,-0.014985286685603689,-0.009526589380785233,-0.014444991083112974
