,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change
0,2011-04-18,25.051496750533094,25.051496750533094,24.19404575964182,24.2867431640625,141600,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,-0.03052726126850364,-0.010570542159724588
1,2011-04-19,24.43158705154728,24.43158705154728,23.78270509823216,24.03182983398437,134700,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,-0.016362310672633537,0.024380927979059754
2,2011-04-20,24.65174867946371,25.109442696598578,24.46056062688467,25.07468032836914,119400,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,0.017156253473318707,-0.0036885546099280557
3,2011-04-21,25.543959374346752,25.543959374346752,24.69230134280463,25.31221580505371,84400,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,-0.009072343323790909,-0.02240364310481664
4,2011-04-25,25.20793023914049,25.20793023914049,24.48373200325201,25.17896270751953,37900,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,-0.001149143596723474,-0.0011961798298959717
5,2011-04-26,25.27745327905542,25.932130101287648,25.16737466995575,25.7177677154541,91800,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,0.01741925626516823,0.0031590049159445485
6,2011-04-27,25.769914358304508,26.065387876165843,25.474440840443176,26.01903915405273,76500,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,0.009667272940235483,0.0021474620290608997
7,2011-04-28,26.071173400429903,26.841721922583407,26.030617866093287,26.66791343688965,117000,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,0.022888882954915483,-0.015034480622555815
8,2011-04-29,26.806959853391024,27.03291022422121,26.360853943527744,26.934419631958008,70500,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,0.004754727103113109,-0.0013712932713190313
9,2011-05-02,27.032913136892883,27.14299174705018,26.801169566856867,27.056087493896484,93000,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,0.0008572645088691523,-0.019711844732353254
10,2011-05-03,27.05608141381104,27.183541177468264,26.928621650153804,26.992351531982425,88500,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,-0.002355473464685929,-0.00143334881630545
11,2011-05-04,27.1256100233772,27.1256100233772,26.05379479018756,26.07696914672852,157000,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,-0.03865870208061487,-0.0053195461566493945
12,2011-05-05,25.706179813383105,26.378236162778187,25.491817426673133,25.60189437866211,90300,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,-0.004056823513959206,0.0063904826455142595
13,2011-05-06,26.053797213544744,26.35506387659903,25.173171583078364,25.64824676513672,52500,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,-0.01556588642661229,-0.011422475956310345
14,2011-05-09,25.648245948124035,27.461640701529717,25.648245948124035,27.311006546020508,108000,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,0.06482940787684119,0.005977587051981206
15,2011-05-10,28.944805281995045,31.48239865907705,28.67250446627621,30.485902786254883,472300,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,0.053242628141584675,0.015713967314456793
16,2011-05-11,30.109304979762527,30.26573226351336,26.563625959131613,27.699169158935547,487600,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,-0.08004621237344778,-0.019583991360700374
17,2011-05-12,27.42686914030057,28.22638505058474,26.99814449059305,27.757104873657227,118600,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,0.012040591715640366,0.010398748087071068
18,2011-05-13,27.809251984131755,27.809251984131755,26.523074477680204,27.56012725830078,127500,0.0,0.0,HLIO,Capital Goods,Metal Fabrications,-0.008958339691162037,-0.011238810896747149
