Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,9.098267520807331,9.30733444808174,9.059551341113954,9.299591064453123,2452500,0.0,0,ING,Finance,Commercial Banks,0.02212767905377303,0.0003951456286679929,0.02212767905377303
2011-04-19,9.32281775691442,9.369277306681626,9.260872182857804,9.33830451965332,1879500,0.0,0,ING,Finance,Commercial Banks,0.001661167593608122,-0.004207775260207972,0.0016611675936081217
2011-04-20,9.679006550550282,9.795154333777049,9.67126316808194,9.7874116897583,1893800,0.0,0,ING,Finance,Commercial Banks,0.011200027465820403,-0.006151475142904113,0.011200027465820403
2011-04-21,9.857100438223307,9.91130337992032,9.779668824791289,9.872587203979492,1659300,0.0,0,ING,Finance,Commercial Banks,0.001571127924813578,0.001280843155149641,0.001571127924813578
2011-04-25,9.934532476839488,9.942275859473408,9.872586892667348,9.903559684753418,1620200,0.0,0,ING,Finance,Commercial Banks,-0.0031176899525244034,-0.0008228016537360986,-0.0031176899525244034
2011-04-26,9.957762405274288,10.004221965049595,9.8880741732858,9.98873519897461,1200000,0.0,0,ING,Finance,Commercial Banks,0.0031104170233983946,0.0007245957283275509,0.0031104170233983946
2011-04-27,10.019708543801665,10.15908649234432,9.926790157589789,10.143600463867188,2317700,0.0,0,ING,Finance,Commercial Banks,0.012364822741492233,0.005474707119576165,0.012364822741492233
2011-04-28,10.073909927078695,10.205544471740724,10.066166544816324,10.205544471740724,2249900,0.0,0,ING,Finance,Commercial Banks,0.013066877271574098,0.01028739488907866,0.013066877271574098
2011-04-29,10.221031690355774,10.252004484569442,10.19780227930794,10.21328830718994,874000,0.0,0,ING,Finance,Commercial Banks,-0.0007575931080559187,-0.0007878968502866136,-0.0007575931080559187
2011-05-02,10.329436018343436,10.38363821929694,10.244260287188382,10.25200366973877,1614800,0.0,0,ING,Finance,Commercial Banks,-0.007496280384249374,-0.012701299699253488,-0.007496280384249374
2011-05-03,10.19005929748809,10.32943724616397,10.143600473562593,10.23651885986328,1330400,0.0,0,ING,Finance,Commercial Banks,0.0045593024553489325,0.005826323398700173,0.0045593024553489325
2011-05-04,10.3062061025838,10.313948746304025,10.027450252067757,10.058423042297363,1898900,0.0,0,ING,Finance,Commercial Banks,-0.024042121593543256,-0.011854879921838642,-0.024042121593543256
2011-05-05,10.089395687702908,10.13585524160522,9.92678835671915,10.01970672607422,2449700,0.0,0,ING,Finance,Commercial Banks,-0.0069071492273442055,-0.0002769297984471659,-0.006907149227344205
2011-05-06,10.089396882301262,10.120369675753505,9.725466743849813,9.818385124206545,3883600,0.0,0,ING,Finance,Commercial Banks,-0.026861046428862757,-0.012070399516929354,-0.026861046428862757
2011-05-09,9.586089134216309,9.617061928735197,9.462197956140765,9.586089134216309,2174700,0.0,0,ING,Finance,Commercial Banks,0.0,0.002997482002256194,0.0
2011-05-10,9.857101715724395,10.035195852753722,9.841615686410826,10.02745246887207,1905300,0.0,0,ING,Finance,Commercial Banks,0.017282032595435773,0.008790603225816523,0.017282032595435773
2011-05-11,9.95776121213436,9.9964773842332,9.694492866451284,9.779667854309082,1605900,0.0,0,ING,Finance,Commercial Banks,-0.01788487934499332,-0.006791796506290203,-0.01788487934499332
2011-05-12,9.655777496823742,9.779668667076711,9.555115736380795,9.740952491760254,1876600,0.0,0,ING,Finance,Commercial Banks,0.008821143089153657,0.007204057172090629,0.008821143089153657
2011-05-13,9.601575378718756,9.617062145552184,9.29184742654706,9.407995223999023,2485100,0.0,0,ING,Finance,Commercial Banks,-0.020161290942816556,-0.01468515039998474,-0.020161290942816556
2011-05-16,9.222157120988868,9.415737247755049,9.19892771254281,9.268616676330566,3264600,0.0,0,ING,Finance,Commercial Banks,0.005037818672158635,0.001062612552430739,0.005037818672158635
2011-05-17,9.24538671903512,9.322819066709371,9.144725700888028,9.29184627532959,1639600,0.0,0,ING,Finance,Commercial Banks,0.0050251609485210584,0.0027326694704553228,0.0050251609485210584
2011-05-18,9.1756991251882,9.346049120302585,9.136982948680512,9.322819709777832,1709900,0.0,0,ING,Finance,Commercial Banks,0.016033719347419786,0.011686172975664209,0.016033719347419786
2011-05-19,9.361535262349143,9.40799408030222,9.237644096541482,9.384764671325684,2028300,0.0,0,ING,Finance,Commercial Banks,0.0024813674600966326,-0.0021037724768597703,0.0024813674600966326
2011-05-20,9.284102237940129,9.291845619851228,9.028576542470184,9.05954933166504,2597100,0.0,0,ING,Finance,Commercial Banks,-0.024186819632105828,-0.008070909210666711,-0.024186819632105828
2011-05-23,8.711106009803204,8.881456734094135,8.680133217973,8.834997177124023,2221400,0.0,0,ING,Finance,Commercial Banks,0.01422220865885408,-0.0019028292810484146,0.01422220865885408
2011-05-24,8.904687559761225,8.96663315327489,8.804025785689086,8.842741966247559,1846300,0.0,0,ING,Finance,Commercial Banks,-0.006956515104874426,-0.005782028850130464,-0.006956515104874426
2011-05-25,8.873713157921468,9.067293287249209,8.850483749168026,9.013091087341309,1321500,0.0,0,ING,Finance,Commercial Banks,0.015706832860088463,0.0018323887019383298,0.015706832860088463
2011-05-26,9.075037829177372,9.160212831122625,8.943403265339457,9.129240036010742,2742500,0.0,0,ING,Finance,Commercial Banks,0.005972670070763039,0.010169030159035058,0.005972670070763039
2011-05-27,9.198929655814212,9.268618634323747,9.13698406123901,9.253131866455078,3603300,0.0,0,ING,Finance,Commercial Banks,0.005892230147298489,0.005605743524595532,0.005892230147298489
2011-05-31,9.431225374249166,9.438968019216194,9.29184742654706,9.407995223999023,1495100,0.0,0,ING,Finance,Commercial Banks,-0.0024631105003142017,0.0013826486053295222,-0.0024631105003142017
2011-06-01,9.214415672501604,9.237645824272512,8.966633294543161,8.974376678466797,1652300,0.0,0,ING,Finance,Commercial Banks,-0.02605037612435374,-0.017388468089907277,-0.02605037612435374
2011-06-02,9.198928190914854,9.222157600568911,9.036320846437208,9.16795539855957,2305500,0.0,0,ING,Finance,Commercial Banks,-0.003367000123544123,0.0026092651664311106,-0.003367000123544123
2011-06-03,9.044063758819782,9.353791666265836,9.02857699422269,9.268616676330566,2149400,0.0,0,ING,Finance,Commercial Banks,0.024828763208552183,0.009596626915188802,0.024828763208552183
2011-06-06,9.113752843205685,9.16795504311358,8.997604322539287,9.013091087341309,1918600,0.0,0,ING,Finance,Commercial Banks,-0.011045039030153157,-0.009137683333686444,-0.011045039030153157
2011-06-07,9.276359802578256,9.330562743037218,9.16795539855957,9.16795539855957,2279100,0.0,0,ING,Finance,Commercial Banks,-0.011686093071611519,-0.005059099791360027,-0.011686093071611519
2011-06-08,9.098265813572535,9.136981986001055,9.005347442813829,9.028576850891112,2113400,0.0,0,ING,Finance,Commercial Banks,-0.007659587454288666,-0.007172293450813725,-0.007659587454288666
