Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,14.572755057775987,14.60694412347399,13.991555612929352,14.555662155151367,605400,0.0,0,MED,Consumer Non-Durables,Packaged Foods,-0.001172935560698904,0.016011934813125253,0.009464054744100841
2011-04-19,14.564211111271009,14.743698836336002,13.888991657417971,14.384721755981444,484100,0.0,0,MED,Consumer Non-Durables,Packaged Foods,-0.012324001205301204,0.011642231597084326,0.005799013819470523
2011-04-20,14.547116871206365,14.957375934146183,14.44455129035911,14.880452156066896,444500,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.022914182089257436,0.00047638538148964767,0.003904980571598859
2011-04-21,14.914639195592049,15.316350936243998,14.59839685874628,15.19669246673584,510300,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.018911169586130573,-0.00342145710413417,-0.003749079622871813
2011-04-25,15.171049973473648,15.62404529195671,15.042844243404648,15.606950759887695,465200,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.02873240726094851,-0.003423370166795341,-0.0005722864417407687
2011-04-26,15.931742296603709,16.769356623659764,15.837725609555074,16.68388557434082,846800,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.04721035927736867,0.004436271500256597,0.007818840177620376
2011-04-27,16.718066680056943,16.769350268347463,15.991565481515112,16.65823745727539,476000,0.0,0,MED,Consumer Non-Durables,Packaged Foods,-0.003578716602017299,0.007595648972304073,0.004894187693652564
2011-04-28,16.726619780033335,17.042862163919885,16.45311373463125,16.863372802734375,294100,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.008175771584422738,-0.0015713465785790592,0.0032786422478757746
2011-04-29,17.094141320337222,17.136876021548325,16.666787787328794,16.880464553833008,193000,0.0,0,MED,Consumer Non-Durables,Packaged Foods,-0.012499999999999943,0.002527606510955731,0.0026195262709933233
2011-05-02,17.000125507594408,17.094143820277807,16.67533749230795,16.837732315063477,257000,0.0,0,MED,Consumer Non-Durables,Packaged Foods,-0.009552470213139666,-0.004497618519938472,0.004735715278061219
2011-05-03,16.87192144239853,17.02576901300372,16.27362732698638,16.59841537475586,375200,0.0,0,MED,Consumer Non-Durables,Packaged Foods,-0.01621072434318953,-0.00371258531278947,0.003127929406943019
2011-05-04,16.581317621408786,16.794994399082157,16.247982369910147,16.624053955078125,358100,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.0025773786284728293,-0.0009099861434054273,-0.0003296068273688064
2011-05-05,16.547129903257915,16.94884165157059,16.367640565348395,16.90610694885254,238300,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.021694218132894846,-0.0027834892602857843,-0.010327877071844073
2011-05-06,17.09414531043543,17.307822126815875,16.72662092542511,17.22235107421875,571600,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.0074999809265137675,-0.000979807482742461,0.002698536068248917
2011-05-09,17.290725772593625,17.487308031744323,16.94029596098601,17.427478790283203,851500,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.007909038607641123,0.009380735598780561,0.00448993374476431
2011-05-10,18.48731743868318,20.598445428179375,18.171076663319003,20.53861618041992,3340900,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.11095707901053098,0.020469187038566417,0.02813142353708113
2011-05-11,20.34202346880548,20.777924181308684,20.085612052144317,20.418947219848636,730900,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.00378151913751943,-0.0020199895852003056,-0.0014275028516108192
2011-05-12,20.35057843467344,21.22238018959636,19.76083162712968,21.042892456054688,920000,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.034019378053730294,0.018622715802699488,0.017575374148783546
2011-05-13,21.213830087309145,21.342035827026617,20.384764782260014,20.709552764892575,457000,0.0,0,MED,Consumer Non-Durables,Packaged Foods,-0.023771158736594498,-0.002039754157858074,0.0015312673265493364
2011-05-16,20.51297137001771,21.07707795227524,20.265105516788903,20.384765625,445000,0.0,0,MED,Consumer Non-Durables,Packaged Foods,-0.006249984105427946,-0.005739034538291026,-0.004040056289760076
2011-05-17,20.299296774170244,21.11981493495518,20.299296774170244,20.760839462280277,664600,0.0,0,MED,Consumer Non-Durables,Packaged Foods,0.022736880653783077,0.0060344335466149986,0.008479385604551495
