Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,17.739999771118164,18.0,17.729999542236328,17.899999618530273,98300,0,0.0,MG,Consumer Services,Military/Government/Technical,0.009019157242188875,0.014419453323714906,-0.018369796493327838
2011-04-19,18.040000915527344,18.25,17.860000610351562,17.899999618530273,127500,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.007760603652551301,-0.01051880390396784,0.00888691953934107
2011-04-20,18.100000381469727,18.1200008392334,17.790000915527344,17.950000762939453,67700,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.00828727156734421,-0.004699852448399791,-0.0028008512549956774
2011-04-21,17.899999618530273,18.25,17.860000610351562,18.25,260500,0,0.0,MG,Consumer Services,Military/Government/Technical,0.019553094353555314,0.0013767350700894362,0.008813031310611945
2011-04-25,18.290000915527344,18.399999618530277,18.200000762939453,18.350000381469727,60900,0,0.0,MG,Consumer Services,Military/Government/Technical,0.0032804517735942874,0.0019471535372173553,0.0016017648529439092
2011-04-26,18.440000534057617,18.459999084472656,18.280000686645508,18.309999465942383,77100,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.007049949259769809,0.0060984191121597085,-0.00803055287424821
2011-04-27,18.3700008392334,18.3700008392334,18.07999992370605,18.25,90700,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.0065324351524856114,0.005314640085012762,-0.013992243011915935
2011-04-28,18.21999931335449,18.299999237060547,18.170000076293945,18.26000022888184,45800,0,0.0,MG,Consumer Services,Military/Government/Technical,0.0021954400128891267,-0.008058778331445391,0.026176707290248166
2011-04-29,18.31999969482422,18.3799991607666,18.13999938964844,18.31999969482422,73000,0,0.0,MG,Consumer Services,Military/Government/Technical,0.0,0.0019719422217027117,0.02687006377004136
2011-05-02,18.38999938964844,18.399999618530277,18.15999984741211,18.229999542236328,118000,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.00870037263308314,0.0011361412019556798,-0.02466027693749051
2011-05-03,17.5,18.0,16.520000457763672,16.81999969482422,182000,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.038857160295758926,-0.004970479314920159,0.0003085944860874647
2011-05-04,16.790000915527344,16.790000915527344,16.09000015258789,16.34000015258789,174000,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.026801711637984112,0.01384478429967743,-0.022922276974085335
2011-05-05,16.1299991607666,16.229999542236328,15.4399995803833,16.0,366100,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.008059464818994024,0.012271373265074577,0.010886186750561406
2011-05-06,17.0,17.25,16.700000762939453,17.010000228881836,2023500,0,0.0,MG,Consumer Services,Military/Government/Technical,0.0005882487577550552,-0.009034711052595536,0.018453434628849838
2011-05-09,16.989999771118164,17.399999618530273,16.780000686645508,17.190000534057617,193000,0,0.0,MG,Consumer Services,Military/Government/Technical,0.011771675434595398,0.0008323105705872772,0.0183594082554539
2011-05-10,17.280000686645508,17.530000686645508,17.15999984741211,17.530000686645508,165600,0,0.0,MG,Consumer Services,Military/Government/Technical,0.014467592017702138,0.009091971686101222,0.009832703912750415
2011-05-11,17.5,17.530000686645508,17.110000610351562,17.170000076293945,77300,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.01885713849748884,-0.001969976939918888,-0.007647149713189408
2011-05-12,17.149999618530273,17.3700008392334,16.829999923706055,17.200000762939453,113000,0,0.0,MG,Consumer Services,Military/Government/Technical,0.0029155186892922337,0.009738652241755581,-0.0009177475864961828
2011-05-13,17.190000534057617,17.219999313354492,16.579999923706055,16.809999465942383,80400,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.02210593695807972,0.00013733260315863948,-0.029398997545234975
2011-05-16,16.68000030517578,16.790000915527344,16.440000534057617,16.5,107500,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.010791385004946757,-0.016424527429597803,0.010055720812244609
2011-05-17,16.3700008392334,16.489999771118164,16.219999313354492,16.440000534057617,77400,0,0.0,MG,Consumer Services,Military/Government/Technical,0.004276095982625301,0.004364773153153846,-0.01920308503451972
2011-05-18,16.469999313354492,16.850000381469727,16.469999313354492,16.68000030517578,35800,0,0.0,MG,Consumer Services,Military/Government/Technical,0.012750516124855718,0.010597828826356721,0.00397446051085534
2011-05-19,16.790000915527344,16.790000915527344,16.459999084472656,16.6299991607666,52100,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.009529585827048588,-0.0006828599794228173,-0.012859684987816424
2011-05-20,16.540000915527344,16.670000076293945,16.389999389648438,16.520000457763672,70600,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.0012092174520314531,-0.00791002098632675,-0.004003432310313461
2011-05-23,16.219999313354492,16.6200008392334,16.219999313354492,16.530000686645508,106600,0,0.0,MG,Consumer Services,Military/Government/Technical,0.019112292627274076,0.001584714556109708,-0.0034595951155949015
2011-05-24,16.610000610351562,16.65999984741211,16.399999618530273,16.450000762939453,96100,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.009632741814133074,-0.011538268320859147,-0.011511113595319252
2011-05-25,16.3799991607666,16.540000915527344,16.100000381469727,16.479999542236328,76100,0,0.0,MG,Consumer Services,Military/Government/Technical,0.006105029706548925,0.011392384318529769,0.029184388091963658
2011-05-26,16.399999618530273,17.030000686645508,16.399999618530273,16.940000534057617,47300,0,0.0,MG,Consumer Services,Military/Government/Technical,0.03292688585902158,0.012584908314485896,0.010965202378991765
2011-05-27,17.030000686645508,17.030000686645508,16.709999084472656,16.790000915527344,42200,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.014092763443419339,-0.003583435386400276,0.009862076421491145
2011-05-31,16.979999542236328,17.40999984741211,16.860000610351562,17.40999984741211,197600,0,0.0,MG,Consumer Services,Military/Government/Technical,0.02532392913828952,-0.007139137331388921,-0.00243641062981769
2011-06-01,17.399999618530273,17.489999771118164,16.979999542236328,17.1200008392334,168400,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.016091884220427684,-0.014878232617366972,-0.029125074029457
2011-06-02,17.09000015258789,17.170000076293945,16.760000228881836,16.8799991607666,64000,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.012287945579069478,-0.003335193887243001,0.008556107450577218
2011-06-03,16.6200008392334,16.829999923706055,16.469999313354492,16.520000457763672,46200,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.00601686982070809,-0.0006788165777524502,0.01142415630473515
2011-06-06,16.489999771118164,16.600000381469727,16.3799991607666,16.5,75700,0,0.0,MG,Consumer Services,Military/Government/Technical,0.0006064420267216193,-0.019379923568794442,-0.02989901485575875
2011-06-07,16.600000381469727,16.760000228881836,16.420000076293945,16.489999771118164,50400,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.006626542639984162,-0.00753290539676604,0.0002611078435687044
2011-06-08,16.40999984741211,16.600000381469727,15.880000114440918,16.280000686645508,144400,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.007921947713308645,-0.014183658644261977,-0.0009026130717401669
2011-06-09,16.309999465942383,16.530000686645508,16.1200008392334,16.299999237060547,34500,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.0006131348380922911,0.0024009810086314293,-0.002455265139609534
2011-06-10,16.170000076293945,16.479999542236328,16.079999923706055,16.149999618530273,69500,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.0012368866833212685,-0.017003243621403586,-0.01271025253265302
2011-06-13,16.18000030517578,16.299999237060547,15.68000030517578,15.970000267028809,174000,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.012978988515828163,-0.008781048074779278,-0.0038581340548356716
2011-06-14,16.1200008392334,16.360000610351562,15.760000228881836,16.139999389648438,102200,0,0.0,MG,Consumer Services,Military/Government/Technical,0.0012406047998686153,-0.0018920983263575341,0.018060139717189186
2011-06-15,15.970000267028809,15.989999771118164,15.460000038146973,15.5,119900,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.029430197819041826,-0.004189497595620391,-0.013902569957188493
2011-06-16,15.470000267028809,15.65999984741211,14.890000343322754,15.1899995803833,155100,0,0.0,MG,Consumer Services,Military/Government/Technical,-0.018099591584511663,-0.015355494710188355,-0.011040230330055972
