Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,7.737284237498839,7.787758828228349,7.659469908787453,7.785655498504639,1680700,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.006251710486654697,0.014419453323714906,0.024767916021885803
2011-04-19,7.789862100557896,7.84243913351715,7.726769306164158,7.743594169616699,1464400,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.005939505776088486,-0.01051880390396784,-0.027222064016621642
2011-04-20,7.829820423688609,7.907634746800008,7.785654938202055,7.852954387664795,3435300,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.002954597005340674,-0.004699852448399791,-0.011993776185536112
2011-04-21,8.160006253993206,8.507016615453061,8.160006253993206,8.408171653747559,11991100,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.03041240313178798,0.0013767350700894362,0.0058107089408430705
2011-04-25,8.412377956532143,8.51542958406012,8.303017226728297,8.454440116882324,3979800,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.005000032163024702,0.0019471535372173553,0.0003625290961276298
2011-04-26,8.492295155176638,8.492295155176638,8.336666501016019,8.395552635192871,2036300,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.011391799062094046,0.0060984191121597085,-0.003692165052608864
2011-04-27,8.43761477782304,8.464955402288417,8.387140188243835,8.452336311340332,1847900,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.0017447506084285328,0.005314640085012762,0.0010942172437712044
2011-04-28,8.452336452524396,8.515429246998991,8.412377623550046,8.435511589050293,1830600,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.001990557707754009,-0.008058778331445391,-0.009820006384984302
2011-04-29,8.458645765415461,8.477573959072334,8.342975935030708,8.414481163024902,2039000,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.0052212379635441395,0.0019719422217027117,0.0059588974231748896
2011-05-02,8.342976092194105,8.42920285594281,8.292501499562686,8.34507942199707,1631200,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.0002521078545260696,0.0011361412019556798,0.010992434133248153
2011-05-03,8.2946047612781,8.300913863528583,8.090604836837274,8.134769439697266,3202200,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.019269793580400256,-0.004970479314920159,-0.02325541181234194
2011-05-04,8.138976099268664,8.181037372342956,7.8571609567165055,8.134769439697266,2383100,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.0005168536582600743,0.01384478429967743,0.02110071038791589
2011-05-05,8.10742903027802,8.237820385393176,8.05064534050749,8.101119041442871,2139800,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.0007782971410028352,0.012271373265074577,0.009161949029921275
2011-05-06,8.227305697008452,8.256748763810013,7.7961710206413235,7.920253276824951,4769300,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.03732113908143087,-0.009034711052595536,-0.005627795474610113
2011-05-09,7.939181580404761,8.04223320275577,7.821408424447403,8.014892578125,2755000,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.00953637310766469,0.0008323105705872772,-8.564562257891451e-05
2011-05-10,8.038026017939139,8.242026806723857,7.998067192002598,8.239923477172852,2142900,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.025117791206836295,0.009091971686101222,0.008464110691122663
2011-05-11,8.20627363430351,8.252541561118553,8.077984727248568,8.147387504577637,2600200,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.007175745332171299,-0.001969976939918888,-0.001064265860153606
2011-05-12,8.09270715905111,8.321945263294737,8.059058318513884,8.309326171875,2954500,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.026767187860197855,0.009738652241755581,-0.0011724425315151857
2011-05-13,8.300914058787365,8.347181992521397,8.14318206328197,8.170522689819336,1694800,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.015708073598231797,0.00013733260315863948,-0.0006747318437024435
2011-05-16,8.136871979616133,8.193655668571568,7.998067308046567,8.008583068847656,2164100,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.015766367111324422,-0.016424527429597803,-0.03635433813442012
2011-05-17,8.023304588964086,8.073779176201324,7.865572612730876,8.065366744995117,2379500,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.005242497722059188,0.004364773153153846,0.004848200056448575
2011-05-18,8.077985255997007,8.296707588584477,8.010686690890019,8.193655967712402,2626300,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.014319252641557251,0.010597828826356721,0.015478981289123525
2011-05-19,8.244129797783831,8.290398615452405,8.149490606968858,8.229408264160156,1087600,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.0017856989136236304,-0.0006828599794228173,0.01652361531986245
2011-05-20,8.197861810412642,8.256748831605844,8.113738381528924,8.185243606567383,1163200,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.0015392067025613292,-0.00791002098632675,-0.006882059784361881
2011-05-23,8.073779953364072,8.145285181946486,7.977037428733759,7.979140758514404,1561300,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.011721795168598186,0.001584714556109708,-0.014012318741670304
2011-05-24,8.04013019234993,8.164212455193658,7.991758930233009,8.086398124694824,1389200,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.005754624768255393,-0.011538268320859147,-0.00894110816797204
2011-05-25,8.143181787228093,8.47547063144242,8.117944491381445,8.410274505615234,4000100,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.03279955248034061,0.011392384318529769,0.03520524517449207
2011-05-26,8.366109883611028,8.483883043512819,8.303017087695547,8.471264839172363,1896100,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.012569157831327456,0.012584908314485896,0.01969008586520408
2011-05-27,8.485986567641055,8.559595126930635,8.469161703397344,8.502811431884766,1619200,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.0019826644915828555,-0.003583435386400276,-0.014895712416382788
2011-05-31,8.551182074679968,8.551182074679968,8.412377398288731,8.517532348632812,4388000,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.003935096429158267,-0.007139137331388921,-0.025314208567408153
2011-06-01,8.45654301371081,8.49019185316155,8.2672637453792,8.290398597717285,2616200,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.01964684809432777,-0.014878232617366972,-0.011751167354816953
2011-06-02,8.286192294587517,8.296708056365418,8.120047871451046,8.24413013458252,2616600,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.005076174738603641,-0.003335193887243001,0.007573389068218514
2011-06-03,8.145285164601272,8.206274631257198,8.006480480186706,8.033821105957031,1772200,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.013684488190622806,-0.0006788165777524502,-0.005773864754710191
2011-06-06,8.016996204699726,8.111635398908001,7.932872772216797,7.932872772216797,1710300,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.0104931361241776,-0.019379923568794442,-0.0327327328891727
2011-06-07,7.970728344793123,8.027512039254578,7.808789693444032,7.922357082366943,1971700,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.006068612595206354,-0.00753290539676604,-0.018417118610740236
2011-06-08,7.901326374147372,7.993862238589256,7.827717816283178,7.932872772216797,2898800,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,0.003992544615375316,-0.014183658644261977,-0.030076137615508904
2011-06-09,7.943387309492939,7.943387309492939,7.812995950326574,7.918150901794434,2325600,0.0,0.0,PENN,Consumer Services,Hotels/Resorts,-0.0031770335141969312,0.0024009810086314293,-0.001573240928759057
