,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change
0,2011-04-18,28.0,28.61000061035156,27.209999084472656,27.540000915527344,52400,0,0,SENEA,Consumer Non-Durables,Packaged Foods,-0.016428538731166294,0.016011934813125253
1,2011-04-19,27.729999542236328,27.729999542236328,27.36000061035156,27.46999931335449,8500,0,0,SENEA,Consumer Non-Durables,Packaged Foods,-0.00937613534705711,0.011642231597084326
2,2011-04-20,27.850000381469727,28.46999931335449,27.36000061035156,28.100000381469727,43600,0,0,SENEA,Consumer Non-Durables,Packaged Foods,0.008976660559270225,0.00047638538148964767
3,2011-04-21,28.34000015258789,28.34000015258789,27.920000076293945,28.149999618530277,17200,0,0,SENEA,Consumer Non-Durables,Packaged Foods,-0.006704323678003353,-0.00342145710413417
4,2011-04-25,28.020000457763672,28.020000457763672,27.670000076293945,27.75,12300,0,0,SENEA,Consumer Non-Durables,Packaged Foods,-0.009635990483678284,-0.003423370166795341
5,2011-04-26,27.71999931335449,28.46999931335449,27.459999084472656,28.450000762939453,7500,0,0,SENEA,Consumer Non-Durables,Packaged Foods,0.02633482928094,0.004436271500256597
6,2011-04-27,28.350000381469727,28.649999618530277,28.26000022888184,28.34000015258789,9800,0,0,SENEA,Consumer Non-Durables,Packaged Foods,-0.0003527417547539907,0.007595648972304073
7,2011-04-28,28.229999542236328,28.229999542236328,27.309999465942383,27.729999542236328,13000,0,0,SENEA,Consumer Non-Durables,Packaged Foods,-0.01771165455571208,-0.0015713465785790592
8,2011-04-29,27.75,28.06999969482422,27.459999084472656,27.959999084472656,24000,0,0,SENEA,Consumer Non-Durables,Packaged Foods,0.007567534575591216,0.002527606510955731
9,2011-05-02,28.0,28.0,27.0,27.0,14000,0,0,SENEA,Consumer Non-Durables,Packaged Foods,-0.03571428571428571,-0.004497618519938472
10,2011-05-03,27.01000022888184,27.040000915527344,26.15999984741211,26.15999984741211,39000,0,0,SENEA,Consumer Non-Durables,Packaged Foods,-0.03146983984697724,-0.00371258531278947
11,2011-05-04,26.15999984741211,26.43000030517578,25.600000381469727,25.600000381469727,35900,0,0,SENEA,Consumer Non-Durables,Packaged Foods,-0.0214067075385622,-0.0009099861434054273
12,2011-05-05,25.51000022888184,26.170000076293945,25.40999984741211,25.549999237060547,19300,0,0,SENEA,Consumer Non-Durables,Packaged Foods,0.001567973650326409,-0.0027834892602857843
13,2011-05-06,25.530000686645508,25.6200008392334,25.38999938964844,25.38999938964844,15000,0,0,SENEA,Consumer Non-Durables,Packaged Foods,-0.005483795269551248,-0.000979807482742461
14,2011-05-09,25.46999931335449,25.75,25.309999465942383,25.61000061035156,30000,0,0,SENEA,Consumer Non-Durables,Packaged Foods,0.005496713811203933,0.009380735598780561
15,2011-05-10,25.63999938964844,26.81999969482422,25.63999938964844,26.809999465942383,19200,0,0,SENEA,Consumer Non-Durables,Packaged Foods,0.04563182933484399,0.020469187038566417
