Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change,Weighted Industry Change
2011-04-18,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.003628455178874023,-0.0051077892976188494
2011-04-19,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0006831334749573375,-0.004889896133956224
2011-04-20,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.00615517684961479,0.04384761043671559
2011-04-21,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.001576052385800649,-0.0015927353040807119
2011-04-25,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0012788586041826177,0.0036051685176659025
2011-04-26,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0028430540279980707,0.0138491453316345
2011-04-27,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.010899252493026533,0.007835011444305165
2011-04-28,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.004158833416054229,0.0015841322211925769
2011-04-29,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.00046576411139258637,-0.003979489769885448
2011-05-02,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.007947006379721505,-0.010090860889813116
2011-05-03,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0062049276793984314,-0.003984003551772929
2011-05-04,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0014754585591999238,-0.008348142287064165
2011-05-05,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.009416261360820999,-0.016793520665073162
2011-05-06,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.00387559515208549,0.019825770125214057
2011-05-09,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.003181892177165095,-0.000848686837322172
2011-05-10,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.009164019779928293,-0.0002958928288177195
2011-05-11,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.00684617119384496,-0.018531998130243876
2011-05-12,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.008926443211141142,0.006721196110352012
2011-05-13,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.006343614913306548,-0.015527152792766188
2011-05-16,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.005361952134661782,0.005117643642441991
2011-05-17,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0050005179672807844,-0.011520848070805844
2011-05-18,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0009636550925447467,0.007272438204100846
2011-05-19,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0015578466886201658,0.004895393948804254
2011-05-20,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.002930654273338966,0.004707590452694787
2011-05-23,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0007541779232066021,-0.009440316352528096
2011-05-24,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.003704225270827425,-0.010798907303919521
2011-05-25,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0001727198872115366,0.00977474056356442
2011-05-26,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.005084205117037456,0.012042042032207765
2011-05-27,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0004886800016385744,0.0026261111405485294
2011-05-31,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.001724918331600141,0.004042601563263912
2011-06-01,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.009150802098444495,-0.0063311887465169
2011-06-02,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0029591308710372106,0.011825994624469411
2011-06-03,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.004076566621271215,0.006644924639576729
2011-06-06,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.006474944548080958,-0.008385489041465483
2011-06-07,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0037560924558100407,-0.006121149263598819
2011-06-08,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.002804302977424202,3.136746425437741e-05
2011-06-09,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.002690592532198962,0.010960024652243678
2011-06-10,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.002707174517416204,-0.003652038055355435
2011-06-13,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.005753067633268925,-0.003946910114928219
2011-06-14,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.002196258964878161,-0.0032108625428296884
2011-06-15,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0064965169701912745,-0.0024914835390028728
2011-06-16,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.010779073976125432,0.05232236831345439
2011-06-17,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.0008011604953665038,-0.025085359800007048
2011-06-20,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.00962350576335229,0.008061920413333179
2011-06-21,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.001243474034676337,0.008748984118114237
2011-06-22,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.002740610115387396,-0.0008760243130678691
2011-06-23,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.004525302377655007,0.00393935457328589
2011-06-24,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,-0.004933821301744983,-0.011997391783758355
2011-06-27,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.005362335212631594,0.004768137579370157
2011-06-28,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.003650345462264362,0.003253688097532899
2011-06-29,0.0,0.0,0.0,0.0,0,0.0,0,USAC,Public Utilities,Natural Gas Distribution,0.0,0.0017552763158296205,0.0019485031983226759
