,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Sector,Industry,Day Change,Weighted Sector Change
0,2011-04-18,8.474472086346665,8.56526991651216,8.164245986215304,8.557703971862793,484500,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.009821483234362596,0.015424452513018657
1,2011-04-19,8.603102542387667,8.603102542387667,8.406373549192544,8.421506881713867,215800,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.021108159501653526,-0.0070018763990200026
2,2011-04-20,8.466903660613815,8.572834801258773,8.466903660613815,8.527436256408691,285000,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.007149319068842274,-0.005537516641436237
3,2011-04-21,8.572835181550152,8.633367058433366,8.53500257809892,8.565268516540527,196800,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.0008826327404391635,0.001299261296462725
4,2011-04-25,8.610666447371122,8.68633092092254,8.550134579891274,8.656064987182617,213600,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.005272360750352366,0.00162576628203771
5,2011-04-26,8.693900924749798,8.792265427593081,8.656068312641295,8.724166870117188,210000,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.003481284825920732,0.006053081911663854
6,2011-04-27,8.701465600326204,8.754430812199793,8.527436634686188,8.565268516540527,356200,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.015652200450067915,0.005248883139246386
7,2011-04-28,8.58796856524335,8.693898989652583,8.580401900186436,8.648500442504883,247800,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.007048451190950153,-0.007931481021259141
8,2011-04-29,7.8918502183979715,8.239908827726275,7.558924215598655,7.952382087707519,3087500,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.007670174627545702,0.0020002743828408383
9,2011-05-02,7.906985586373249,8.285310262482946,7.906985586373249,8.141547203063965,948200,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.02966511246649478,0.0015961136280996282
10,2011-05-03,8.103713854888134,8.179379071874495,7.9523841425124,8.133979797363281,756100,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.0037348236891274833,-0.004629544318122053
11,2011-05-04,8.111282997538845,8.209647521016135,8.065883709165785,8.088582992553711,723600,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.002798571445728399,0.013656352819351271
12,2011-05-05,8.073448259797626,8.209645367594575,8.012916372242765,8.096147537231445,308600,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.002811596322088558,0.012210011829275624
13,2011-05-06,8.133976848488999,8.255040574499406,8.088577590436733,8.11127758026123,398600,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.0027906728345292687,-0.008854250301884305
14,2011-05-09,8.111280538992684,8.111280538992684,7.884285609124437,7.929684162139893,397400,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.022388126755056536,0.0008752937579960201
15,2011-05-10,7.937248759581732,7.9750813582994,7.831318349088423,7.952382087707519,218100,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.0019066213727417665,0.009010077352619696
16,2011-05-11,7.914549993124326,7.944815929706954,7.755653645666313,7.763220310211182,342100,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.019120440586591812,-0.0022509230297114336
17,2011-05-12,7.801053818816837,7.831319758920231,7.68755600223141,7.816186428070068,351000,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.0019398160305893726,0.00956609645983441
18,2011-05-13,7.801052305436665,7.8237515757113885,7.740519715376081,7.793485641479492,151800,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.0009699542652597292,0.00040273395014106496
19,2011-05-16,7.7405200623558255,7.854017862010727,7.717820791063574,7.823751926422119,239400,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.010752748316107598,-0.015117861384974209
20,2011-05-17,7.778352662240793,7.929682340183839,7.748086726652184,7.823751926422119,377400,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.00583661684584094,0.004402846193407321
21,2011-05-18,7.816184058334333,7.831317384596325,7.6345884727707,7.695120334625244,435600,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.015488852719633607,0.010196205490038676
22,2011-05-19,7.695121772501055,7.801052911338679,7.679988443411316,7.763220310211182,404400,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.008849572459461394,-0.0007520952687384835
23,2011-05-20,7.725391177657045,7.831322364056026,7.657292609371783,7.808622360229492,357700,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.010773717557910093,-0.00796999626796097
24,2011-05-23,7.725389568193129,7.763222178425018,7.657291014095135,7.679990291595459,202200,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.005876632653528198,0.0016446554272444207
25,2011-05-24,7.69512470943658,7.740523270838999,7.5664942494678575,7.574060916900635,319000,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.015732531584248855,-0.011607871459516007
26,2011-05-25,7.566492606835313,7.627024489962238,7.566492606835313,7.581625938415527,238300,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.00200004577636718,0.011328929176398684
27,2011-05-26,7.611893054384433,7.732956839316682,7.5816271081513715,7.717823505401611,192000,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.013916439742432065,0.01189911045285791
28,2011-05-27,7.717820665791129,7.876717005451393,7.710254001617589,7.854017734527588,198700,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.01764708907271535,-0.0034708912084408386
29,2011-05-31,7.92211608815271,7.92968203055682,7.748086424115853,7.869150161743164,326000,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.006685830631635766,-0.007161123476527646
30,2011-06-01,7.82375406615723,7.869152621157879,7.679990291595459,7.679990291595459,297200,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.01837529315800478,-0.014619598381488977
31,2011-06-02,7.679987695627915,7.732953620687977,7.642155819780871,7.687554359436035,264400,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.0009852442618401307,-0.0031338147178346524
32,2011-06-03,7.649721761992214,7.710253629263617,7.574057288701348,7.687554359436035,186600,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.00494561745131612,-0.0006874869151980136
33,2011-06-06,7.649723583933306,7.748088072076084,7.475694604478587,7.528659820556641,354900,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.015825900380366065,-0.019457190751120585
34,2011-06-07,7.551360914602302,7.62702614573583,7.521094966468316,7.574060916900635,157600,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.0030060809640864703,-0.007193546886879803
35,2011-06-08,7.574058658687456,7.589191267444086,7.331930424209217,7.339497089385986,305900,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.030969072180663252,-0.013891558377613815
36,2011-06-09,7.324368364245694,7.347067650214985,7.142771911699492,7.286535739898682,271700,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.005165308797369369,0.003080139448269201
37,2011-06-10,7.278963623918378,7.278963623918378,7.0595354328188495,7.1049346923828125,312200,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.02390847660836137,-0.016503155963792596
38,2011-06-13,7.074277896841658,7.112600243720975,6.806022930562387,6.997633934020996,410400,0.12,0,WWE,Consumer Services,Movies/Entertainment,-0.010834174729675254,-0.008678636028029282
39,2011-06-14,7.012959359408716,7.196906397591069,6.989966253737541,7.127926349639893,307000,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.01639350584242801,-0.0017194389384830309
40,2011-06-15,7.104936470136021,7.143258086676282,7.058949506974534,7.089607238769531,138800,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.0021575465777805077,-0.003934935225051976
41,2011-06-16,7.089606097971876,7.311874800454561,7.051283756660131,7.304210186004639,215500,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.030270241402290978,-0.015338961981552986
42,2011-06-17,7.373192692424533,7.457501286440149,7.204574773455194,7.334870338439941,703300,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.005197525086244594,-0.0037301956123917627
43,2011-06-20,7.288881844583465,7.373190412529679,7.281217229968933,7.296546459197998,181500,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.0010515487530132577,0.008535713351295854
44,2011-06-21,7.319539572103714,7.365525797915147,7.273552615354401,7.296546459197998,139400,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.003141333232673255,0.012949134672188008
45,2011-06-22,7.30421290949233,7.564804050452159,7.281219788507091,7.480495452880859,208400,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.02413436540978125,-0.006112090101818229
46,2011-06-23,7.426841931338812,7.480493507603304,7.319540240685723,7.449835777282715,192500,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.0030960462275192043,0.02160781516786409
47,2011-06-24,7.442171565859057,7.465164682112862,7.357862985636447,7.38852071762085,346400,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.007209031364491799,-0.011817048156838091
48,2011-06-27,7.380857857570815,7.5494757890630755,7.265890787078662,7.28888463973999,185100,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.012461047158154456,0.008279377249153126
49,2011-06-28,7.319540918743216,7.403849502200413,7.296547801607257,7.365527153015137,229300,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.006282666465346711,0.01843686558804684
50,2011-06-29,7.357864735847649,7.37319324001704,7.258226900463048,7.28888463973999,229600,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.009375015522042186,-0.010374186961859511
51,2011-06-30,7.319539414904482,7.434505707901853,7.281217073592737,7.304210186004639,170000,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.002094288729237411,0.007132754553041773
52,2011-07-01,7.273551044426553,7.518813542555091,7.273551044426553,7.511148929595947,189400,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.032666009177381945,0.021627852852813004
53,2011-07-05,7.480493913574056,7.511151645558459,7.296547521667642,7.38852071762085,184900,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.012295069953377277,0.0010765237005695406
54,2011-07-06,7.350199695608337,7.488159879890024,7.242897248840567,7.457501411437988,177500,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.0145984762691227,0.009210983828110763
55,2011-07-07,7.49582272789059,7.649111394229638,7.46516499462278,7.610789775848389,210600,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.01533748223927805,0.01719601188518815
56,2011-07-08,7.580131907504781,7.580131907504781,7.472829477510539,7.541809558868408,127800,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.005055630839145645,0.02066112071301628
57,2011-07-11,7.518817393124082,7.587796752269212,7.457501188987138,7.488159656524658,226200,0.0,0,WWE,Consumer Services,Movies/Entertainment,-0.004077467904388817,-0.026166522736028836
58,2011-07-12,7.457499158618866,7.549473074314543,7.434506045163895,7.472828388214111,170400,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.002055545601708709,0.01053639792608232
59,2011-07-13,7.4881581335876195,7.564802094029327,7.457499672285398,7.503486633300781,186000,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.0020470320524358073,0.002436851475773813
60,2011-07-14,7.488156639449944,7.564800584598622,7.419176577159672,7.49582052230835,179800,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.001023467219960409,-0.011906705058603204
61,2011-07-15,7.518816031464905,7.626117724661479,7.47282906942497,7.549473762512207,234400,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.0040774679043888385,0.00047182339300668396
62,2011-07-18,7.526479916023257,7.58779537811786,7.465164453928653,7.549473762512207,273000,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.0030550598348103785,-0.004558397312532488
63,2011-07-19,7.595460012302869,7.664440090063516,7.511151434449839,7.65677547454834,148100,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.008072646310579489,0.004697454864864232
64,2011-07-20,7.664439690278393,7.771742109079945,7.6031242312312,7.718090534210205,141500,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.006999969482421878,-0.0029482428169236865
65,2011-07-21,7.733419147358925,7.917365509822649,7.687432191274059,7.886707782745361,149100,0.0,0,WWE,Consumer Services,Movies/Entertainment,0.019821586346937755,0.008225008704261893
